tangential,T_nt,T_cells,columnar,T_to_X,col_uniformity,teacher_in,readout,modulator_on_X,T_ext_share,T_context,score
FB2G_a,glutamate,2,FC2A,557,0.56,50,4242,637,0.07,SMP568_b:46;LHPD2a4_a:45;CB1220:43,378.6
FB6C_a,glutamate,2,hDeltaL,697,0.37,484,3798,75,0.16,SLP405_c:132;SMP352:112;SMP250:72;SLP340:60,376.6
FB6I,glutamate,2,hDeltaF,2368,0.58,41,2431,38,0.28,SMP215:397;SLP281:191;SMP352:116;SMP186:113,376.3
FB6K,glutamate,4,hDeltaL,955,0.58,484,3798,75,0.02,SMP347:98,375.5
FB4N,glutamate,2,FC2A,579,0.49,50,4242,637,0.1,SMP010:260;SMP117_a:235;SIP064:180;LAL007:161,374.6
FB6X,glutamate,2,hDeltaL,324,0.39,484,3798,75,0.19,oviIN:118;CRE105:81;LAL137:65;CRE074:41,373.4
FB7C,glutamate,5,FC2C,368,0.55,186,5575,325,0.02,SMP167:67,371.7
FB4Q_b,glutamate,2,FC2A,421,0.58,50,4242,637,0.07,SMP377:81;ATL003:34;CRE018:34;CRE013:31,370.0
FB6Y,glutamate,2,FC2C,316,0.43,186,5575,325,0.08,PLP122_a:58;SIP047:35;SMP240:34,366.5
FB1G,acetylcholine,2,PFR_b,498,0.34,7543,87,701,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,363.2
FB6U,glutamate,4,hDeltaL,1880,0.48,484,3798,75,0.02,SIP029:117,360.5
FB4P_b,glutamate,3,hDeltaM,318,0.19,363,5353,586,0.19,CRE059:273;SMP133:183;CRE005:160;MBON21:96,359.6
FB4N,glutamate,2,hDeltaA,329,0.1,3806,5463,1477,0.1,SMP010:260;SMP117_a:235;SIP064:180;LAL007:161,358.8
FB4N,glutamate,2,PFL3,357,0.16,6858,917,1060,0.1,SMP010:260;SMP117_a:235;SIP064:180;LAL007:161,356.8
FB2D,glutamate,6,FC1A,2789,0.49,2929,88,401,0.0,,355.2
FB2L,glutamate,4,FC2B,558,0.4,89,4326,567,0.09,SMP011_b:159;SMP012:70;SMP116:50;LHPV5g2:46,354.4
FB2G_b,glutamate,6,FC2C,1412,0.36,186,5575,325,0.03,SIP086:110;CB2814:107,351.4
FB4M,dopamine,4,PFR_b,407,0.26,7543,87,701,0.19,SMP377:1111;PLP246:660;SIP064:468;CRE059:415,350.1
FB6A_b,glutamate,2,hDeltaF,4628,0.58,41,2431,38,0.2,SIP005:317;SLP396:299;SMP186:277;SMP347:265,349.9
FB2G_a,glutamate,2,FC2B,683,0.4,89,4326,567,0.07,SMP568_b:46;LHPD2a4_a:45;CB1220:43,348.1
FB4N,glutamate,2,FC2C,664,0.31,186,5575,325,0.1,SMP010:260;SMP117_a:235;SIP064:180;LAL007:161,347.9
FB4H,glutamate,2,vDeltaI_a,1059,0.28,59,1433,1068,0.2,MBON25-like:207;MBON34:135;PLP161:134;CRE059:130,347.5
FB5N,glutamate,4,FC2B,782,0.42,89,4326,567,0.05,PPL102:110;SMP381_b:96;GNG291:80,345.9
FB6D,glutamate,2,hDeltaK,549,0.49,4805,17,519,0.21,SMP215:687;SMP354:211;SMP186:204;PRW009:126,341.5
FB5K,glutamate,2,vDeltaI_a,1461,0.35,59,1433,1068,0.11,CRE042:321;CRE107:135;CB2550:60,341.1
