pre,post,syn,offset_deg,conc,post_cells,cells_hit_frac,DA,OA,SER,DA_col_uniformity,read_goal,read_steer,best_2hop,best_2hop_syn,readout_offset_deg,post_nt,post_total_in,score
hDeltaG,FS2,1241,200.7,0.874,42,0.74,219,75,56,0.27,68,18,hDeltaL,252,12.2,acetylcholine,28869,326.4
PFR_b,hDeltaG,795,336.7,0.38,8,1.0,134,113,31,0.31,3171,762,FC2B,1711,201.6,acetylcholine,28991,310.9
hDeltaH,vDeltaF,371,199.7,0.859,18,0.5,257,107,55,0.16,1011,32,hDeltaG,1582,0.7,acetylcholine,14801,298.2
PFNa,FC1E,790,2.5,0.886,22,0.82,203,20,5,0.13,133,16,FC1D,161,351.5,acetylcholine,9463,287.6
PFR_a,FC2B,337,4.3,0.891,27,0.22,449,121,63,0.41,618,3708,hDeltaM,1073,9.3,acetylcholine,42364,265.4
hDeltaH,FR1,602,202.1,0.893,18,0.94,367,63,67,0.57,21,0,PFR_b,52,0.0,acetylcholine,28741,264.9
hDeltaB,hDeltaL,356,353.4,0.72,11,0.73,35,40,25,0.17,3781,17,FC2C,3187,188.9,acetylcholine,36765,263.2
hDeltaG,FR1,657,200.8,0.895,18,0.89,367,63,67,0.57,21,0,PFR_b,52,0.0,acetylcholine,28741,259.6
FC2A,hDeltaM,452,334.9,0.198,8,1.0,331,255,108,0.61,1370,3983,FC2B,958,204.4,acetylcholine,25294,250.1
FC2B,FS1A_a,545,358.5,0.919,16,0.94,127,44,23,0.18,63,1,FS1A_b,77,47.5,acetylcholine,8138,248.1
PFNa,PFL1,411,358.4,0.912,14,0.86,208,43,12,0.28,9,74,PFL3,71,348.5,acetylcholine,15998,243.2
hDeltaH,FS2,786,202.1,0.874,42,0.43,219,75,56,0.27,68,18,hDeltaG,321,12.2,acetylcholine,28869,239.1
PFR_a,hDeltaA,2666,249.5,0.02,12,1.0,1353,124,1540,0.56,135,5328,hDeltaI,1388,185.6,acetylcholine,50360,237.8
vDeltaK,vDeltaI_b,304,356.7,0.909,20,0.25,585,122,398,0.25,438,174,hDeltaH,1044,359.3,acetylcholine,11269,236.6
hDeltaI,PFGs,352,191.2,0.928,18,0.5,310,344,1846,0.32,34,17,hDeltaC,149,14.6,unclear,32900,234.1
hDeltaB,PFNd,427,171.9,0.922,40,0.05,1985,226,4,0.54,51,13,hDeltaA,1587,19.9,acetylcholine,48768,231.2
FC2C,FS1A_c,681,2.3,0.832,18,0.89,104,55,26,0.15,27,1,FS1A_b,77,303.7,acetylcholine,9753,227.0
PFNv,hDeltaJ,387,350.4,0.634,31,0.1,2093,377,41,0.56,5732,120,FC2A,3062,195.1,acetylcholine,37986,226.4
PFR_a,hDeltaI,394,341.8,0.288,17,0.59,817,72,939,0.24,125,5410,PFL3,917,189.7,acetylcholine,36955,224.3
PFNv,PFNa,749,1.3,0.908,58,0.1,527,13,5,0.12,50,20,hDeltaJ,1368,5.2,acetylcholine,38884,218.1
FC2C,FS1A_b,540,358.1,0.851,13,0.92,76,43,16,0.25,71,6,FS1A_a,64,257.2,acetylcholine,7593,214.5
FC2B,FS1A_c,484,1.3,0.913,18,0.78,104,55,26,0.15,27,1,FS1A_b,77,303.7,acetylcholine,9753,212.3
hDeltaJ,hDeltaC,408,182.5,0.334,20,0.5,372,353,115,0.32,3439,44,FC2B,2414,194.7,acetylcholine,44208,204.8
FC2A,FS1A_c,423,358.7,0.925,18,0.72,104,55,26,0.15,27,1,FS1A_b,77,303.7,acetylcholine,9753,199.9
PFR_b,hDeltaH,1261,356.2,0.025,8,1.0,438,361,168,0.55,2776,1875,FC2B,2437,202.0,acetylcholine,29199,196.5
FC2B,FS1B_a,327,2.6,0.945,13,0.85,79,34,16,0.15,53,13,FS2,31,33.5,acetylcholine,5953,193.9
PFR_a,hDeltaH,619,131.5,0.034,8,1.0,438,361,168,0.55,2776,1875,FC2B,2437,202.0,acetylcholine,29199,181.8
PFR_a,vDeltaL,315,359.3,0.915,37,0.0,614,22,527,0.16,6,186,hDeltaA,2406,18.4,acetylcholine,12341,175.8
PFR_a,vDeltaM,303,0.2,0.867,55,0.0,665,26,362,0.04,10,39,hDeltaA,2250,337.5,acetylcholine,13711,168.4
FC2C,FS1B_b,448,359.6,0.939,16,0.75,70,18,17,0.08,3,0,FS2,50,nan,acetylcholine,5295,166.9
FC2B,FS1A_b,303,0.4,0.904,13,0.62,76,43,16,0.25,71,6,FS1A_a,64,257.2,acetylcholine,7593,160.8
FC2C,FS1A_a,363,355.2,0.843,16,0.56,127,44,23,0.18,63,1,FS1A_b,77,47.5,acetylcholine,8138,160.2
hDeltaH,FS1B_a,303,202.4,0.908,13,0.62,79,34,16,0.15,53,13,FS2,31,33.5,acetylcholine,5953,154.0
hDeltaB,FS4A,849,197.1,0.951,57,0.33,112,10,17,0.42,11,7,hDeltaD,56,0.0,acetylcholine,14093,136.3
hDeltaH,FS1A_c,329,201.8,0.891,18,0.39,104,55,26,0.15,27,1,FS1A_b,77,303.7,acetylcholine,9753,135.9
hDeltaJ,FS1A_a,315,190.3,0.814,16,0.44,127,44,23,0.18,63,1,FS1A_b,77,47.5,acetylcholine,8138,135.2
hDeltaA,FS2,345,195.4,0.929,42,0.07,219,75,56,0.27,68,18,hDeltaG,321,12.2,acetylcholine,28869,134.5
hDeltaA,FS1A_c,302,194.0,0.925,18,0.28,104,55,26,0.15,27,1,FS1A_b,77,303.7,acetylcholine,9753,120.7
hDeltaJ,FR2,374,193.8,0.906,18,0.5,102,15,4,0.47,6,3,FR1,9,112.5,acetylcholine,5362,78.5
FC2C,FS4C,389,1.7,0.914,28,0.21,100,12,17,0.22,1,0,FS4A,18,nan,acetylcholine,6647,71.6
Delta7,PFGs,1443,nan,nan,18,1.0,310,344,1846,0.32,34,17,hDeltaC,149,14.6,unclear,32900,nan
Delta7,PFL1,4732,nan,nan,14,1.0,208,43,12,0.28,9,74,PFL3,71,348.5,acetylcholine,15998,nan
Delta7,PFL2,3269,nan,nan,12,1.0,339,217,333,0.53,4,642,PFL3,36,344.9,acetylcholine,31957,nan
Delta7,PFL3,5617,nan,nan,24,1.0,888,173,488,0.32,28,889,hDeltaA,47,0.0,acetylcholine,60811,nan
Delta7,PFNa,7243,nan,nan,58,1.0,527,13,5,0.12,50,20,hDeltaJ,1368,5.2,acetylcholine,38884,nan
Delta7,PFNd,4470,nan,nan,40,1.0,1985,226,4,0.54,51,13,hDeltaA,1587,19.9,acetylcholine,48768,nan
Delta7,PFNm_a,853,nan,nan,21,0.86,408,6,0,0.29,1120,14,PFNm_b,916,354.5,acetylcholine,11267,nan
Delta7,PFNm_b,1002,nan,nan,26,0.96,772,9,5,0.13,911,5,PFNm_a,1134,0.5,acetylcholine,12568,nan
Delta7,PFNv,2195,nan,nan,20,1.0,789,321,0,0.17,53,13,hDeltaC,780,360.0,acetylcholine,20680,nan
Delta7,PFR_a,1109,nan,nan,28,0.89,1228,581,131,0.36,606,393,hDeltaA,2666,4.3,unclear,42484,nan
Delta7,PFR_b,1429,nan,nan,16,1.0,615,103,104,0.38,56,31,hDeltaH,1261,352.5,acetylcholine,25874,nan
EPG,PFGs,703,nan,nan,18,0.94,310,344,1846,0.32,34,17,hDeltaC,149,14.6,unclear,32900,nan
EPG,PFL1,538,nan,nan,14,1.0,208,43,12,0.28,9,74,PFL3,71,348.5,acetylcholine,15998,nan
EPG,PFL2,1036,nan,nan,12,1.0,339,217,333,0.53,4,642,PFL3,36,344.9,acetylcholine,31957,nan
EPG,PFL3,1182,nan,nan,24,1.0,888,173,488,0.32,28,889,hDeltaA,47,0.0,acetylcholine,60811,nan
EPG,PFNa,816,nan,nan,58,0.22,527,13,5,0.12,50,20,hDeltaJ,1368,5.2,acetylcholine,38884,nan
EPG,PFNd,1979,nan,nan,40,0.9,1985,226,4,0.54,51,13,hDeltaA,1587,19.9,acetylcholine,48768,nan
EPG,PFNv,450,nan,nan,20,0.65,789,321,0,0.17,53,13,hDeltaC,780,360.0,acetylcholine,20680,nan
