bodyId,type,instance,somaSide,nt
171780,FR2,FR2_C5_R,R,acetylcholine
171804,PFNp_a,PFNp_a,R,acetylcholine
171862,PFNp_a,PFNp_a,R,acetylcholine
171879,FS2,FS2_C7_L,L,acetylcholine
171881,vDeltaK,vDeltaK_C7,R,acetylcholine
171935,FS2,FS2_C2_R,R,acetylcholine
172013,FS4B,FS4B_C8_L,L,acetylcholine
172128,vDeltaA_a,vDeltaA_a(AB)_C3,R,acetylcholine
172232,vDeltaA_b,vDeltaA_b_C6,R,acetylcholine
172349,FS1B_b,FS1B_b_C5_L,L,acetylcholine
172429,FS3_d,FS3_C2_L,L,acetylcholine
172442,vDeltaL,vDeltaL_C6,L,acetylcholine
172508,PFNp_b,PFNp_b,L,acetylcholine
172614,FS4A,FS4A_C1_R,R,acetylcholine
172666,FB4Z_a,FB4Z_a_L,L,glutamate
172829,PFNp_b,PFNp_b,R,acetylcholine
172908,FS3_d,FS3_C3_R,R,acetylcholine
173003,vDeltaK,vDeltaK_C3,L,acetylcholine
173006,FS4B,FS4B_C3_R,R,acetylcholine
173025,FS4A,FS4A_C4_L,L,acetylcholine
173055,PFNm_a,PFNm_a_L6_C5,L,acetylcholine
173097,vDeltaA_a,vDeltaA_a(AB)_C3,R,acetylcholine
173160,vDeltaC,vDeltaC_C0,L,acetylcholine
173198,vDeltaA_a,vDeltaA_a(AB)_C5,R,acetylcholine
173205,FB5R,FB5R_L,L,glutamate
173257,PFNp_d,PFNp_d,R,acetylcholine
173292,vDeltaM,vDeltaM_C7,L,acetylcholine
173503,FS4C,FS4C_C5_R,R,acetylcholine
173511,FS3_d,FS3_C4_L,L,acetylcholine
173565,PFNp_a,PFNp_a,R,acetylcholine
173604,FS3_a,FS3_a_C5_R,R,acetylcholine
173672,PFNp_b,PFNp_b,R,acetylcholine
173725,vDeltaF,vDeltaF_C4,R,acetylcholine
173749,vDeltaA_b,vDeltaA_b_C7,L,acetylcholine
173853,FS3_b,FS3_b_C3_R,R,acetylcholine
173868,PFNp_a,PFNp_a,R,acetylcholine
173877,vDeltaM,vDeltaM_C7,R,acetylcholine
173979,FS4B,FS4B_C7_L,L,acetylcholine
174035,vDeltaB,vDeltaB_C5,R,acetylcholine
174168,vDeltaJ,vDeltaJ_C1,L,acetylcholine
174241,FS4C,FS4C_C2_L,L,acetylcholine
174299,vDeltaK,vDeltaK_C4,L,acetylcholine
174319,FS2,FS2_C7_L,L,acetylcholine
174342,vDeltaK,vDeltaK_C7,R,acetylcholine
174350,FS1A_c,FS1A_c_C6_R,R,acetylcholine
174381,FS4C,FS4C_C7_L,L,acetylcholine
174511,PFNp_e,PFNp_e,R,acetylcholine
174514,vDeltaK,vDeltaK_C6,L,acetylcholine
174567,vDeltaL,vDeltaL_C7,R,acetylcholine
174569,PFNp_b,PFNp_b,R,acetylcholine
174630,FS4B,FS4B_C4_R,R,acetylcholine
174644,vDeltaA_a,vDeltaA_a(AB)_C2,L,acetylcholine
174667,FS4A,FS4A_C2_R,R,acetylcholine
174777,vDeltaM,vDeltaM_C6,R,acetylcholine
174789,PFNp_b,PFNp_b,R,acetylcholine
174792,vDeltaL,vDeltaL_C1,L,acetylcholine
175169,vDeltaM,vDeltaM_C5,L,acetylcholine
175174,vDeltaL,vDeltaL_C5,R,acetylcholine
175188,FS4A,FS4A_C8_L,L,acetylcholine
175200,PFNp_a,PFNp_a,R,acetylcholine
175309,PFNp_b,PFNp_b,L,acetylcholine
175340,vDeltaM,vDeltaM_C5,L,acetylcholine
175360,FS4A,FS4A_C8_L,L,acetylcholine
175504,vDeltaB,vDeltaB_C7,R,acetylcholine
175628,FS4A,FS4A_C7_L,L,acetylcholine
175680,PFNp_b,PFNp_b,L,acetylcholine
175704,vDeltaA_b,vDeltaA_b_C7,R,acetylcholine
175775,FS3_a,FS3_a_C3_R,R,acetylcholine
175842,PFNp_a,PFNp_a,L,acetylcholine
176231,FS4C,FS4C_C5_R,R,acetylcholine
176297,vDeltaA_a,vDeltaA_a(AB)_C6,R,acetylcholine
176343,PFNp_b,PFNp_b,L,acetylcholine
176438,vDeltaA_a,vDeltaA_a(AB)_C0,R,acetylcholine
176534,vDeltaA_a,vDeltaA_a(AB)_C3,L,acetylcholine
176645,PFNp_d,PFNp_d,R,acetylcholine
176721,vDeltaK,vDeltaK_C3,L,acetylcholine
176873,vDeltaM,vDeltaM_C4,L,acetylcholine
176934,vDeltaA_a,vDeltaA_a_C5,L,acetylcholine
176956,vDeltaA_b,vDeltaA_b_C4,L,acetylcholine
176983,FS3_c,FS3_c_C3_L,L,acetylcholine
177129,vDeltaM,vDeltaM_C2,R,acetylcholine
177137,FS1B_b,FS1B_b_C6_L,L,acetylcholine
177153,PFNm_b,PFNm_b_L4_C3,L,acetylcholine
177278,vDeltaL,vDeltaL_C9,R,acetylcholine
177539,FS3_b,FS3_b_C6_R,R,acetylcholine
177548,PFNp_b,PFNp_b,R,acetylcholine
177642,PFNp_a,PFNp_a,R,acetylcholine
177658,FS4A,FS4A_C2_L,L,acetylcholine
177705,vDeltaM,vDeltaM_C6,R,acetylcholine
177717,PFNp_a,PFNp_a,R,acetylcholine
177756,vDeltaM,vDeltaM_C3,L,acetylcholine
177762,PFNm_a,PFNm_a_L3_C2,L,acetylcholine
177962,PFNp_b,PFNp_b,L,acetylcholine
178022,FS4A,FS4A_C6_R,R,acetylcholine
178092,PFNp_b,PFNp_b,L,acetylcholine
178115,PFNp_b,PFNp_b,L,acetylcholine
178181,PFNp_b,PFNp_b,R,acetylcholine
178234,vDeltaM,vDeltaM_C8,R,acetylcholine
178236,FS3_d,FS3_C3_L,L,acetylcholine
178237,FS3_b,FS3_b_C8_L,L,acetylcholine
178252,FS3_d,FS3_C2_R,R,acetylcholine
178346,PFNp_b,PFNp_b,R,acetylcholine
178552,FS4A,FS4A_C3_L,L,acetylcholine
178567,vDeltaK,vDeltaK_C5,L,acetylcholine
178620,vDeltaA_b,vDeltaA_b_C8,R,acetylcholine
178668,FS2,FS2_C8_L,L,acetylcholine
178714,vDeltaA_b,vDeltaA_b_C5,L,acetylcholine
178721,FS3_c,FS3_c_C7_L,L,acetylcholine
178760,vDeltaA_b,vDeltaA_b_C3,L,acetylcholine
178839,PFNp_a,PFNp_a,R,acetylcholine
178957,vDeltaA_a,vDeltaA_a(AB)_C4,R,acetylcholine
178976,vDeltaA_a,vDeltaA_a(AB)_C3,L,acetylcholine
179051,vDeltaB,vDeltaB_C8,R,acetylcholine
179073,vDeltaA_a,vDeltaA_a(AB)_C7,R,acetylcholine
179090,PFNp_d,PFNp_d,L,acetylcholine
179121,vDeltaA_a,vDeltaA_a(AB)_C5,R,acetylcholine
179200,PFNp_b,PFNp_b,R,acetylcholine
179246,FS2,FS2_C5_R,R,acetylcholine
179308,PFNp_d,PFNp_d,L,acetylcholine
179432,FS4B,FS4B_C4_L,L,acetylcholine
179453,vDeltaA_a,vDeltaA_a(AB)_C3,L,acetylcholine
179523,vDeltaA_a,vDeltaA_a(AB)_C7,R,acetylcholine
179605,FS3_d,FS3_C7_R,R,acetylcholine
179749,vDeltaM,vDeltaM_C0,L,acetylcholine
179771,PFNp_b,PFNp_b,R,acetylcholine
180020,PFNp_b,PFNp_b,R,acetylcholine
180064,vDeltaL,vDeltaL_C6,L,acetylcholine
180075,PFNp_b,PFNp_b,L,acetylcholine
180111,FS3_a,FS3_a_C7_R,R,acetylcholine
180207,FS1B_a,FS1B_a_C1_R,R,acetylcholine
180368,vDeltaA_b,vDeltaA_b_C6,R,acetylcholine
180461,PFNp_b,PFNp_b,L,acetylcholine
180542,vDeltaA_a,vDeltaA_a(AB)_C5,R,acetylcholine
180783,FS3_d,FS3_C4_L,L,acetylcholine
181096,FS4A,FS4A_C3_L,L,acetylcholine
181099,FS2,FS2_C5_L,L,acetylcholine
