bodyId,type,instance,somaSide,nt
128209,LLPC1,LLPC1_L,L,acetylcholine
129430,PAM08,PAM08(y4)_L,L,dopamine
129563,PAM01,PAM01(y5)_R,R,dopamine
131419,PAM06,PAM06(B'2m)_R,R,dopamine
131607,PAM07,PAM07(y4<y1y2)_L,L,dopamine
132513,PAM06,PAM06(B'2m)_R,R,dopamine
133019,PAM08,PAM08(y4)_R,R,dopamine
134265,PAM06,PAM06(B'2m)_R,R,dopamine
134769,PAM06,PAM06(B'2m)_R,R,dopamine
134869,PAM06,PAM06(B'2m)_L,L,dopamine
135046,PAM02,PAM02(B'2a)_L,L,dopamine
135171,PAM12,PAM12(y3)_R,R,dopamine
135287,PAM05,PAM05(B'2p)_L,L,dopamine
135290,PAM15,PAM15(y5B'2a)_R,R,dopamine
135578,PAM08,PAM08(y4)_L,L,dopamine
136024,PAM06,PAM06(B'2m)_L,L,dopamine
136144,PAM08,PAM08(y4)_R,R,dopamine
136215,PAM06,PAM06(B'2m)_L,L,dopamine
137321,PAM04,PAM04(B2)_L,L,dopamine
137373,PAM06,PAM06(B'2m)_L,L,dopamine
137539,PAM11,PAM11(a1)_R,R,dopamine
137595,PAM07,PAM07(y4<y1y2)_R,R,dopamine
138585,PAM12,PAM12(y3)_L,L,dopamine
138629,PAM01,PAM01(y5)_L,L,dopamine
138822,PAM11,PAM11(a1)_L,L,dopamine
139280,PAM12,PAM12(y3)_R,R,dopamine
139378,PAM12,PAM12(y3)_R,R,dopamine
139706,PAM11,PAM11(a1)_R,R,dopamine
140271,PAM06,PAM06(B'2m)_R,R,dopamine
141246,PAM02,PAM02(B'2a)_L,L,dopamine
141510,PAM15,PAM15(y5B'2a)_R,R,dopamine
141615,PAM01,PAM01(y5)_R,R,dopamine
142238,PAM02,PAM02(B'2a)_R,R,dopamine
142528,PAM09,PAM09(B1ped)_R,R,dopamine
142538,PAM08,PAM08(y4)_R,R,dopamine
142660,PAM13,PAM13(B'1ap)_R,R,dopamine
142898,PAM06,PAM06(B'2m)_R,R,dopamine
143120,PAM10,PAM10(B1)_L,L,dopamine
144126,PAM02,PAM02(B'2a)_R,R,dopamine
144315,PAM01,PAM01(y5)_R,R,dopamine
144625,PAM12,PAM12(y3)_L,L,dopamine
144678,PAM04,PAM04(B2)_R,R,dopamine
145022,PAM02,PAM02(B'2a)_L,L,dopamine
145094,PAM01,PAM01(y5)_R,R,dopamine
145148,PAM01,PAM01(y5)_L,L,dopamine
145324,PAM02,PAM02(B'2a)_L,L,dopamine
145371,PAM05,PAM05(B'2p)_L,L,dopamine
145749,PAM11,PAM11(a1)_L,L,dopamine
146058,PAM08,PAM08(y4)_R,R,dopamine
146418,PAM12,PAM12(y3)_R,R,dopamine
146603,PAM01,PAM01(y5)_R,R,dopamine
146773,PAM04,PAM04(B2)_R,R,dopamine
146774,PAM14,PAM14(B'1m)_R,R,dopamine
147184,PAM08,PAM08(y4)_L,L,dopamine
147591,PAM06,PAM06(B'2m)_R,R,dopamine
147857,PAM11,PAM11(a1)_L,L,dopamine
148328,PAM02,PAM02(B'2a)_L,L,dopamine
148469,PAM02,PAM02(B'2a)_L,L,dopamine
149869,PAM09,PAM09(B1ped)_L,L,dopamine
150034,PAM09,PAM09(B1ped)_R,R,dopamine
150177,PAM01,PAM01(y5)_L,L,dopamine
150515,LLPC1,LLPC1_L,L,acetylcholine
150828,PAM02,PAM02(B'2a)_L,L,dopamine
150983,PAM14,PAM14(B'1m)_L,L,dopamine
151013,PAM03,PAM03(B2B'2a)_L,L,dopamine
151133,PAM06,PAM06(B'2m)_L,L,dopamine
151993,PAM05,PAM05(B'2p)_R,R,dopamine
152019,PAM08,PAM08(y4)_R,R,dopamine
152044,PAM08,PAM08(y4)_R,R,dopamine
152056,PAM06,PAM06(B'2m)_L,L,dopamine
152291,PAM14,PAM14(B'1m)_L,L,dopamine
152326,PAM13,PAM13(B'1ap)_L,L,dopamine
152385,PAM08,PAM08(y4)_R,R,dopamine
152428,PAM12,PAM12(y3)_L,L,dopamine
152997,PAM05,PAM05(B'2p)_L,L,dopamine
153035,PAM04,PAM04(B2)_L,L,dopamine
153771,PAM07,PAM07(y4<y1y2)_L,L,dopamine
153891,aDT4,aDT4_L,L,serotonin
153931,PAM01,PAM01(y5)_L,L,dopamine
154230,PAM05,PAM05(B'2p)_R,R,dopamine
154387,PAM14,PAM14(B'1m)_L,L,dopamine
155329,PAM02,PAM02(B'2a)_R,R,dopamine
155916,PAM01,PAM01(y5)_L,L,dopamine
156028,PAM01,PAM01(y5)_R,R,dopamine
156046,PAM01,PAM01(y5)_L,L,dopamine
157016,PAM11,PAM11(a1)_L,L,dopamine
157134,PAM08,PAM08(y4)_R,R,dopamine
157257,PAM12,PAM12(y3)_L,L,dopamine
157265,LLPC1,LLPC1_L,L,acetylcholine
157370,PAM13,PAM13(B'1ap)_R,R,dopamine
157683,PAM04,PAM04(B2)_R,R,dopamine
157767,PAM05,PAM05(B'2p)_R,R,dopamine
157816,PAM04,PAM04(B2)_L,L,dopamine
158196,PAM04,PAM04(B2)_L,L,dopamine
158372,PAM08,PAM08(y4)_L,L,dopamine
158651,PAM06,PAM06(B'2m)_L,L,dopamine
158917,PAM12,PAM12(y3)_R,R,dopamine
159062,PAM01,PAM01(y5)_L,L,dopamine
159158,PAM01,PAM01(y5)_L,L,dopamine
159831,PAM14,PAM14(B'1m)_L,L,dopamine
160277,PAM06,PAM06(B'2m)_R,R,dopamine
161079,PAM15,PAM15(y5B'2a)_L,L,dopamine
161153,PAM08,PAM08(y4)_L,L,dopamine
161596,PAM14,PAM14(B'1m)_R,R,dopamine
162050,PAM08,PAM08(y4)_L,L,dopamine
162116,PAM13,PAM13(B'1ap)_L,L,dopamine
162631,PAM13,PAM13(B'1ap)_R,R,dopamine
163194,PAM06,PAM06(B'2m)_R,R,dopamine
163883,PAM03,PAM03(B2B'2a)_L,L,dopamine
163951,PAM06,PAM06(B'2m)_R,R,dopamine
164086,PAM01,PAM01(y5)_R,R,dopamine
164228,LLPC1,LLPC1_L,L,acetylcholine
164279,PAM14,PAM14(B'1m)_R,R,dopamine
164601,PAM14,PAM14(B'1m)_L,L,dopamine
165187,PAM05,PAM05(B'2p)_R,R,dopamine
165365,PAM01,PAM01(y5)_L,L,dopamine
166882,SNpp23,SNpp23_L,,serotonin
167009,PAM01,PAM01(y5)_R,R,dopamine
167073,PAM14,PAM14(B'1m)_R,R,dopamine
168020,PAM03,PAM03(B2B'2a)_L,L,dopamine
168080,PAM03,PAM03(B2B'2a)_L,L,dopamine
169027,PAM03,PAM03(B2B'2a)_R,R,dopamine
169101,LLPC1,LLPC1_L,L,acetylcholine
169278,PAM01,PAM01(y5)_L,L,dopamine
169674,PAM04,PAM04(B2)_L,L,dopamine
170450,PAM10,PAM10(B1)_L,L,dopamine
170467,PAM03,PAM03(B2B'2a)_R,R,dopamine
171959,PAM02,PAM02(B'2a)_R,R,dopamine
174255,PAM14,PAM14(B'1m)_L,L,dopamine
174384,PAM03,PAM03(B2B'2a)_R,R,dopamine
174672,PAM08,PAM08(y4)_L,L,dopamine
174862,PAM08,PAM08(y4)_R,R,dopamine
175232,PAM13,PAM13(B'1ap)_L,L,dopamine
175459,PAM08,PAM08(y4)_L,L,dopamine
175964,PAM08,PAM08(y4)_R,R,dopamine
176429,PAM04,PAM04(B2)_L,L,dopamine
176460,PAM15,PAM15(y5B'2a)_R,R,dopamine
177202,PAM03,PAM03(B2B'2a)_L,L,dopamine
177603,PAM04,PAM04(B2)_L,L,dopamine
177800,PAM04,PAM04(B2)_L,L,dopamine
178101,PAM08,PAM08(y4)_L,L,dopamine
178487,PAM08,PAM08(y4)_R,R,dopamine
178539,PAM04,PAM04(B2)_R,R,dopamine
178945,PAM10,PAM10(B1)_R,R,dopamine
180403,PAM09,PAM09(B1ped)_R,R,dopamine
181924,PAM01,PAM01(y5)_L,L,dopamine
183567,PAM13,PAM13(B'1ap)_L,L,dopamine
184778,PAM08,PAM08(y4)_R,R,dopamine
185518,PAM01,PAM01(y5)_L,L,dopamine
186566,PAM04,PAM04(B2)_R,R,dopamine
190296,PAM02,PAM02(B'2a)_R,R,dopamine
190297,PAM03,PAM03(B2B'2a)_L,L,dopamine
190319,EA00B006,EA00B006_M,M,octopamine
190635,PAM05,PAM05(B'2p)_R,R,dopamine
192245,PAM05,PAM05(B'2p)_R,R,dopamine
196030,PAM06,PAM06(B'2m)_L,L,dopamine
196622,PAM12,PAM12(y3)_R,R,dopamine
196985,PAM05,PAM05(B'2p)_R,R,dopamine
197691,PAM01,PAM01(y5)_L,L,dopamine
197920,PAM08,PAM08(y4)_R,R,dopamine
198507,PAM13,PAM13(B'1ap)_L,L,dopamine
198758,PAM01,PAM01(y5)_L,L,dopamine
200973,PAM10,PAM10(B1)_R,R,dopamine
202330,PAM13,PAM13(B'1ap)_R,R,dopamine
