type_pre,type_post,total,offset,weight,share
FC2A,hDeltaI,48,1,9,0.188
FC2A,hDeltaI,48,2,11,0.229
FC2A,hDeltaI,48,3,6,0.125
FC2A,hDeltaI,48,4,5,0.104
PFNa,FC1C_b,48,-1,6,0.125
PFNa,FC1C_b,48,0,31,0.646
PFNa,FC1C_b,48,1,11,0.229
FS1A_b,FC2C,48,-3,4,0.083
FS1A_b,FC2C,48,-2,8,0.167
FS1A_b,FC2C,48,-1,8,0.167
FS1A_b,FC2C,48,0,8,0.167
FS1A_b,FC2C,48,1,7,0.146
FS1A_b,FC2C,48,2,5,0.104
FS1A_b,FC2C,48,3,3,0.062
FS1A_b,FC2C,48,4,5,0.104
PFL3,hDeltaA,47,-3,3,0.064
PFL3,hDeltaA,47,-2,4,0.085
PFL3,hDeltaA,47,-1,4,0.085
PFL3,hDeltaA,47,0,18,0.383
PFL3,hDeltaA,47,1,6,0.128
PFL3,hDeltaA,47,2,8,0.17
PFL3,hDeltaA,47,3,2,0.043
PFL3,hDeltaA,47,4,2,0.043
PFNm_b,vDeltaF,47,-1,13,0.277
PFNm_b,vDeltaF,47,0,26,0.553
PFNm_b,vDeltaF,47,1,7,0.149
PFNm_b,vDeltaF,47,2,1,0.021
hDeltaM,FS2,47,-3,26,0.553
hDeltaM,FS2,47,-2,2,0.043
hDeltaM,FS2,47,3,1,0.021
hDeltaM,FS2,47,4,18,0.383
PFNd,hDeltaI,47,-3,3,0.064
PFNd,hDeltaI,47,-2,5,0.106
PFNd,hDeltaI,47,-1,3,0.064
PFNd,hDeltaI,47,0,5,0.106
PFNd,hDeltaI,47,1,14,0.298
PFNd,hDeltaI,47,2,12,0.255
PFNd,hDeltaI,47,3,2,0.043
PFNd,hDeltaI,47,4,3,0.064
FC1A,hDeltaI,47,0,8,0.17
FC1A,hDeltaI,47,1,8,0.17
FC1A,hDeltaI,47,2,18,0.383
FC1A,hDeltaI,47,3,12,0.255
FC1A,hDeltaI,47,4,1,0.021
PFNm_a,FS4B,47,-1,12,0.255
PFNm_a,FS4B,47,0,27,0.574
PFNm_a,FS4B,47,1,8,0.17
FC2C,hDeltaF,47,-3,6,0.128
FC2C,hDeltaF,47,-2,9,0.191
FC2C,hDeltaF,47,-1,9,0.191
FC2C,hDeltaF,47,0,4,0.085
FC2C,hDeltaF,47,2,7,0.149
FC2C,hDeltaF,47,3,11,0.234
FC2C,hDeltaF,47,4,1,0.021
hDeltaE,FS1B_b,46,-3,23,0.5
hDeltaE,FS1B_b,46,4,23,0.5
PFNm_b,vDeltaI_a,46,-1,9,0.196
PFNm_b,vDeltaI_a,46,0,28,0.609
PFNm_b,vDeltaI_a,46,1,9,0.196
hDeltaC,FS3_a,46,-3,1,0.022
hDeltaC,FS3_a,46,-2,2,0.043
hDeltaC,FS3_a,46,0,3,0.065
hDeltaC,FS3_a,46,1,9,0.196
hDeltaC,FS3_a,46,2,11,0.239
hDeltaC,FS3_a,46,3,11,0.239
hDeltaC,FS3_a,46,4,9,0.196
PFNa,vDeltaG,46,-2,2,0.043
PFNa,vDeltaG,46,-1,4,0.087
PFNa,vDeltaG,46,0,36,0.783
PFNa,vDeltaG,46,1,4,0.087
vDeltaA_a,FS4C,46,-1,5,0.109
vDeltaA_a,FS4C,46,0,18,0.391
vDeltaA_a,FS4C,46,1,18,0.391
vDeltaA_a,FS4C,46,2,5,0.109
PFR_b,FC3_b,46,-2,1,0.022
PFR_b,FC3_b,46,-1,9,0.196
PFR_b,FC3_b,46,0,29,0.63
PFR_b,FC3_b,46,1,7,0.152
FC1F,vDeltaH,45,-1,13,0.289
FC1F,vDeltaH,45,0,26,0.578
FC1F,vDeltaH,45,1,6,0.133
hDeltaC,FC2A,45,-3,2,0.044
hDeltaC,FC2A,45,0,4,0.089
hDeltaC,FC2A,45,1,15,0.333
hDeltaC,FC2A,45,2,8,0.178
hDeltaC,FC2A,45,3,10,0.222
hDeltaC,FC2A,45,4,6,0.133
PFR_b,FC3_a,45,-1,3,0.067
PFR_b,FC3_a,45,0,34,0.756
PFR_b,FC3_a,45,1,5,0.111
PFR_b,FC3_a,45,2,1,0.022
PFR_b,FC3_a,45,3,1,0.022
PFR_b,FC3_a,45,4,1,0.022
vDeltaF,FS1A_c,45,-2,3,0.067
vDeltaF,FS1A_c,45,-1,9,0.2
vDeltaF,FS1A_c,45,0,19,0.422
vDeltaF,FS1A_c,45,1,11,0.244
vDeltaF,FS1A_c,45,2,3,0.067
FC1D,hDeltaC,45,-2,1,0.022
FC1D,hDeltaC,45,-1,6,0.133
FC1D,hDeltaC,45,0,8,0.178
FC1D,hDeltaC,45,1,12,0.267
FC1D,hDeltaC,45,2,10,0.222
FC1D,hDeltaC,45,3,5,0.111
FC1D,hDeltaC,45,4,3,0.067
FC1B,vDeltaI_a,45,-2,2,0.044
FC1B,vDeltaI_a,45,-1,5,0.111
FC1B,vDeltaI_a,45,0,33,0.733
FC1B,vDeltaI_a,45,1,5,0.111
FC3_c,FC2C,45,-2,3,0.067
FC3_c,FC2C,45,-1,6,0.133
FC3_c,FC2C,45,0,25,0.556
FC3_c,FC2C,45,1,10,0.222
FC3_c,FC2C,45,2,1,0.022
PFR_b,vDeltaM,45,-2,1,0.022
PFR_b,vDeltaM,45,-1,14,0.311
PFR_b,vDeltaM,45,0,20,0.444
PFR_b,vDeltaM,45,1,10,0.222
hDeltaD,FS2,44,-3,14,0.318
hDeltaD,FS2,44,-2,2,0.045
hDeltaD,FS2,44,4,28,0.636
FC3_b,FC1A,44,-3,1,0.023
FC3_b,FC1A,44,-1,10,0.227
FC3_b,FC1A,44,0,25,0.568
FC3_b,FC1A,44,1,8,0.182
hDeltaI,hDeltaM,44,-3,8,0.182
hDeltaI,hDeltaM,44,-2,5,0.114
hDeltaI,hDeltaM,44,-1,3,0.068
hDeltaI,hDeltaM,44,0,3,0.068
hDeltaI,hDeltaM,44,1,6,0.136
hDeltaI,hDeltaM,44,2,8,0.182
hDeltaI,hDeltaM,44,3,5,0.114
hDeltaI,hDeltaM,44,4,6,0.136
hDeltaA,PFGs,44,-3,1,0.023
hDeltaA,PFGs,44,0,6,0.136
hDeltaA,PFGs,44,1,7,0.159
hDeltaA,PFGs,44,2,11,0.25
hDeltaA,PFGs,44,3,13,0.295
hDeltaA,PFGs,44,4,6,0.136
vDeltaB,vDeltaA_b,44,-3,2,0.045
vDeltaB,vDeltaA_b,44,-2,2,0.045
vDeltaB,vDeltaA_b,44,-1,13,0.295
vDeltaB,vDeltaA_b,44,0,18,0.409
vDeltaB,vDeltaA_b,44,1,8,0.182
vDeltaB,vDeltaA_b,44,2,1,0.023
FS2,FC2C,44,-1,9,0.205
FS2,FC2C,44,0,26,0.591
FS2,FC2C,44,1,7,0.159
FS2,FC2C,44,2,2,0.045
FS3_c,FS3_a,44,-3,6,0.136
FS3_c,FS3_a,44,-2,5,0.114
FS3_c,FS3_a,44,-1,1,0.023
FS3_c,FS3_a,44,0,5,0.114
FS3_c,FS3_a,44,1,9,0.205
FS3_c,FS3_a,44,2,10,0.227
FS3_c,FS3_a,44,3,2,0.045
FS3_c,FS3_a,44,4,6,0.136
FC1C_b,FC,43,-1,16,0.372
FC1C_b,FC,43,0,20,0.465
FC1C_b,FC,43,1,4,0.093
FC1C_b,FC,43,2,1,0.023
FC1C_b,FC,43,3,2,0.047
hDeltaJ,hDeltaG,43,-2,2,0.047
hDeltaJ,hDeltaG,43,0,2,0.047
hDeltaJ,hDeltaG,43,1,7,0.163
hDeltaJ,hDeltaG,43,2,10,0.233
hDeltaJ,hDeltaG,43,3,14,0.326
hDeltaJ,hDeltaG,43,4,8,0.186
FC1F,PFR_b,43,-1,4,0.093
FC1F,PFR_b,43,0,32,0.744
FC1F,PFR_b,43,1,7,0.163
FC1A,vDeltaG,43,-1,10,0.233
FC1A,vDeltaG,43,0,29,0.674
FC1A,vDeltaG,43,1,4,0.093
FC1B,PFR_b,43,-1,11,0.256
FC1B,PFR_b,43,0,28,0.651
FC1B,PFR_b,43,1,4,0.093
vDeltaL,PFR_b,43,-1,13,0.302
vDeltaL,PFR_b,43,0,20,0.465
vDeltaL,PFR_b,43,1,10,0.233
FC1F,FS4C,43,-1,3,0.07
FC1F,FS4C,43,0,35,0.814
FC1F,FS4C,43,1,5,0.116
FC1C_b,FC1A,43,-1,7,0.163
FC1C_b,FC1A,43,0,30,0.698
FC1C_b,FC1A,43,1,5,0.116
FC1C_b,FC1A,43,2,1,0.023
vDeltaA_b,hDeltaF,42,-3,1,0.024
vDeltaA_b,hDeltaF,42,-2,22,0.524
vDeltaA_b,hDeltaF,42,-1,10,0.238
vDeltaA_b,hDeltaF,42,0,4,0.095
vDeltaA_b,hDeltaF,42,1,4,0.095
vDeltaA_b,hDeltaF,42,3,1,0.024
hDeltaB,vDeltaI_b,42,-3,1,0.024
hDeltaB,vDeltaI_b,42,1,13,0.31
hDeltaB,vDeltaI_b,42,2,11,0.262
hDeltaB,vDeltaI_b,42,3,12,0.286
hDeltaB,vDeltaI_b,42,4,5,0.119
FC1D,FS1B_a,42,-2,1,0.024
FC1D,FS1B_a,42,-1,7,0.167
FC1D,FS1B_a,42,0,25,0.595
FC1D,FS1B_a,42,1,9,0.214
FC2C,FC,42,-1,9,0.214
FC2C,FC,42,0,27,0.643
FC2C,FC,42,1,6,0.143
FC3_a,FC1E,42,-1,6,0.143
FC3_a,FC1E,42,0,31,0.738
FC3_a,FC1E,42,1,5,0.119
FC1D,PFNa,42,-1,5,0.119
FC1D,PFNa,42,0,22,0.524
FC1D,PFNa,42,1,15,0.357
hDeltaL,hDeltaK,42,-3,1,0.024
hDeltaL,hDeltaK,42,-2,1,0.024
hDeltaL,hDeltaK,42,-1,5,0.119
hDeltaL,hDeltaK,42,0,29,0.69
hDeltaL,hDeltaK,42,1,5,0.119
hDeltaL,hDeltaK,42,3,1,0.024
PFNd,PFGs,42,0,18,0.429
PFNd,PFGs,42,1,24,0.571
vDeltaD,FS3_c,42,-1,13,0.31
vDeltaD,FS3_c,42,0,23,0.548
vDeltaD,FS3_c,42,1,6,0.143
FS2,vDeltaC,42,-2,1,0.024
FS2,vDeltaC,42,-1,10,0.238
FS2,vDeltaC,42,0,21,0.5
FS2,vDeltaC,42,1,8,0.19
FS2,vDeltaC,42,2,2,0.048
FC1A,PFNa,42,-1,6,0.143
FC1A,PFNa,42,0,26,0.619
FC1A,PFNa,42,1,9,0.214
FC1A,PFNa,42,2,1,0.024
hDeltaA,hDeltaH,41,-1,1,0.024
hDeltaA,hDeltaH,41,0,17,0.415
hDeltaA,hDeltaH,41,1,2,0.049
hDeltaA,hDeltaH,41,2,2,0.049
hDeltaA,hDeltaH,41,3,2,0.049
hDeltaA,hDeltaH,41,4,17,0.415
hDeltaL,FS1A_a,41,0,2,0.049
hDeltaL,FS1A_a,41,1,5,0.122
hDeltaL,FS1A_a,41,2,23,0.561
hDeltaL,FS1A_a,41,3,11,0.268
hDeltaA,vDeltaJ,41,-3,1,0.024
hDeltaA,vDeltaJ,41,-1,6,0.146
hDeltaA,vDeltaJ,41,0,13,0.317
hDeltaA,vDeltaJ,41,1,5,0.122
hDeltaA,vDeltaJ,41,2,8,0.195
hDeltaA,vDeltaJ,41,3,5,0.122
hDeltaA,vDeltaJ,41,4,3,0.073
vDeltaM,vDeltaA_b,41,-2,1,0.024
vDeltaM,vDeltaA_b,41,-1,7,0.171
vDeltaM,vDeltaA_b,41,0,28,0.683
vDeltaM,vDeltaA_b,41,1,3,0.073
vDeltaM,vDeltaA_b,41,2,2,0.049
hDeltaM,FR1,41,-3,19,0.463
hDeltaM,FR1,41,3,1,0.024
hDeltaM,FR1,41,4,21,0.512
hDeltaL,hDeltaE,41,-3,2,0.049
hDeltaL,hDeltaE,41,-1,4,0.098
hDeltaL,hDeltaE,41,0,8,0.195
hDeltaL,hDeltaE,41,1,3,0.073
hDeltaL,hDeltaE,41,2,17,0.415
hDeltaL,hDeltaE,41,3,3,0.073
hDeltaL,hDeltaE,41,4,4,0.098
hDeltaC,FS3_b,41,-3,7,0.171
hDeltaC,FS3_b,41,0,2,0.049
hDeltaC,FS3_b,41,1,13,0.317
hDeltaC,FS3_b,41,2,1,0.024
hDeltaC,FS3_b,41,3,5,0.122
hDeltaC,FS3_b,41,4,13,0.317
FC3_a,hDeltaL,41,-3,10,0.244
FC3_a,hDeltaL,41,-2,7,0.171
FC3_a,hDeltaL,41,-1,7,0.171
FC3_a,hDeltaL,41,0,4,0.098
FC3_a,hDeltaL,41,3,6,0.146
FC3_a,hDeltaL,41,4,7,0.171
FS3_c,FS3_c,41,-3,1,0.024
FS3_c,FS3_c,41,-2,9,0.22
FS3_c,FS3_c,41,-1,4,0.098
FS3_c,FS3_c,41,0,10,0.244
FS3_c,FS3_c,41,1,8,0.195
FS3_c,FS3_c,41,2,6,0.146
FS3_c,FS3_c,41,3,3,0.073
PFR_b,vDeltaI_a,41,-1,17,0.415
PFR_b,vDeltaI_a,41,0,20,0.488
PFR_b,vDeltaI_a,41,1,4,0.098
FS4A,FS4C,41,-3,2,0.049
FS4A,FS4C,41,-2,3,0.073
FS4A,FS4C,41,-1,6,0.146
FS4A,FS4C,41,0,11,0.268
FS4A,FS4C,41,1,8,0.195
FS4A,FS4C,41,2,5,0.122
FS4A,FS4C,41,3,2,0.049
FS4A,FS4C,41,4,4,0.098
FC1C_a,FS4B,41,-1,6,0.146
FC1C_a,FS4B,41,0,27,0.659
FC1C_a,FS4B,41,1,8,0.195
vDeltaL,PFR_a,41,-1,6,0.146
vDeltaL,PFR_a,41,0,26,0.634
vDeltaL,PFR_a,41,1,8,0.195
vDeltaL,PFR_a,41,2,1,0.024
FC1A,FR1,40,-3,1,0.025
FC1A,FR1,40,-1,6,0.15
FC1A,FR1,40,0,26,0.65
FC1A,FR1,40,1,7,0.175
FC1B,hDeltaI,40,0,8,0.2
FC1B,hDeltaI,40,1,12,0.3
FC1B,hDeltaI,40,2,8,0.2
FC1B,hDeltaI,40,3,11,0.275
FC1B,hDeltaI,40,4,1,0.025
hDeltaI,FS2,40,-3,4,0.1
hDeltaI,FS2,40,-1,1,0.025
hDeltaI,FS2,40,1,7,0.175
hDeltaI,FS2,40,2,14,0.35
hDeltaI,FS2,40,3,4,0.1
hDeltaI,FS2,40,4,10,0.25
vDeltaJ,FR1,40,-1,3,0.075
vDeltaJ,FR1,40,0,17,0.425
vDeltaJ,FR1,40,1,15,0.375
vDeltaJ,FR1,40,2,5,0.125
hDeltaA,vDeltaM,40,-3,1,0.025
hDeltaA,vDeltaM,40,-2,3,0.075
hDeltaA,vDeltaM,40,-1,7,0.175
hDeltaA,vDeltaM,40,0,3,0.075
hDeltaA,vDeltaM,40,1,8,0.2
hDeltaA,vDeltaM,40,2,3,0.075
hDeltaA,vDeltaM,40,3,7,0.175
hDeltaA,vDeltaM,40,4,8,0.2
vDeltaJ,PFR_b,40,-1,2,0.05
vDeltaJ,PFR_b,40,0,27,0.675
vDeltaJ,PFR_b,40,1,6,0.15
vDeltaJ,PFR_b,40,2,5,0.125
hDeltaI,FR1,40,1,10,0.25
hDeltaI,FR1,40,2,10,0.25
hDeltaI,FR1,40,3,12,0.3
hDeltaI,FR1,40,4,8,0.2
vDeltaG,vDeltaF,40,-3,2,0.05
vDeltaG,vDeltaF,40,-2,1,0.025
vDeltaG,vDeltaF,40,-1,12,0.3
vDeltaG,vDeltaF,40,0,17,0.425
vDeltaG,vDeltaF,40,1,7,0.175
vDeltaG,vDeltaF,40,2,1,0.025
FS2,vDeltaE,40,-1,9,0.225
FS2,vDeltaE,40,0,20,0.5
FS2,vDeltaE,40,1,11,0.275
PFR_a,vDeltaI_a,40,-2,1,0.025
PFR_a,vDeltaI_a,40,-1,9,0.225
PFR_a,vDeltaI_a,40,0,20,0.5
PFR_a,vDeltaI_a,40,1,10,0.25
PFR_b,vDeltaF,40,-2,3,0.075
PFR_b,vDeltaF,40,-1,10,0.25
PFR_b,vDeltaF,40,0,19,0.475
PFR_b,vDeltaF,40,1,8,0.2
PFNv,PFGs,39,-1,10,0.256
PFNv,PFGs,39,0,21,0.538
PFNv,PFGs,39,1,8,0.205
PFGs,hDeltaL,39,-3,7,0.179
PFGs,hDeltaL,39,-1,2,0.051
PFGs,hDeltaL,39,0,6,0.154
PFGs,hDeltaL,39,1,6,0.154
PFGs,hDeltaL,39,2,3,0.077
PFGs,hDeltaL,39,3,11,0.282
PFGs,hDeltaL,39,4,4,0.103
vDeltaB,FS2,39,-3,1,0.026
vDeltaB,FS2,39,-2,2,0.051
vDeltaB,FS2,39,-1,10,0.256
vDeltaB,FS2,39,0,17,0.436
vDeltaB,FS2,39,1,4,0.103
vDeltaB,FS2,39,2,5,0.128
vDeltaM,PFR_a,39,-2,1,0.026
vDeltaM,PFR_a,39,-1,6,0.154
vDeltaM,PFR_a,39,0,16,0.41
vDeltaM,PFR_a,39,1,15,0.385
vDeltaM,PFR_a,39,2,1,0.026
FS2,vDeltaD,39,-2,3,0.077
FS2,vDeltaD,39,-1,8,0.205
FS2,vDeltaD,39,0,21,0.538
FS2,vDeltaD,39,1,6,0.154
FS2,vDeltaD,39,3,1,0.026
FC2C,PFGs,39,-1,7,0.179
FC2C,PFGs,39,0,25,0.641
FC2C,PFGs,39,1,7,0.179
hDeltaH,hDeltaJ,38,-3,1,0.026
hDeltaH,hDeltaJ,38,-2,3,0.079
hDeltaH,hDeltaJ,38,-1,1,0.026
hDeltaH,hDeltaJ,38,0,14,0.368
hDeltaH,hDeltaJ,38,1,7,0.184
hDeltaH,hDeltaJ,38,2,5,0.132
hDeltaH,hDeltaJ,38,3,2,0.053
hDeltaH,hDeltaJ,38,4,5,0.132
hDeltaI,FC2B,38,0,3,0.079
hDeltaI,FC2B,38,1,8,0.211
hDeltaI,FC2B,38,2,15,0.395
hDeltaI,FC2B,38,3,6,0.158
hDeltaI,FC2B,38,4,6,0.158
FC2C,vDeltaF,38,-2,5,0.132
FC2C,vDeltaF,38,-1,9,0.237
FC2C,vDeltaF,38,0,15,0.395
FC2C,vDeltaF,38,1,9,0.237
vDeltaD,vDeltaE,38,-2,1,0.026
vDeltaD,vDeltaE,38,-1,5,0.132
vDeltaD,vDeltaE,38,0,20,0.526
vDeltaD,vDeltaE,38,1,10,0.263
vDeltaD,vDeltaE,38,2,2,0.053
FC3_c,FC2B,38,-1,8,0.211
FC3_c,FC2B,38,0,24,0.632
FC3_c,FC2B,38,1,6,0.158
hDeltaI,hDeltaB,38,-3,1,0.026
hDeltaI,hDeltaB,38,-2,5,0.132
hDeltaI,hDeltaB,38,-1,10,0.263
hDeltaI,hDeltaB,38,0,9,0.237
hDeltaI,hDeltaB,38,1,4,0.105
hDeltaI,hDeltaB,38,2,4,0.105
hDeltaI,hDeltaB,38,3,1,0.026
hDeltaI,hDeltaB,38,4,4,0.105
FS1A_a,FC2C,38,-3,2,0.053
FS1A_a,FC2C,38,-2,6,0.158
FS1A_a,FC2C,38,-1,4,0.105
FS1A_a,FC2C,38,0,4,0.105
FS1A_a,FC2C,38,1,4,0.105
FS1A_a,FC2C,38,2,2,0.053
FS1A_a,FC2C,38,3,10,0.263
FS1A_a,FC2C,38,4,6,0.158
vDeltaE,hDeltaH,37,-3,1,0.027
vDeltaE,hDeltaH,37,-1,1,0.027
vDeltaE,hDeltaH,37,0,2,0.054
vDeltaE,hDeltaH,37,1,1,0.027
vDeltaE,hDeltaH,37,2,1,0.027
vDeltaE,hDeltaH,37,3,19,0.514
vDeltaE,hDeltaH,37,4,12,0.324
FC1B,FC2B,37,-1,4,0.108
FC1B,FC2B,37,0,28,0.757
FC1B,FC2B,37,1,5,0.135
FC1E,FS1A_c,37,-1,1,0.027
FC1E,FS1A_c,37,0,32,0.865
FC1E,FS1A_c,37,1,4,0.108
PFNv,FS3_a,37,-1,7,0.189
PFNv,FS3_a,37,0,23,0.622
PFNv,FS3_a,37,1,7,0.189
hDeltaI,hDeltaH,37,-3,3,0.081
hDeltaI,hDeltaH,37,-2,6,0.162
hDeltaI,hDeltaH,37,-1,5,0.135
hDeltaI,hDeltaH,37,0,2,0.054
hDeltaI,hDeltaH,37,1,6,0.162
hDeltaI,hDeltaH,37,2,4,0.108
hDeltaI,hDeltaH,37,3,5,0.135
hDeltaI,hDeltaH,37,4,6,0.162
FC3_a,hDeltaK,37,-3,2,0.054
FC3_a,hDeltaK,37,-2,5,0.135
FC3_a,hDeltaK,37,-1,11,0.297
FC3_a,hDeltaK,37,0,1,0.027
FC3_a,hDeltaK,37,1,9,0.243
FC3_a,hDeltaK,37,2,2,0.054
FC3_a,hDeltaK,37,3,4,0.108
FC3_a,hDeltaK,37,4,3,0.081
FS1B_b,FS1B_a,37,-3,3,0.081
FS1B_b,FS1B_a,37,-2,4,0.108
FS1B_b,FS1B_a,37,-1,4,0.108
FS1B_b,FS1B_a,37,0,2,0.054
FS1B_b,FS1B_a,37,1,8,0.216
FS1B_b,FS1B_a,37,2,3,0.081
FS1B_b,FS1B_a,37,3,4,0.108
FS1B_b,FS1B_a,37,4,9,0.243
PFNd,FC2C,37,-1,1,0.027
PFNd,FC2C,37,0,12,0.324
PFNd,FC2C,37,1,24,0.649
vDeltaI_b,vDeltaK,37,-1,5,0.135
vDeltaI_b,vDeltaK,37,0,21,0.568
vDeltaI_b,vDeltaK,37,1,10,0.27
vDeltaI_b,vDeltaK,37,2,1,0.027
vDeltaA_b,FS3_d,37,-1,15,0.405
vDeltaA_b,FS3_d,37,0,11,0.297
vDeltaA_b,FS3_d,37,1,8,0.216
vDeltaA_b,FS3_d,37,2,3,0.081
hDeltaF,vDeltaB,36,-3,11,0.306
hDeltaF,vDeltaB,36,-2,14,0.389
hDeltaF,vDeltaB,36,-1,2,0.056
hDeltaF,vDeltaB,36,4,9,0.25
hDeltaH,PFGs,36,-3,11,0.306
hDeltaH,PFGs,36,0,7,0.194
hDeltaH,PFGs,36,4,18,0.5
FC1B,hDeltaH,36,-1,15,0.417
FC1B,hDeltaH,36,0,11,0.306
FC1B,hDeltaH,36,3,8,0.222
FC1B,hDeltaH,36,4,2,0.056
hDeltaA,FR1,36,-1,1,0.028
hDeltaA,FR1,36,0,7,0.194
hDeltaA,FR1,36,1,8,0.222
hDeltaA,FR1,36,2,7,0.194
hDeltaA,FR1,36,3,8,0.222
hDeltaA,FR1,36,4,5,0.139
FC1D,hDeltaI,36,-3,1,0.028
FC1D,hDeltaI,36,1,6,0.167
FC1D,hDeltaI,36,2,14,0.389
FC1D,hDeltaI,36,3,11,0.306
FC1D,hDeltaI,36,4,4,0.111
vDeltaD,FS3_a,36,-2,1,0.028
vDeltaD,FS3_a,36,-1,6,0.167
vDeltaD,FS3_a,36,0,14,0.389
vDeltaD,FS3_a,36,1,12,0.333
vDeltaD,FS3_a,36,2,3,0.083
vDeltaI_a,FC1C_b,36,-1,4,0.111
vDeltaI_a,FC1C_b,36,0,23,0.639
vDeltaI_a,FC1C_b,36,1,9,0.25
PFGs,FC3_a,36,0,31,0.861
PFGs,FC3_a,36,1,5,0.139
vDeltaG,hDeltaC,36,-3,1,0.028
vDeltaG,hDeltaC,36,-2,3,0.083
vDeltaG,hDeltaC,36,-1,3,0.083
vDeltaG,hDeltaC,36,0,6,0.167
vDeltaG,hDeltaC,36,1,9,0.25
vDeltaG,hDeltaC,36,2,4,0.111
vDeltaG,hDeltaC,36,3,7,0.194
vDeltaG,hDeltaC,36,4,3,0.083
FS4B,vDeltaA_a,36,-3,3,0.083
FS4B,vDeltaA_a,36,-2,3,0.083
FS4B,vDeltaA_a,36,-1,9,0.25
FS4B,vDeltaA_a,36,0,10,0.278
FS4B,vDeltaA_a,36,1,9,0.25
FS4B,vDeltaA_a,36,2,2,0.056
vDeltaF,PFR_a,36,-1,11,0.306
vDeltaF,PFR_a,36,0,14,0.389
vDeltaF,PFR_a,36,1,10,0.278
vDeltaF,PFR_a,36,2,1,0.028
PFNa,PFNd,36,-3,1,0.028
PFNa,PFNd,36,-1,14,0.389
PFNa,PFNd,36,0,19,0.528
PFNa,PFNd,36,1,1,0.028
PFNa,PFNd,36,2,1,0.028
PFL2,PFL3,36,-3,3,0.083
PFL2,PFL3,36,-2,5,0.139
PFL2,PFL3,36,-1,4,0.111
PFL2,PFL3,36,0,10,0.278
PFL2,PFL3,36,1,4,0.111
PFL2,PFL3,36,2,3,0.083
PFL2,PFL3,36,3,3,0.083
PFL2,PFL3,36,4,4,0.111
PFL3,PFL2,36,-3,2,0.056
PFL3,PFL2,36,-2,4,0.111
PFL3,PFL2,36,-1,2,0.056
PFL3,PFL2,36,0,13,0.361
PFL3,PFL2,36,1,4,0.111
PFL3,PFL2,36,2,4,0.111
PFL3,PFL2,36,3,3,0.083
PFL3,PFL2,36,4,4,0.111
FC3_b,hDeltaK,36,-3,4,0.111
FC3_b,hDeltaK,36,-1,5,0.139
FC3_b,hDeltaK,36,0,4,0.111
FC3_b,hDeltaK,36,1,6,0.167
FC3_b,hDeltaK,36,2,5,0.139
FC3_b,hDeltaK,36,3,5,0.139
FC3_b,hDeltaK,36,4,7,0.194
FC3_b,hDeltaA,35,-3,3,0.086
FC3_b,hDeltaA,35,-2,1,0.029
FC3_b,hDeltaA,35,-1,3,0.086
FC3_b,hDeltaA,35,0,16,0.457
FC3_b,hDeltaA,35,1,1,0.029
FC3_b,hDeltaA,35,2,1,0.029
FC3_b,hDeltaA,35,3,6,0.171
FC3_b,hDeltaA,35,4,4,0.114
FC1A,FS1A_c,35,-1,7,0.2
FC1A,FS1A_c,35,0,25,0.714
FC1A,FS1A_c,35,1,3,0.086
hDeltaJ,PFL2,35,1,6,0.171
hDeltaJ,PFL2,35,2,7,0.2
hDeltaJ,PFL2,35,3,12,0.343
hDeltaJ,PFL2,35,4,10,0.286
PFNm_a,vDeltaH,35,-1,7,0.2
PFNm_a,vDeltaH,35,0,21,0.6
PFNm_a,vDeltaH,35,1,6,0.171
PFNm_a,vDeltaH,35,2,1,0.029
vDeltaG,FS1B_a,35,-1,6,0.171
vDeltaG,FS1B_a,35,0,25,0.714
vDeltaG,FS1B_a,35,1,4,0.114
vDeltaM,PFGs,35,-1,3,0.086
vDeltaM,PFGs,35,0,15,0.429
vDeltaM,PFGs,35,1,17,0.486
FC1D,FC3_a,35,-3,1,0.029
FC1D,FC3_a,35,-1,3,0.086
FC1D,FC3_a,35,0,27,0.771
FC1D,FC3_a,35,1,4,0.114
FC2A,hDeltaH,35,-1,10,0.286
FC2A,hDeltaH,35,0,12,0.343
FC2A,hDeltaH,35,3,7,0.2
FC2A,hDeltaH,35,4,6,0.171
vDeltaG,FS1A_a,35,-2,3,0.086
vDeltaG,FS1A_a,35,-1,4,0.114
vDeltaG,FS1A_a,35,0,17,0.486
vDeltaG,FS1A_a,35,1,9,0.257
vDeltaG,FS1A_a,35,2,2,0.057
FS4C,FS4A,35,-3,6,0.171
FS4C,FS4A,35,-2,8,0.229
FS4C,FS4A,35,-1,3,0.086
FS4C,FS4A,35,0,7,0.2
FS4C,FS4A,35,1,5,0.143
FS4C,FS4A,35,2,3,0.086
FS4C,FS4A,35,3,2,0.057
FS4C,FS4A,35,4,1,0.029
vDeltaB,FS3_d,35,-2,4,0.114
vDeltaB,FS3_d,35,-1,11,0.314
vDeltaB,FS3_d,35,0,11,0.314
vDeltaB,FS3_d,35,1,9,0.257
hDeltaM,FS4C,34,-3,16,0.471
hDeltaM,FS4C,34,4,18,0.529
hDeltaF,FS1A_a,34,-3,34,1.0
hDeltaF,hDeltaG,34,-3,8,0.235
hDeltaF,hDeltaG,34,-2,12,0.353
hDeltaF,hDeltaG,34,0,1,0.029
hDeltaF,hDeltaG,34,1,1,0.029
hDeltaF,hDeltaG,34,2,1,0.029
hDeltaF,hDeltaG,34,3,4,0.118
