post,pre,syn,share,pre_superclass,pre_nt,pre_n,hb_syn,hb_share
ExR8,PS291,201,0.035,cb_intrinsic,acetylcholine,4,48,0.007
FB4D_a,CRE071,91,0.035,cb_intrinsic,acetylcholine,2,0,
FB4L,mALB5,339,0.035,cb_intrinsic,gaba,2,73,0.015
FB4P_b,CRE005,160,0.035,cb_intrinsic,acetylcholine,4,175,0.015
FB5G_a,SIP065,170,0.035,cb_intrinsic,glutamate,2,0,
FB5G_a,SMP542,169,0.035,cb_intrinsic,glutamate,2,0,
FB5O,CRE025,115,0.035,cb_intrinsic,glutamate,2,92,0.023
FB5P,SIP066,123,0.035,cb_intrinsic,glutamate,4,48,0.017
FB5Q,SMP541,237,0.035,cb_intrinsic,glutamate,2,179,0.032
FB6C_b,PRW001,288,0.035,cb_intrinsic,unclear,2,0,0.0
FB6C_b,SLP340,287,0.035,cb_intrinsic,glutamate,2,48,0.01
FB6T,CB2116,122,0.035,cb_intrinsic,glutamate,7,0,0.0
FB8H,CB4023,157,0.035,cb_intrinsic,acetylcholine,9,0,0.0
FB9C,CB2208,88,0.035,cb_intrinsic,acetylcholine,8,0,
ER1_c,WED002,103,0.034,cb_intrinsic,acetylcholine,16,0,
FB4H,MBON25-like,207,0.034,cb_intrinsic,glutamate,4,0,0.0
FB5V_c,CL129,165,0.034,cb_intrinsic,acetylcholine,2,0,
FB5X,SMP133,314,0.034,cb_intrinsic,glutamate,10,155,0.017
FB6D,SMP354,211,0.034,cb_intrinsic,acetylcholine,6,108,0.018
FB6S,SIP046,147,0.034,cb_intrinsic,glutamate,2,62,0.023
FB7F,SLP440,88,0.034,cb_intrinsic,acetylcholine,2,12,0.012
FB8E,SLP347,92,0.034,cb_intrinsic,glutamate,4,44,0.017
FB8H,LHPV5a3,151,0.034,cb_intrinsic,acetylcholine,6,72,0.017
FS4B,SLP414,176,0.034,cb_intrinsic,glutamate,11,239,0.028
ExR4,PS196_b,686,0.033,cb_intrinsic,acetylcholine,2,0,0.0
FB4A_b,MBON04,86,0.033,cb_intrinsic,glutamate,2,0,
FB4D_c,CRE042,86,0.033,cb_intrinsic,gaba,2,0,
FB4E_b,SMP122,105,0.033,cb_intrinsic,glutamate,3,0,
FB4M,PLP246,660,0.033,cb_intrinsic,acetylcholine,2,257,0.019
