post,pre,syn,share,pre_superclass,pre_nt,pre_n,hb_syn,hb_share
FB6T,SLP204,59,0.017,cb_intrinsic,glutamate,7,4,0.001
FB6V,CRE025,83,0.017,cb_intrinsic,glutamate,2,46,0.011
FB6Z,SMP086,51,0.017,cb_intrinsic,glutamate,4,11,0.004
FB7B,SMP187,89,0.017,cb_intrinsic,acetylcholine,2,16,0.004
FB7E,CB2638,115,0.017,cb_intrinsic,acetylcholine,6,0,0.0
FB8C,AVLP594,83,0.017,cb_intrinsic,unclear,2,17,0.003
FB8F_a,CB4123,81,0.017,cb_intrinsic,glutamate,7,0,0.0
FB8F_b,SLP441,100,0.017,cb_intrinsic,acetylcholine,2,80,0.019
FS4A,CB2517,245,0.017,cb_intrinsic,glutamate,3,0,0.0
LCNOpm,LAL051,306,0.017,cb_intrinsic,glutamate,2,122,0.014
LCNOpm,PVLP138,290,0.017,cb_intrinsic,acetylcholine,2,0,0.0
ER1_a,CB2713,156,0.016,cb_intrinsic,acetylcholine,4,0,0.0
ER1_b,WEDPN16_d,186,0.016,cb_intrinsic,acetylcholine,6,60,0.007
ER3a_c,LAL047,69,0.016,cb_intrinsic,gaba,2,15,0.005
ExR5,MeVPMe6,197,0.016,visual_projection,glutamate,2,0,0.0
FB1C,MBON05,208,0.016,cb_intrinsic,glutamate,2,51,0.006
FB1D,DNpe053,61,0.016,descending_neuron,acetylcholine,2,0,0.0
FB2C,SMP188,81,0.016,cb_intrinsic,acetylcholine,2,78,0.009
FB2K,LAL076,120,0.016,cb_intrinsic,glutamate,2,59,0.011
FB4A_a,MBON04,66,0.016,cb_intrinsic,glutamate,2,0,
FB4A_a,LHPD2c7,64,0.016,cb_intrinsic,glutamate,4,0,
FB4E_a,SMP109,69,0.016,cb_intrinsic,acetylcholine,2,0,
FB4F_a,CRE044,88,0.016,cb_intrinsic,gaba,8,159,0.012
FB4F_a,CRE005,84,0.016,cb_intrinsic,acetylcholine,4,81,0.006
FB4M,SMP048,313,0.016,cb_intrinsic,acetylcholine,2,96,0.007
FB4O,LHPD2c7,127,0.016,cb_intrinsic,glutamate,4,51,0.009
FB4P_a,SMP123,138,0.016,cb_intrinsic,glutamate,4,129,0.013
FB5A,SMP192,379,0.016,cb_intrinsic,acetylcholine,2,122,0.006
FB5AA,CRE025,77,0.016,cb_intrinsic,glutamate,2,39,0.009
FB5C,CRE050,103,0.016,cb_intrinsic,glutamate,2,48,0.01
FB5D,SMP471,111,0.016,cb_intrinsic,acetylcholine,2,44,0.008
FB5F,SMP507,57,0.016,cb_intrinsic,acetylcholine,2,46,0.014
FB5V_a,CRE023,115,0.016,cb_intrinsic,glutamate,2,0,
FB5X,PLP246,153,0.016,cb_intrinsic,acetylcholine,2,136,0.015
FB5Y_b,SIP067,51,0.016,cb_intrinsic,acetylcholine,2,0,
FB6A_a,CB4110,136,0.016,cb_intrinsic,acetylcholine,14,0,
FB6F,SLP355,59,0.016,cb_intrinsic,acetylcholine,2,40,0.012
FB6G,SLP396,55,0.016,cb_intrinsic,acetylcholine,4,20,0.007
FB6M,SIP076,103,0.016,cb_intrinsic,acetylcholine,20,8,0.002
FB6U,SIP029,117,0.016,cb_intrinsic,acetylcholine,2,61,0.009
FB7B,SLP347,81,0.016,cb_intrinsic,glutamate,4,21,0.005
FB7I,SIP029,121,0.016,cb_intrinsic,acetylcholine,2,76,0.011
FB7L,CB4023,132,0.016,cb_intrinsic,acetylcholine,9,0,0.0
FB7L,SMP095,130,0.016,cb_intrinsic,glutamate,4,26,0.004
FB7L,SMP535,125,0.016,cb_intrinsic,glutamate,4,59,0.01
FB8F_b,SMP235,95,0.016,cb_intrinsic,glutamate,2,9,0.002
FB8F_b,SLP470,94,0.016,cb_intrinsic,acetylcholine,2,0,0.0
FB8I,SIP065,87,0.016,cb_intrinsic,glutamate,2,33,0.011
LCNOp,CRE039,105,0.016,cb_intrinsic,glutamate,8,53,0.009
LCNOp,LAL043_b,105,0.016,cb_intrinsic,unclear,2,0,0.0
LCNOpm,LAL300m,284,0.016,cb_intrinsic,acetylcholine,4,0,0.0
LCNOpm,LAL175,279,0.016,cb_intrinsic,acetylcholine,4,56,0.006
LNO1,LAL051,177,0.016,cb_intrinsic,glutamate,2,42,0.007
LNO1,LAL127,170,0.016,cb_intrinsic,gaba,4,53,0.008
LNO2,LAL014,300,0.016,cb_intrinsic,acetylcholine,2,88,0.008
LNOa,LAL133_b,84,0.016,cb_intrinsic,glutamate,2,0,0.0
PFNv,OA-VPM3,321,0.016,cb_intrinsic,octopamine,2,305,0.015
SpsP,CB3140,59,0.016,cb_intrinsic,acetylcholine,6,0,0.0
hDeltaA,FB5V_b,810,0.016,cb_intrinsic,glutamate,6,0,0.0
hDeltaI,FB5V_b,609,0.016,cb_intrinsic,glutamate,6,0,0.0
ER1_b,LHPV6q1,169,0.015,cb_intrinsic,unclear,2,142,0.018
ER3a_b,LAL138,86,0.015,cb_intrinsic,gaba,2,29,0.011
ER3a_c,CB4112,66,0.015,cb_intrinsic,glutamate,11,0,0.0
ExR3,ATL021,232,0.015,cb_intrinsic,glutamate,2,146,0.009
FB1C,SMP178,193,0.015,cb_intrinsic,acetylcholine,2,57,0.006
FB2C,SMP374,75,0.015,cb_intrinsic,glutamate,4,54,0.007
FB2E,WED092,57,0.015,cb_intrinsic,acetylcholine,10,51,0.012
FB3A,WED128,171,0.015,cb_intrinsic,acetylcholine,8,50,0.006
FB4A_a,SMP089,61,0.015,cb_intrinsic,glutamate,4,0,
FB4E_a,AVLP562,65,0.015,cb_intrinsic,acetylcholine,2,0,
FB4L,OA-VPM3,147,0.015,cb_intrinsic,octopamine,2,134,0.027
FB4L,WEDPN7A,144,0.015,cb_intrinsic,acetylcholine,7,18,0.004
FB4L,PLP032,144,0.015,cb_intrinsic,acetylcholine,2,16,0.003
FB4L,AOTU045,141,0.015,visual_projection,glutamate,2,11,0.002
FB4N,SIP064,180,0.015,cb_intrinsic,acetylcholine,2,132,0.011
FB4P_c,CRE049,56,0.015,cb_intrinsic,acetylcholine,2,0,
FB4Q_c,LHPD5f1,52,0.015,cb_intrinsic,glutamate,2,0,
FB5AB,LHPV4m1,189,0.015,cb_intrinsic,acetylcholine,2,71,0.008
FB5AB,SMP568_b,181,0.015,cb_intrinsic,acetylcholine,6,26,0.003
FB5B,SIP090,75,0.015,cb_intrinsic,acetylcholine,1,45,0.009
FB5G_a,SMP190,73,0.015,cb_intrinsic,acetylcholine,2,0,
FB5G_a,oviIN,72,0.015,cb_intrinsic,gaba,2,0,
FB5H,SMP179,121,0.015,cb_intrinsic,acetylcholine,2,6,0.001
FB5I,SMP011_a,109,0.015,cb_intrinsic,glutamate,2,0,0.0
FB5P,SMP154,51,0.015,cb_intrinsic,acetylcholine,2,24,0.009
FB5Q,SMP577,103,0.015,cb_intrinsic,acetylcholine,2,67,0.012
FB5V_a,CRE022,109,0.015,cb_intrinsic,glutamate,2,0,
FB5X,SMP010,141,0.015,cb_intrinsic,glutamate,2,54,0.006
FB5X,LAL154,139,0.015,cb_intrinsic,acetylcholine,2,119,0.013
FB5Z,CRE078,57,0.015,cb_intrinsic,acetylcholine,4,20,0.006
FB6A_b,SMP086,101,0.015,cb_intrinsic,glutamate,4,0,
FB6E,SMP504,58,0.015,cb_intrinsic,acetylcholine,2,83,0.019
FB6F,SMP243,55,0.015,cb_intrinsic,acetylcholine,8,14,0.004
FB6F,SLP074,55,0.015,cb_intrinsic,acetylcholine,2,44,0.013
FB6H,SMP535,107,0.015,cb_intrinsic,glutamate,4,32,0.005
FB7E,LAL137,102,0.015,cb_intrinsic,acetylcholine,2,69,0.012
FB7E,SMP535,96,0.015,cb_intrinsic,glutamate,4,20,0.004
FB8F_a,CB2955,73,0.015,cb_intrinsic,glutamate,6,0,0.0
FB8F_a,SLP470,72,0.015,cb_intrinsic,acetylcholine,2,0,0.0
FB8F_a,SLP259,71,0.015,cb_intrinsic,glutamate,4,85,0.021
FB8H,BiT,69,0.015,cb_intrinsic,acetylcholine,2,0,0.0
FS1A_b,SMP371_b,117,0.015,cb_intrinsic,glutamate,2,0,
FS1A_c,SMP371_a,142,0.015,cb_intrinsic,glutamate,2,0,
FS3_d,DGI,102,0.015,cb_intrinsic,glutamate,2,0,
FS3_d,CB4134,101,0.015,cb_intrinsic,glutamate,9,0,
FS4B,CB2517,76,0.015,cb_intrinsic,glutamate,3,0,0.0
IbSpsP,WED128,248,0.015,cb_intrinsic,acetylcholine,8,58,0.004
LNO2,PVLP138,287,0.015,cb_intrinsic,acetylcholine,2,0,0.0
LNO2,LAL040,281,0.015,cb_intrinsic,gaba,2,160,0.014
PFL2,VES041,467,0.015,cb_intrinsic,gaba,2,354,0.011
ER1_a,WED009,131,0.014,cb_intrinsic,acetylcholine,6,14,0.002
ExR1,TuBu06,779,0.014,cb_intrinsic,acetylcholine,10,391,0.01
ExR3,AN07B004,216,0.014,ascending_neuron,acetylcholine,2,0,0.0
ExR7,PS292,96,0.014,cb_intrinsic,acetylcholine,4,14,0.001
ExR7,SMP147,95,0.014,cb_intrinsic,gaba,2,45,0.004
FB1H,SMP133,184,0.014,cb_intrinsic,glutamate,10,152,0.009
FB2A,LAL156_b,140,0.014,cb_intrinsic,acetylcholine,2,0,0.0
FB2A,CB1980,137,0.014,cb_intrinsic,acetylcholine,4,0,0.0
FB2C,SMP011_b,69,0.014,cb_intrinsic,glutamate,2,0,0.0
FB2D,PLP046,254,0.014,cb_intrinsic,glutamate,12,0,0.0
FB2L,SMP116,50,0.014,cb_intrinsic,glutamate,2,60,0.023
FB3A,LAL168,165,0.014,cb_intrinsic,acetylcholine,2,8,0.001
FB3C,SMP183,130,0.014,cb_intrinsic,acetylcholine,2,42,0.007
FB4B,WED153,148,0.014,cb_intrinsic,acetylcholine,6,65,0.009
FB4G,MBON25-like,86,0.014,cb_intrinsic,glutamate,4,0,0.0
FB4G,MBON34,84,0.014,cb_intrinsic,glutamate,2,26,0.004
FB4G,PLP162,82,0.014,cb_intrinsic,acetylcholine,4,35,0.005
FB4H,CRE044,84,0.014,cb_intrinsic,gaba,8,186,0.028
FB4K,SMP154,109,0.014,cb_intrinsic,acetylcholine,2,102,0.015
FB4K,SMP146,108,0.014,cb_intrinsic,gaba,2,124,0.018
FB4M,SMP008,280,0.014,cb_intrinsic,acetylcholine,9,27,0.002
FB4M,mALD4,276,0.014,cb_intrinsic,gaba,2,131,0.01
FB4P_a,SMP471,118,0.014,cb_intrinsic,acetylcholine,2,85,0.008
FB4P_c,CRE005,54,0.014,cb_intrinsic,acetylcholine,4,0,
FB4P_c,CRE106,52,0.014,cb_intrinsic,acetylcholine,4,0,
FB4R,CRE007,94,0.014,cb_intrinsic,glutamate,2,13,0.003
FB5A,CRE086,333,0.014,cb_intrinsic,acetylcholine,6,131,0.007
FB5AB,SMP126,170,0.014,cb_intrinsic,glutamate,2,91,0.01
FB5AB,LHPV10d1,170,0.014,cb_intrinsic,acetylcholine,2,94,0.01
FB5B,SLP451,71,0.014,cb_intrinsic,acetylcholine,4,18,0.004
FB5C,CRE025,86,0.014,cb_intrinsic,glutamate,2,39,0.008
FB5I,SLP247,106,0.014,cb_intrinsic,acetylcholine,2,64,0.008
FB5N,GNG291,80,0.014,cb_intrinsic,acetylcholine,2,0,0.0
FB5V_a,MBON35,97,0.014,cb_intrinsic,acetylcholine,2,0,
FB5Z,AN19B019,52,0.014,ascending_neuron,acetylcholine,2,0,0.0
FB5Z,CRE076,51,0.014,cb_intrinsic,acetylcholine,2,48,0.013
FB6A_c,SIP005,138,0.014,cb_intrinsic,glutamate,4,0,
FB6E,SMP186,53,0.014,cb_intrinsic,acetylcholine,2,43,0.01
FB6S,SMP405,62,0.014,cb_intrinsic,acetylcholine,4,26,0.01
FB6T,SMP190,51,0.014,cb_intrinsic,acetylcholine,2,14,0.005
FB7B,PRW004,73,0.014,cb_intrinsic,glutamate,1,0,0.0
FB8B,M_lvPNm37,63,0.014,cb_intrinsic,acetylcholine,5,23,0.006
FB8F_a,SMP034,66,0.014,cb_intrinsic,glutamate,4,90,0.022
FB8F_b,SMP076,86,0.014,cb_intrinsic,gaba,2,44,0.011
FB8F_b,CB4088,85,0.014,cb_intrinsic,acetylcholine,9,0,0.0
FB8G,BiT,85,0.014,cb_intrinsic,acetylcholine,2,0,0.0
FB8H,SMP252,63,0.014,cb_intrinsic,acetylcholine,2,24,0.006
FB8H,CB3541,62,0.014,cb_intrinsic,acetylcholine,4,0,0.0
GLNO,LAL104,135,0.014,cb_intrinsic,gaba,4,0,0.0
IbSpsP,CB1012,234,0.014,cb_intrinsic,glutamate,7,0,0.0
LCNOpm,LAL303m,251,0.014,cb_intrinsic,acetylcholine,5,0,0.0
LNO2,LAL053,279,0.014,cb_intrinsic,glutamate,2,140,0.012
LNOa,LAL104,73,0.014,cb_intrinsic,gaba,4,0,0.0
hDeltaB,OA-VPM3,646,0.014,cb_intrinsic,octopamine,2,591,0.015
ER1_a,WED022,128,0.013,cb_intrinsic,acetylcholine,2,95,0.012
ER1_a,WED002,120,0.013,cb_intrinsic,acetylcholine,16,36,0.004
ER3a_c,WED034,57,0.013,cb_intrinsic,glutamate,6,4,0.001
ExR1,TuBu09,685,0.013,cb_intrinsic,acetylcholine,21,370,0.01
ExR2,AOTU046,144,0.013,cb_intrinsic,glutamate,4,166,0.02
ExR3,mALB5,200,0.013,cb_intrinsic,gaba,2,160,0.009
ExR6,LAL184,276,0.013,cb_intrinsic,acetylcholine,2,95,0.008
ExR7,WED184,92,0.013,cb_intrinsic,gaba,2,0,0.0
ExR7,mALD1,91,0.013,cb_intrinsic,gaba,2,49,0.005
FB1G,CRE056,91,0.013,cb_intrinsic,gaba,8,69,0.012
FB1H,SMP115,169,0.013,cb_intrinsic,glutamate,2,160,0.01
FB2C,LHPV10d1,65,0.013,cb_intrinsic,acetylcholine,2,70,0.008
FB2G_b,PLP026,80,0.013,cb_intrinsic,gaba,8,0,0.0
FB2I_a,LHPV6f1,143,0.013,cb_intrinsic,acetylcholine,11,117,0.009
FB2M_a,CB1220,59,0.013,cb_intrinsic,glutamate,9,0,
FB3A,LAL059,152,0.013,cb_intrinsic,gaba,6,47,0.006
FB3A,LAL167,148,0.013,cb_intrinsic,acetylcholine,4,21,0.003
FB4B,CB2037,132,0.013,cb_intrinsic,acetylcholine,6,0,0.0
FB4G,CB1062,79,0.013,cb_intrinsic,glutamate,8,0,0.0
FB4H,PLP162,79,0.013,cb_intrinsic,acetylcholine,4,51,0.008
FB4L,MBON33,121,0.013,cb_intrinsic,acetylcholine,2,35,0.007
FB4M,AVLP477,261,0.013,cb_intrinsic,acetylcholine,2,138,0.01
FB4M,WED010,254,0.013,cb_intrinsic,acetylcholine,6,50,0.004
FB4N,LAL007,161,0.013,cb_intrinsic,acetylcholine,2,112,0.01
FB4P_a,CB1062,111,0.013,cb_intrinsic,glutamate,8,0,0.0
FB4P_a,OA-VPM3,110,0.013,cb_intrinsic,octopamine,2,254,0.025
FB4X,SMP184,113,0.013,cb_intrinsic,acetylcholine,2,98,0.012
FB4X,CB2088,112,0.013,cb_intrinsic,acetylcholine,3,0,0.0
FB5AA,CRE050,64,0.013,cb_intrinsic,glutamate,2,30,0.007
FB5AB,LHPD2d1,165,0.013,cb_intrinsic,glutamate,2,40,0.004
FB5AB,SLP150,159,0.013,cb_intrinsic,acetylcholine,2,26,0.003
FB5AB,SMP114,156,0.013,cb_intrinsic,glutamate,2,87,0.01
FB5G_a,SMP374,64,0.013,cb_intrinsic,glutamate,4,0,
FB5G_a,PLP121,61,0.013,cb_intrinsic,acetylcholine,2,0,
FB5H,SMP178,105,0.013,cb_intrinsic,acetylcholine,2,124,0.016
FB5H,LHAV9a1_c,105,0.013,cb_intrinsic,acetylcholine,6,24,0.003
FB5K,CB2550,60,0.013,cb_intrinsic,acetylcholine,5,0,0.0
FB5N,SMP383,70,0.013,cb_intrinsic,acetylcholine,2,41,0.012
FB5Q,mALD1,85,0.013,cb_intrinsic,gaba,2,50,0.009
FB5V_c,GNG291,63,0.013,cb_intrinsic,acetylcholine,2,0,
FB5V_c,ATL027,61,0.013,cb_intrinsic,acetylcholine,2,0,
FB5W_a,SMP114,55,0.013,cb_intrinsic,glutamate,2,0,
FB5W_a,CRE025,54,0.013,cb_intrinsic,glutamate,2,0,
FB5X,SMP471,126,0.013,cb_intrinsic,acetylcholine,2,126,0.014
FB6A_a,SMP406_b,110,0.013,cb_intrinsic,acetylcholine,2,0,
FB6A_c,SMP405,127,0.013,cb_intrinsic,acetylcholine,4,0,
FB6C_b,SMP352,109,0.013,cb_intrinsic,acetylcholine,12,45,0.009
FB6H,SMP352,92,0.013,cb_intrinsic,acetylcholine,12,52,0.008
FB6M,WED167,85,0.013,cb_intrinsic,acetylcholine,6,11,0.003
FB6M,PLP102,84,0.013,cb_intrinsic,acetylcholine,4,16,0.004
FB6S,SMP128,55,0.013,cb_intrinsic,glutamate,2,22,0.008
FB6V,SIP029,61,0.013,cb_intrinsic,acetylcholine,2,34,0.008
FB7L,CB2814,102,0.013,cb_intrinsic,glutamate,10,0,0.0
FB8F_b,CB3539,80,0.013,cb_intrinsic,glutamate,3,0,0.0
FB8F_b,CB1392,77,0.013,cb_intrinsic,glutamate,5,0,0.0
FS4A,FB9B_d,181,0.013,cb_intrinsic,glutamate,4,148,0.011
LCNOpm,ATL044,228,0.013,cb_intrinsic,acetylcholine,2,81,0.009
LNO1,LAL122,145,0.013,cb_intrinsic,glutamate,2,0,0.0
PFR_b,FB5V_b,334,0.013,cb_intrinsic,glutamate,6,0,0.0
ExR1,LAL184,640,0.012,cb_intrinsic,acetylcholine,2,187,0.005
ExR2,OA-VUMa1,131,0.012,cb_intrinsic,octopamine,2,65,0.008
ExR2,PLP037,129,0.012,cb_intrinsic,glutamate,9,20,0.002
ExR5,MeVPMe3,145,0.012,visual_projection,glutamate,2,0,0.0
ExR6,DNpe027,250,0.012,descending_neuron,acetylcholine,2,0,0.0
FB1G,CB2881,89,0.012,cb_intrinsic,glutamate,12,0,0.0
FB1G,ATL013,87,0.012,cb_intrinsic,acetylcholine,4,87,0.015
FB1G,CB1128,87,0.012,cb_intrinsic,gaba,4,0,0.0
FB1G,M_l2PNm14,86,0.012,cb_intrinsic,acetylcholine,2,38,0.007
FB1H,MBON04,154,0.012,cb_intrinsic,glutamate,2,217,0.013
FB2C,CRE003_a,61,0.012,cb_intrinsic,acetylcholine,7,118,0.014
FB2G_b,SMP086,76,0.012,cb_intrinsic,glutamate,4,40,0.01
FB2K,SMP370,87,0.012,cb_intrinsic,glutamate,2,36,0.006
FB2M_a,SMP568_b,55,0.012,cb_intrinsic,acetylcholine,6,0,
FB2M_a,LHPV10d1,52,0.012,cb_intrinsic,acetylcholine,2,0,
FB3A,LAL008,145,0.012,cb_intrinsic,glutamate,2,65,0.008
FB3C,CB4183,109,0.012,cb_intrinsic,acetylcholine,4,0,0.0
FB4C,CRE107,145,0.012,cb_intrinsic,glutamate,2,129,0.012
FB4C,CRE078,139,0.012,cb_intrinsic,acetylcholine,4,150,0.014
FB4F_a,PLP161,62,0.012,cb_intrinsic,acetylcholine,4,146,0.011
FB4F_c,SMP109,86,0.012,cb_intrinsic,acetylcholine,2,0,
FB4G,LAL159,72,0.012,cb_intrinsic,acetylcholine,2,109,0.015
FB4K,CL303,93,0.012,cb_intrinsic,acetylcholine,2,34,0.005
FB4L,WED010,117,0.012,cb_intrinsic,acetylcholine,6,32,0.006
FB4M,PS267,242,0.012,cb_intrinsic,acetylcholine,5,52,0.004
FB4N,SMP143,152,0.012,cb_intrinsic,unclear,4,59,0.005
FB4O,SLP461,101,0.012,cb_intrinsic,acetylcholine,2,77,0.014
FB4O,CRE106,100,0.012,cb_intrinsic,acetylcholine,4,34,0.006
FB4O,SMP133,96,0.012,cb_intrinsic,glutamate,10,39,0.007
FB4O,CRE043_b,95,0.012,cb_intrinsic,gaba,2,78,0.014
FB4P_a,LAL129,103,0.012,cb_intrinsic,acetylcholine,2,109,0.011
FB4X,CRE070,110,0.012,cb_intrinsic,acetylcholine,2,83,0.01
FB4X,CRE003_b,109,0.012,cb_intrinsic,acetylcholine,12,12,0.001
FB4Y,AVLP705m,291,0.012,cb_intrinsic,acetylcholine,9,0,0.0
FB5A,CRE085,282,0.012,cb_intrinsic,acetylcholine,4,230,0.012
FB5AA,SIP067,60,0.012,cb_intrinsic,acetylcholine,2,16,0.004
FB5AA,SIP019,60,0.012,cb_intrinsic,acetylcholine,2,7,0.002
FB5C,SMP026,78,0.012,cb_intrinsic,acetylcholine,2,30,0.006
FB5C,MBON11,73,0.012,cb_intrinsic,gaba,2,65,0.014
FB5D,CL129,82,0.012,cb_intrinsic,acetylcholine,2,56,0.011
FB5E,OA-VPM3,50,0.012,cb_intrinsic,octopamine,2,51,0.011
FB5G_a,SMP541,57,0.012,cb_intrinsic,glutamate,2,0,
FB5H,SMP184,98,0.012,cb_intrinsic,acetylcholine,2,69,0.009
FB5I,SMP504,87,0.012,cb_intrinsic,acetylcholine,2,114,0.014
FB5K,LHPD5f1,55,0.012,cb_intrinsic,glutamate,2,84,0.012
FB5N,SMP178,66,0.012,cb_intrinsic,acetylcholine,2,61,0.018
FB5N,SIP065,65,0.012,cb_intrinsic,glutamate,2,32,0.009
FB5V_a,SMP015,83,0.012,cb_intrinsic,acetylcholine,2,0,
FB5V_a,LAL123,82,0.012,cb_intrinsic,unclear,2,0,
FB5V_c,LAL191,60,0.012,cb_intrinsic,acetylcholine,2,0,
FB5V_c,LAL192,59,0.012,cb_intrinsic,acetylcholine,2,0,
FB5V_c,LAL147_b,58,0.012,cb_intrinsic,glutamate,2,0,
FB5V_c,CRE075,58,0.012,cb_intrinsic,glutamate,2,0,
FB5W_a,CRE068,50,0.012,cb_intrinsic,acetylcholine,4,0,
FB5X,CRE076,110,0.012,cb_intrinsic,acetylcholine,2,111,0.012
FB6A_a,SLP405_c,101,0.012,cb_intrinsic,acetylcholine,6,0,
FB6A_c,SLP396,118,0.012,cb_intrinsic,acetylcholine,4,0,
FB6C_b,SMP347,100,0.012,cb_intrinsic,acetylcholine,12,46,0.009
FB6C_b,SMP186,100,0.012,cb_intrinsic,acetylcholine,2,25,0.005
FB6D,SMP353,75,0.012,cb_intrinsic,acetylcholine,2,25,0.004
FB6H,SMP505,85,0.012,cb_intrinsic,acetylcholine,2,64,0.01
FB6H,SMP238,85,0.012,cb_intrinsic,acetylcholine,2,31,0.005
FB6H,SMP379,84,0.012,cb_intrinsic,acetylcholine,2,42,0.006
FB6M,PS263,76,0.012,cb_intrinsic,acetylcholine,4,11,0.003
FB6U,LHPD2d2,83,0.012,cb_intrinsic,glutamate,2,25,0.004
FB6V,CRE050,59,0.012,cb_intrinsic,glutamate,2,27,0.006
FB7A,SMP743,87,0.012,cb_intrinsic,acetylcholine,4,0,0.0
FB7B,SMP297,62,0.012,cb_intrinsic,gaba,8,15,0.004
FB7E,SMP184,81,0.012,cb_intrinsic,acetylcholine,2,47,0.008
FB7E,CB2572,81,0.012,cb_intrinsic,acetylcholine,9,0,0.0
FB8C,SMP083,59,0.012,cb_intrinsic,glutamate,4,60,0.012
FB8F_a,SIP077,60,0.012,cb_intrinsic,acetylcholine,4,11,0.003
FB8F_a,CB2105,56,0.012,cb_intrinsic,acetylcholine,4,0,0.0
FB8F_a,CB0024,56,0.012,cb_intrinsic,glutamate,2,0,0.0
FB8F_a,CB2298,56,0.012,cb_intrinsic,glutamate,5,0,0.0
FB8F_b,CB2955,75,0.012,cb_intrinsic,glutamate,6,0,0.0
FB8F_b,SLP075,75,0.012,cb_intrinsic,glutamate,2,30,0.007
FB8F_b,SLP259,73,0.012,cb_intrinsic,glutamate,4,218,0.053
FB8G,SMP535,74,0.012,cb_intrinsic,glutamate,4,28,0.004
FB8I,SMP379,66,0.012,cb_intrinsic,acetylcholine,2,24,0.008
FB8I,oviIN,62,0.012,cb_intrinsic,gaba,2,70,0.023
FC3_a,OA-VPM3,122,0.012,cb_intrinsic,octopamine,2,0,
FC3_b,OA-VPM3,126,0.012,cb_intrinsic,octopamine,2,0,
FC3_c,OA-VPM3,113,0.012,cb_intrinsic,octopamine,2,0,
FS1B_a,SMP371_b,70,0.012,cb_intrinsic,glutamate,2,0,
FS4B,FB9B_d,64,0.012,cb_intrinsic,glutamate,4,36,0.004
IbSpsP,PLP124,211,0.012,cb_intrinsic,acetylcholine,2,149,0.01
IbSpsP,WED164,196,0.012,cb_intrinsic,acetylcholine,13,70,0.005
IbSpsP,PS272,195,0.012,cb_intrinsic,acetylcholine,4,37,0.002
LCNOp,PLP162,80,0.012,cb_intrinsic,acetylcholine,4,97,0.016
LCNOpm,AVLP705m,204,0.012,cb_intrinsic,acetylcholine,9,0,0.0
PFL3,VES041,705,0.012,cb_intrinsic,gaba,2,320,0.005
hDeltaH,OA-VPM3,361,0.012,cb_intrinsic,octopamine,2,385,0.015
ER1_a,CB2950,109,0.011,cb_intrinsic,acetylcholine,8,0,0.0
ER1_a,WED034,108,0.011,cb_intrinsic,glutamate,6,46,0.006
ER1_b,CB2585,130,0.011,cb_intrinsic,acetylcholine,6,0,0.0
ER2_b,AOTU046,61,0.011,cb_intrinsic,glutamate,4,84,0.013
ER2_d,AOTU046,87,0.011,cb_intrinsic,glutamate,4,74,0.01
ER3w_c,AOTU046,85,0.011,cb_intrinsic,glutamate,4,0,
ExR1,LAL055,620,0.011,cb_intrinsic,acetylcholine,2,167,0.004
ExR1,TuBu02,613,0.011,cb_intrinsic,acetylcholine,12,246,0.006
ExR3,PLP124,162,0.011,cb_intrinsic,acetylcholine,2,66,0.004
ExR4,LAL056,233,0.011,cb_intrinsic,gaba,6,70,0.006
FB1G,SIP003_b,81,0.011,cb_intrinsic,acetylcholine,8,57,0.01
FB1G,SMP252,80,0.011,cb_intrinsic,acetylcholine,2,55,0.01
FB1G,CB2873,78,0.011,cb_intrinsic,glutamate,6,0,0.0
FB2C,CB1128,55,0.011,cb_intrinsic,gaba,4,0,0.0
FB2G_b,SMP007,69,0.011,cb_intrinsic,acetylcholine,8,16,0.004
FB2G_b,mALD1,69,0.011,cb_intrinsic,gaba,2,28,0.007
FB2G_b,CRE023,68,0.011,cb_intrinsic,glutamate,2,24,0.006
FB2K,LAL009,85,0.011,cb_intrinsic,acetylcholine,2,35,0.006
FB2K,CB2245,81,0.011,cb_intrinsic,gaba,4,0,0.0
FB3A,PS196_a,126,0.011,cb_intrinsic,acetylcholine,2,0,0.0
FB3A,LAL042,125,0.011,cb_intrinsic,glutamate,2,88,0.011
FB4C,LAL100,128,0.011,cb_intrinsic,gaba,2,181,0.016
FB4F_a,CRE030_b,61,0.011,cb_intrinsic,glutamate,2,43,0.003
FB4F_a,LAL160,59,0.011,cb_intrinsic,acetylcholine,2,45,0.003
FB4G,CB1287,68,0.011,cb_intrinsic,glutamate,2,0,0.0
FB4G,CRE059,63,0.011,cb_intrinsic,acetylcholine,4,137,0.019
FB4H,MBON21,67,0.011,cb_intrinsic,acetylcholine,2,72,0.011
FB4H,LAL136_b,66,0.011,cb_intrinsic,acetylcholine,7,12,0.002
FB4H,CRE107,64,0.011,cb_intrinsic,glutamate,2,87,0.013
FB4K,AVLP473,86,0.011,cb_intrinsic,acetylcholine,2,84,0.012
FB4L,WEDPN9,102,0.011,cb_intrinsic,acetylcholine,2,19,0.004
FB4L,WED184,101,0.011,cb_intrinsic,gaba,2,0,0.0
FB4M,mALD1,218,0.011,cb_intrinsic,gaba,2,79,0.006
FB4N,CL021,138,0.011,cb_intrinsic,acetylcholine,2,29,0.003
FB4N,SMP117_b,134,0.011,cb_intrinsic,glutamate,2,84,0.007
FB4O,SMP179,89,0.011,cb_intrinsic,acetylcholine,2,2,0.0
