tangential,columnar,syn,conc,peak_col_deg,n_tangential_cells,tangential_nt,columns
FB1G,vDeltaA_a,644,0.06,27,2,acetylcholine,0:170;45:37;90:80;135:74;180:114;225:45;270:71;315:53
FB2F_d,hDeltaC,951,0.06,22,4,glutamate,0:99;30:53;60:108;90:106;120:41;150:79;180:92;210:48;240:83;270:76;300:67;330:99
FB2F_a,vDeltaG,913,0.06,251,6,glutamate,0:206;45:49;90:87;135:140;180:105;225:127;270:150;315:49
FB2F_a,hDeltaC,1493,0.06,254,6,glutamate,0:159;30:57;60:85;90:155;120:74;150:184;180:122;210:99;240:126;270:171;300:89;330:172
FB7H,vDeltaD,621,0.06,240,2,glutamate,0:123;45:32;90:72;135:81;180:105;225:45;270:119;315:44
FB2D,FC3_b,456,0.06,174,6,glutamate,0:37;45:22;90:139;135:22;180:23;225:106;270:57;315:50
FB5O,PFR_b,371,0.06,153,2,glutamate,0:33;45:40;90:55;135:52;180:53;225:42;270:42;315:54
LPsP,PFL3,395,0.06,164,2,acetylcholine,0:71;45:42;90:54;135:16;180:111;225:23;270:58;315:20
FB4P_b,PFR_a,895,0.06,122,3,glutamate,0:123;45:118;90:97;135:148;180:106;225:133;270:75;315:95
FB5X,FC2A,1179,0.06,13,6,glutamate,0:213;45:141;90:131;135:155;180:137;225:130;270:131;315:141
FB4O,hDeltaA,385,0.06,289,6,glutamate,0:32;30:22;60:29;90:31;120:42;150:15;180:37;210:35;240:23;270:37;300:45;330:37
FB4R,hDeltaI,301,0.06,279,6,glutamate,0:31;30:21;60:17;90:30;120:33;150:9;180:22;210:26;240:35;270:28;300:30;330:19
FB5Y_b,hDeltaC,373,0.06,322,2,glutamate,0:42;30:9;60:36;90:43;120:16;150:26;180:43;210:12;240:36;270:39;300:23;330:48
ExR5,PFR_a,591,0.06,199,4,glutamate,0:97;45:64;90:56;135:82;180:81;225:95;270:75;315:41
FB2E,FC1C_b,329,0.06,238,4,glutamate,0:61;45:21;90:29;135:51;180:44;225:48;270:37;315:38
FB4Q_c,PFL3,347,0.06,209,3,glutamate,0:58;45:19;90:57;135:27;180:67;225:36;270:50;315:33
FB2G_b,FS1A_c,313,0.06,36,6,glutamate,0:41;45:26;90:66;135:22;180:48;225:23;270:35;315:52
FB4M,PFR_b,407,0.06,218,4,dopamine,0:41;45:44;90:48;135:62;180:39;225:66;270:53;315:54
FB6A_c,hDeltaF,1063,0.05,50,2,glutamate,0:162;60:257;120:147;180:140;240:221;300:136
FB6U,hDeltaL,1880,0.05,109,4,glutamate,0:193;30:156;60:129;90:111;120:201;150:176;180:208;210:229;270:141;300:148;330:188
FB2M_a,hDeltaM,1540,0.05,331,4,glutamate,0:194;45:202;90:202;135:159;180:168;225:197;270:205;315:213
FB6V,hDeltaG,666,0.05,249,2,glutamate,0:94;45:72;90:72;135:83;180:79;225:105;270:83;315:78
FB6C_b,hDeltaL,2367,0.05,60,6,glutamate,0:188;30:290;60:116;90:170;120:242;150:226;180:220;210:264;270:171;300:227;330:253
FB5C,hDeltaG,1018,0.05,138,3,glutamate,0:133;45:127;90:128;135:134;180:147;225:132;270:110;315:107
FB5I,PFR_a,1499,0.05,216,2,glutamate,0:255;45:147;90:170;135:168;180:227;225:217;270:197;315:118
FB8H,hDeltaD,1859,0.05,348,6,glutamate,0:232;45:281;90:209;135:200;180:205;225:266;270:179;315:287
FB7J,hDeltaE,1237,0.05,159,4,glutamate,0:148;45:161;90:156;135:161;180:166;225:177;270:153;315:115
FB4P_c,hDeltaA,789,0.05,118,2,glutamate,0:68;30:58;60:50;90:91;120:74;150:72;180:57;210:76;240:54;270:63;300:55;330:71
ExR3,hDeltaK,2092,0.05,311,2,serotonin,0:231;30:166;60:148;90:172;120:137;150:145;180:221;210:131;240:192;270:190;300:164;330:195
FB5A,FC2A,1954,0.05,12,4,gaba,0:385;45:224;90:192;135:252;180:268;225:217;270:214;315:202
FB2F_b,hDeltaH,736,0.05,208,3,glutamate,0:85;45:90;90:81;135:98;180:88;225:123;270:85;315:86
FB6A_b,hDeltaC,1164,0.05,259,2,glutamate,0:130;30:43;60:107;90:93;120:56;150:120;180:123;210:56;240:132;270:119;300:66;330:119
FB5E,hDeltaA,432,0.05,300,2,glutamate,0:50;30:16;60:40;90:44;120:22;150:34;180:48;210:18;240:34;270:50;300:46;330:30
ExR5,PFL1,915,0.05,227,4,glutamate,0:127;45:73;90:137;135:88;180:147;225:98;270:151;315:94
EPG,PFL3,1182,0.05,41,46,acetylcholine,0:243;45:125;90:154;135:93;180:242;225:80;270:134;315:111
FB9C,hDeltaD,814,0.05,116,8,glutamate,0:76;45:114;90:127;135:94;180:96;225:121;270:80;315:106
FB6K,hDeltaL,955,0.05,92,4,glutamate,0:93;30:86;60:62;90:69;120:92;150:93;180:107;210:99;270:78;300:90;330:86
FB5M,hDeltaI,581,0.05,202,2,glutamate,0:42;30:46;60:22;90:83;120:35;150:61;180:34;210:47;240:71;270:51;300:44;330:45
FB6G,vDeltaD,689,0.05,246,2,glutamate,0:146;45:41;90:92;135:64;180:120;225:63;270:134;315:29
FB4G,vDeltaL,1221,0.05,208,2,glutamate,0:244;45:92;90:116;135:171;180:208;225:126;270:189;315:75
FB5A,PFL3,1763,0.05,212,4,gaba,0:304;45:154;90:209;135:166;180:363;225:151;270:276;315:140
FB4K,PFR_a,1836,0.05,265,4,glutamate,0:254;45:212;90:150;135:280;180:193;225:285;270:206;315:256
FB2M_a,hDeltaA,445,0.05,294,4,glutamate,0:50;30:27;60:35;90:27;120:41;150:23;180:47;210:42;240:34;270:39;300:27;330:53
FB5AB,vDeltaI_a,489,0.05,293,2,acetylcholine,0:111;45:55;90:51;135:26;180:86;225:72;270:66;315:22
FB4P_c,hDeltaI,472,0.05,137,2,glutamate,0:34;30:35;60:32;90:56;120:37;150:52;180:34;210:42;240:33;270:45;300:30;330:42
FB4Z_b,hDeltaA,349,0.05,166,3,glutamate,0:35;30:22;60:34;90:30;120:34;150:20;180:40;210:20;240:46;270:31;300:17;330:20
FB5M,hDeltaA,422,0.05,208,2,glutamate,0:35;30:30;60:26;90:37;120:26;150:50;180:37;210:39;240:36;270:29;300:36;330:41
FB6U,FC2B,451,0.05,12,4,glutamate,0:55;45:51;90:50;135:76;180:39;225:59;270:26;315:95
FB4F_a,PFL2,552,0.05,178,4,glutamate,0:78;45:51;90:78;135:66;180:83;225:69;270:72;315:55
FB5X,PFL3,1429,0.05,272,6,glutamate,0:275;45:153;90:120;135:143;180:277;225:113;270:239;315:109
SAF,vDeltaA_a,1153,0.05,238,8,glutamate,0:256;45:83;90:148;135:100;180:164;225:209;270:140;315:53
FB5X,hDeltaM,480,0.05,350,6,glutamate,0:75;45:70;90:41;135:61;180:59;225:60;270:51;315:63
FB4P_c,PFR_a,752,0.05,210,2,glutamate,0:114;45:77;90:66;135:119;180:97;225:109;270:89;315:81
FB2F_b,hDeltaC,461,0.05,218,3,glutamate,0:45;30:30;60:24;90:42;120:28;150:46;180:43;210:48;240:46;270:36;300:10;330:63
FB5W_a,hDeltaI,802,0.05,243,6,glutamate,0:59;30:95;60:25;90:88;120:28;150:97;180:78;210:45;240:72;270:98;300:57;330:60
PFNp_c,hDeltaC,570,0.05,274,40,acetylcholine,0:56;30:27;60:36;90:34;120:48;150:71;180:59;210:20;240:38;270:59;300:55;330:67
FB4Y,vDeltaK,1376,0.05,3,4,serotonin,0:343;45:94;90:182;135:130;180:234;225:105;270:200;315:88
FB6H,hDeltaC,318,0.05,236,2,unclear,0:39;30:13;60:21;90:24;120:10;150:44;180:41;210:16;240:27;270:28;300:16;330:39
FB2F_d,vDeltaE,337,0.05,87,4,glutamate,0:70;45:11;90:73;135:37;180:36;225:43;270:45;315:22
FB5D,PFR_a,404,0.05,191,3,glutamate,0:57;45:45;90:37;135:54;180:73;225:44;270:45;315:49
FB7B,vDeltaB,429,0.05,65,2,unclear,0:98;45:30;90:71;135:38;180:70;225:47;270:47;315:28
FB5M,PFL3,446,0.05,339,2,glutamate,0:70;45:47;90:68;135:40;180:62;225:30;270:87;315:42
FB4F_c,PFL3,1133,0.05,275,6,glutamate,0:184;45:104;90:145;135:117;180:158;225:118;270:206;315:101
FB4K,hDeltaB,398,0.05,161,4,glutamate,0:12;30:36;60:44;90:31;120:21;150:55;180:35;210:24;240:37;270:27;300:47;330:29
FB4Q_c,PFR_a,406,0.05,219,3,glutamate,0:64;45:53;90:18;135:63;180:62;225:65;270:29;315:52
FB2A,FC1B,561,0.05,338,4,dopamine,0:55;45:76;90:67;135:77;180:48;225:76;270:59;315:103
FB5N,PFL3,547,0.05,263,4,glutamate,0:112;45:49;90:49;135:56;180:110;225:39;270:93;315:39
PFNp_c,FC2A,457,0.05,330,40,acetylcholine,0:76;45:48;90:61;135:41;180:67;225:46;270:65;315:53
PFNp_d,PFL3,552,0.05,319,28,acetylcholine,0:100;45:10;90:108;135:51;180:76;225:45;270:80;315:82
PFNp_c,vDeltaE,497,0.05,126,40,acetylcholine,0:80;45:19;90:98;135:78;180:63;225:10;270:123;315:26
FB4M,hDeltaI,380,0.05,233,4,dopamine,0:35;30:28;60:21;90:45;120:37;150:21;180:22;210:30;240:55;270:38;300:31;330:17
FB5A,FC3_a,429,0.05,268,4,gaba,0:47;45:79;90:24;135:47;180:64;225:59;270:59;315:50
PFNa,PFNa,357,0.05,313,58,acetylcholine,0:85;90:59;135:49;180:38;225:33;270:60;315:33
FB1A,vDeltaC,441,0.05,195,4,glutamate,0:125;45:9;90:47;135:48;180:99;225:48;270:44;315:21
FB2K,PFL2,300,0.05,175,9,glutamate,0:44;45:28;90:39;135:30;180:64;225:24;270:39;315:32
LNO2,PFNd,9610,0.04,181,2,glutamate,0:1088;45:1102;90:1315;135:1169;180:1241;225:1433;270:1075;315:1187
FB6A_a,hDeltaF,3787,0.04,106,2,glutamate,0:465;60:973;120:502;180:537;240:860;300:450
FB6D,hDeltaF,2047,0.04,96,2,glutamate,0:274;60:517;120:259;180:315;240:437;300:245
FB6C_b,hDeltaF,2989,0.04,351,6,glutamate,0:378;60:783;120:344;180:334;240:707;300:443
FB6G,hDeltaF,1513,0.04,301,2,glutamate,0:187;60:375;120:173;180:170;240:391;300:217
FB8G,hDeltaE,3349,0.04,309,6,glutamate,0:398;45:477;90:407;135:368;180:308;225:526;270:450;315:415
LNO1,PFNd,2982,0.04,292,4,gaba,0:373;45:363;90:369;135:325;180:358;225:405;270:384;315:405
FB6E,hDeltaC,1602,0.04,48,2,glutamate,0:230;30:82;60:133;90:166;120:49;150:222;180:161;210:61;240:119;270:158;300:60;330:161
FB6N,vDeltaE,1173,0.04,109,2,glutamate,0:261;45:73;90:187;135:132;180:193;225:103;270:181;315:43
Delta7,PFNa,7088,0.04,108,42,glutamate,0:1639;45:369;90:1072;135:972;180:944;225:887;270:831;315:374
FB7L,hDeltaF,1721,0.04,246,6,glutamate,0:235;60:361;120:211;180:275;240:380;300:259
FB4F_c,hDeltaI,3538,0.04,238,6,glutamate,0:261;30:254;60:195;90:483;120:222;150:305;180:208;210:256;240:449;270:362;300:262;330:281
FB5O,hDeltaG,481,0.04,330,2,glutamate,0:64;45:58;90:50;135:71;180:46;225:65;270:51;315:76
FB6P,hDeltaC,1399,0.04,123,2,glutamate,0:163;30:70;60:132;90:127;120:63;150:166;180:179;210:69;240:127;270:99;300:55;330:149
FB5O,hDeltaH,480,0.04,84,2,glutamate,0:67;45:82;90:55;135:53;180:60;225:72;270:55;315:36
FB2D,FC1A,2789,0.04,320,6,glutamate,0:457;45:276;90:335;135:337;180:325;225:358;270:337;315:364
FB2D,FC1F,2248,0.04,270,6,glutamate,0:138;45:421;90:262;135:186;180:273;225:353;270:307;315:308
FB4C,PFR_a,1184,0.04,255,2,glutamate,0:187;45:120;90:121;135:164;180:137;225:173;270:153;315:129
FB5D,hDeltaH,704,0.04,352,3,glutamate,0:92;45:103;90:93;135:65;180:78;225:109;270:76;315:88
FB4E_c,hDeltaI,800,0.04,238,2,glutamate,0:81;30:50;60:40;90:90;120:62;150:70;180:54;210:49;240:121;270:70;300:31;330:82
FB4N,FC2A,579,0.04,215,2,glutamate,0:105;45:53;90:51;135:82;180:94;225:66;270:73;315:55
FB5K,hDeltaH,395,0.04,16,2,glutamate,0:54;45:67;90:34;135:45;180:53;225:58;270:30;315:54
FB6J,hDeltaL,1259,0.04,37,5,glutamate,0:103;30:113;60:106;90:100;120:118;150:94;180:106;210:153;270:123;300:136;330:107
FB4G,hDeltaI,591,0.04,229,2,glutamate,0:41;30:49;60:33;90:63;120:62;150:34;180:41;210:47;240:70;270:65;300:37;330:49
FB7G,hDeltaL,793,0.04,162,4,glutamate,0:62;30:63;60:67;90:44;120:62;150:86;180:91;210:97;270:83;300:54;330:84
FB1G,FC1B,872,0.04,307,2,acetylcholine,0:105;45:111;90:91;135:127;180:79;225:116;270:117;315:126
FB7C,hDeltaE,869,0.04,161,5,glutamate,0:100;45:121;90:111;135:93;180:128;225:128;270:94;315:94
FB1H,hDeltaJ,1184,0.04,142,2,dopamine,0:91;30:81;60:115;90:97;120:88;150:126;180:129;210:73;240:78;270:113;300:98;330:95
FB5O,FR1,413,0.04,60,2,glutamate,0:73;45:47;90:52;135:50;180:55;225:57;270:32;315:47
FB7M,hDeltaE,361,0.04,162,2,glutamate,0:44;45:42;90:41;135:52;180:54;225:42;270:41;315:45
ExR5,PFL2,668,0.04,220,4,glutamate,0:105;45:59;90:97;135:53;180:132;225:47;270:125;315:50
FB9A,hDeltaD,596,0.04,1,6,glutamate,0:89;45:56;90:71;135:81;180:87;225:48;270:60;315:104
FB2H_b,hDeltaC,646,0.04,284,2,glutamate,0:55;30:29;60:59;90:75;120:23;150:64;180:60;210:30;240:69;270:68;300:42;330:72
FB5AA,FR1,497,0.04,67,2,glutamate,0:112;45:43;90:51;135:72;180:71;225:65;270:37;315:46
FB7C,hDeltaF,468,0.04,233,5,glutamate,0:63;60:94;120:65;180:68;240:111;300:67
FB4P_b,PFL3,1030,0.04,115,3,glutamate,0:137;45:114;90:150;135:119;180:175;225:72;270:154;315:109
FB1G,PFR_b,498,0.04,258,2,acetylcholine,0:62;45:61;90:48;135:58;180:72;225:72;270:48;315:77
ExR5,FC3_b,535,0.04,266,4,glutamate,0:48;45:42;90:111;135:60;180:22;225:89;270:95;315:68
FB4P_b,PFL2,379,0.04,257,3,glutamate,0:69;45:39;90:38;135:37;180:63;225:55;270:38;315:40
FB4D_c,hDeltaI,448,0.04,134,2,glutamate,0:31;30:37;60:22;90:74;120:33;150:32;180:20;210:46;240:60;270:24;300:30;330:39
FB5A,hDeltaL,469,0.04,337,4,gaba,0:51;30:43;60:20;90:21;120:49;150:42;180:52;210:50;270:34;300:49;330:58
FB4X,PFR_a,635,0.04,201,2,glutamate,0:90;45:78;90:58;135:89;180:84;225:102;270:60;315:74
FB5B,hDeltaC,961,0.04,174,6,glutamate,0:92;30:48;60:96;90:90;120:52;150:99;180:101;210:72;240:84;270:90;300:56;330:81
FB5C,FS2,440,0.04,121,3,glutamate,0:61;45:65;90:43;135:65;180:60;225:49;270:61;315:36
FB6D,hDeltaK,549,0.04,245,2,glutamate,0:52;30:33;60:32;90:53;120:38;150:56;180:42;210:40;240:63;270:47;300:31;330:62
FB5B,PFGs,487,0.04,356,6,glutamate,0:76;45:58;90:51;135:70;180:52;225:62;270:53;315:65
FB5W_a,PFL3,344,0.04,170,6,glutamate,0:59;45:37;90:37;135:40;180:68;225:26;270:55;315:22
FB4F_a,vDeltaM,302,0.04,266,4,glutamate,0:49;45:32;90:33;135:35;180:42;225:37;270:45;315:29
FB4P_b,hDeltaA,2833,0.03,44,3,glutamate,0:257;30:247;60:194;90:299;120:231;150:198;180:230;210:286;240:197;270:203;300:207;330:284
FB6F,hDeltaG,1096,0.03,190,2,glutamate,0:122;45:154;90:146;135:120;180:121;225:189;270:133;315:111
Delta7,PFL3,5617,0.03,38,42,glutamate,0:1054;45:599;90:774;135:445;180:1076;225:414;270:768;315:487
FB4Q_a,hDeltaA,1443,0.03,278,2,glutamate,0:130;30:93;60:105;90:130;120:111;150:120;180:114;210:140;240:112;270:122;300:103;330:163
ExR3,PFGs,1823,0.03,24,2,serotonin,0:339;45:177;90:254;135:233;180:169;225:277;270:206;315:168
FB5AA,hDeltaG,937,0.03,65,2,glutamate,0:113;45:134;90:115;135:119;180:117;225:111;270:112;315:116
IbSpsP,PFNa,3029,0.03,33,31,acetylcholine,0:764;45:154;90:480;135:307;180:426;225:349;270:416;315:133
FB7I,hDeltaE,919,0.03,129,5,glutamate,0:114;45:128;90:125;135:105;180:113;225:144;270:99;315:91
FB8A,hDeltaD,653,0.03,24,2,glutamate,0:100;45:78;90:73;135:97;180:66;225:88;270:64;315:87
FB4H,vDeltaK,2935,0.03,170,2,glutamate,0:650;45:184;90:409;135:278;180:596;225:226;270:479;315:113
FB2F_d,hDeltaG,880,0.03,35,4,glutamate,0:129;45:99;90:128;135:105;180:98;225:114;270:96;315:111
FB4B,PFNd,988,0.03,171,2,glutamate,0:136;45:126;90:91;135:143;180:150;225:117;270:117;315:108
FB5S,hDeltaG,1827,0.03,303,9,glutamate,0:273;45:256;90:176;135:197;180:239;225:271;270:206;315:209
FB6A_c,hDeltaK,1149,0.03,138,2,glutamate,0:120;30:70;60:62;90:132;120:84;150:125;180:106;210:68;240:102;270:97;300:70;330:113
FB7D_b,hDeltaL,913,0.03,53,4,glutamate,0:104;30:71;60:83;90:50;120:79;150:83;180:81;210:125;270:83;300:68;330:86
FB6E,vDeltaD,1169,0.03,214,2,glutamate,0:237;45:57;90:176;135:138;180:181;225:101;270:211;315:68
FB5P,hDeltaH,730,0.03,320,4,glutamate,0:101;45:89;90:82;135:78;180:105;225:95;270:67;315:113
FB5S,hDeltaH,634,0.03,338,9,glutamate,0:98;45:94;90:49;135:69;180:100;225:91;270:42;315:91
FB5X,hDeltaA,1647,0.03,163,6,glutamate,0:158;30:126;60:90;90:166;120:145;150:137;180:187;210:94;240:158;270:117;300:142;330:127
FB7D_a,hDeltaL,654,0.03,125,4,glutamate,0:39;30:68;60:65;90:32;120:48;150:77;180:52;210:96;270:59;300:52;330:66
FB4M,hDeltaA,1098,0.03,95,4,dopamine,0:76;30:115;60:96;90:74;120:114;150:84;180:92;210:104;240:88;270:61;300:105;330:89
FB4E_b,hDeltaI,1030,0.03,274,4,glutamate,0:81;30:111;60:50;90:138;120:74;150:52;180:66;210:82;240:143;270:90;300:91;330:52
FB1G,FC3_c,579,0.03,102,2,acetylcholine,0:88;45:54;90:51;135:120;180:66;225:62;270:47;315:91
FB4P_a,PFR_b,963,0.03,102,4,glutamate,0:83;45:152;90:129;135:118;180:114;225:125;270:115;315:127
FB1I,vDeltaC,612,0.03,247,2,glutamate,0:163;45:27;90:83;135:44;180:121;225:63;270:102;315:9
FB8B,hDeltaE,414,0.03,0,4,glutamate,0:55;45:55;90:45;135:56;180:47;225:52;270:45;315:59
FB1E_a,hDeltaC,885,0.03,234,5,glutamate,0:73;30:41;60:82;90:90;120:63;150:72;180:91;210:32;240:103;270:105;300:41;330:92
FB6R,hDeltaG,501,0.03,164,4,glutamate,0:68;45:62;90:61;135:59;180:71;225:72;270:53;315:55
FB5C,FR1,801,0.03,151,3,glutamate,0:138;45:74;90:104;135:104;180:104;225:126;270:74;315:77
FB6J,hDeltaG,477,0.03,134,5,glutamate,0:42;45:82;90:60;135:56;180:49;225:86;270:47;315:55
FB4O,PFL3,1195,0.03,225,6,glutamate,0:181;45:112;90:149;135:128;180:222;225:80;270:207;315:116
PFNp_a,PFL3,1946,0.03,199,64,acetylcholine,0:336;45:128;90:305;135:200;180:311;225:208;270:289;315:169
FB5A,hDeltaC,692,0.03,99,4,gaba,0:80;30:42;60:49;90:78;120:30;150:79;180:85;210:28;240:58;270:63;300:25;330:75
FB4O,PFR_a,1722,0.03,210,6,glutamate,0:239;45:212;90:145;135:263;180:226;225:236;270:205;315:196
PFNp_a,vDeltaL,1244,0.03,181,64,acetylcholine,0:269;45:117;90:124;135:154;180:196;225:176;270:154;315:54
FB5Y_a,hDeltaC,328,0.03,327,2,glutamate,0:35;30:16;60:35;90:40;120:8;150:20;180:44;210:15;240:33;270:34;300:16;330:32
FB2L,vDeltaE,405,0.03,68,4,glutamate,0:90;45:14;90:69;135:49;180:61;225:32;270:58;315:32
FB4M,hDeltaJ,625,0.03,44,4,dopamine,0:52;30:58;60:59;90:51;120:46;150:53;180:67;210:36;240:39;270:63;300:54;330:47
FB5A,FC3_c,318,0.03,123,4,gaba,0:46;45:19;90:45;135:60;180:36;225:24;270:45;315:43
FB2A,PFNa,415,0.03,188,4,dopamine,0:84;45:28;90:66;135:42;180:56;225:59;270:65;315:15
FB6A_b,hDeltaF,4628,0.02,157,2,glutamate,0:608;60:1047;120:643;180:686;240:1038;300:606
LNOa,PFNa,8474,0.02,133,2,glutamate,0:1929;45:406;90:1334;135:998;180:1188;225:978;270:1258;315:383
FB6I,hDeltaF,2368,0.02,165,2,glutamate,0:308;60:507;120:370;180:319;240:532;300:332
FB6C_a,hDeltaF,1551,0.02,135,2,glutamate,0:161;60:401;120:212;180:188;240:383;300:206
FB7A,hDeltaE,3720,0.02,159,6,glutamate,0:465;45:476;90:461;135:464;180:472;225:518;270:431;315:433
FB5I,hDeltaC,2654,0.02,146,2,glutamate,0:290;30:115;60:271;90:255;120:113;150:278;180:322;210:130;240:242;270:253;300:110;330:275
FB6K,hDeltaG,1570,0.02,265,4,glutamate,0:182;45:237;90:162;135:184;180:183;225:246;270:186;315:190
FB4I,hDeltaA,1082,0.02,18,2,glutamate,0:90;30:113;60:94;90:74;120:93;150:83;180:83;210:116;240:76;270:71;300:103;330:86
FB5AB,hDeltaC,1751,0.02,189,2,acetylcholine,0:147;30:89;60:165;90:155;120:96;150:204;180:181;210:102;240:143;270:175;300:101;330:193
Delta7,PFNv,2195,0.02,338,42,glutamate,0:434;45:114;90:465;135:80;180:400;225:168;270:404;315:130
FB4P_a,hDeltaA,1508,0.02,168,4,glutamate,0:117;30:141;60:116;90:115;120:135;150:120;180:124;210:165;240:127;270:97;300:114;330:137
FB2D,FC1B,3516,0.02,308,6,glutamate,0:390;45:451;90:406;135:491;180:350;225:512;270:370;315:546
FB4F_b,hDeltaA,854,0.02,146,2,glutamate,0:72;30:72;60:68;90:66;120:76;150:76;180:68;210:87;240:81;270:39;300:72;330:77
FB5Z,hDeltaG,996,0.02,40,4,glutamate,0:127;45:133;90:119;135:130;180:119;225:126;270:108;315:134
FB4E_a,hDeltaI,1730,0.02,239,5,glutamate,0:153;30:117;60:99;90:244;120:113;150:140;180:111;210:108;240:236;270:149;300:119;330:141
FB1G,FC1F,797,0.02,241,2,acetylcholine,0:44;45:153;90:96;135:61;180:122;225:101;270:110;315:110
FB4Z_a,hDeltaA,1721,0.02,26,8,glutamate,0:165;30:141;60:166;90:161;120:122;150:115;180:160;210:130;240:163;270:148;300:129;330:121
FB5J,hDeltaC,881,0.02,23,2,glutamate,0:80;30:50;60:91;90:106;120:38;150:75;180:83;210:41;240:97;270:97;300:32;330:91
FB5D,FR1,882,0.02,334,3,glutamate,0:135;45:83;90:135;135:100;180:80;225:152;270:85;315:112
FB4G,vDeltaM,1977,0.02,245,2,glutamate,0:378;45:206;90:227;135:204;180:302;225:248;270:298;315:114
FB4F_c,hDeltaA,990,0.02,260,6,glutamate,0:91;30:65;60:82;90:76;120:78;150:94;180:68;210:107;240:66;270:92;300:71;330:100
FB2D,FC3_c,1090,0.02,122,6,glutamate,0:146;45:73;90:105;135:264;180:105;225:64;270:152;315:181
FB5R,hDeltaH,536,0.02,240,4,glutamate,0:51;45:67;90:64;135:78;180:58;225:68;270:67;315:83
FB1I,vDeltaB,728,0.02,36,2,glutamate,0:161;45:55;90:116;135:72;180:80;225:121;270:81;315:42
FB8B,hDeltaD,547,0.02,110,4,glutamate,0:58;45:71;90:73;135:72;180:61;225:86;270:41;315:85
FB5B,hDeltaG,397,0.02,207,6,glutamate,0:45;45:55;90:47;135:42;180:60;225:50;270:51;315:47
FB5F,PFL3,609,0.02,108,2,glutamate,0:113;45:43;90:97;135:67;180:96;225:48;270:101;315:44
PFNp_b,vDeltaI_a,1274,0.02,339,136,acetylcholine,0:264;45:169;90:151;135:80;180:204;225:189;270:168;315:49
FB4Q_a,PFR_a,580,0.02,93,2,glutamate,0:90;45:73;90:42;135:107;180:68;225:70;270:58;315:72
FB4Q_a,PFL3,437,0.02,131,2,glutamate,0:72;45:41;90:72;135:25;180:99;225:22;270:71;315:35
FB7G,FC2C,776,0.02,264,4,glutamate,0:105;45:83;90:107;135:96;180:73;225:119;270:109;315:84
FB2D,hDeltaC,562,0.02,229,6,glutamate,0:50;30:25;60:44;90:60;120:30;150:60;180:55;210:34;240:50;270:55;300:29;330:70
FB8E,FS4A,308,0.02,232,5,glutamate,0:33;45:60;90:18;135:38;180:41;225:51;270:33;315:34
FB6A_c,hDeltaC,3485,0.01,164,2,glutamate,0:367;30:180;60:282;90:371;120:167;150:393;180:357;210:177;240:311;270:355;300:169;330:356
FB4K,hDeltaA,2754,0.01,189,4,glutamate,0:230;30:246;60:203;90:208;120:253;150:221;180:231;210:273;240:224;270:168;300:250;330:247
FB4F_a,hDeltaA,1604,0.01,312,4,glutamate,0:131;30:146;60:119;90:124;120:134;150:136;180:112;210:182;240:120;270:99;300:142;330:159
FB5U,hDeltaH,1399,0.01,340,4,glutamate,0:192;45:190;90:171;135:148;180:179;225:198;270:164;315:157
FB4Y,hDeltaA,1539,0.01,251,4,serotonin,0:156;30:124;60:126;90:114;120:99;150:135;180:149;210:153;240:122;270:112;300:109;330:140
FB6M,hDeltaK,1995,0.01,302,4,glutamate,0:188;30:154;60:146;90:171;120:138;150:188;180:194;210:136;240:169;270:163;300:152;330:196
FB5A,hDeltaH,906,0.01,332,4,gaba,0:113;45:118;90:104;135:111;180:120;225:109;270:105;315:126
FB7E,hDeltaF,1081,0.01,197,6,glutamate,0:174;60:203;120:155;180:188;240:199;300:162
FB7J,hDeltaF,578,0.01,60,4,glutamate,0:74;60:130;120:85;180:79;240:120;300:90
FB4B,PFR_a,832,0.01,212,2,glutamate,0:141;45:90;90:65;135:145;180:95;225:113;270:91;315:92
FB6A_a,hDeltaK,1390,0.01,174,2,glutamate,0:146;30:84;60:126;90:133;120:88;150:124;180:124;210:106;240:134;270:130;300:68;330:127
FB6B,hDeltaF,329,0.01,270,2,glutamate,0:40;60:63;120:59;180:41;240:64;300:62
FB5E,PFR_b,592,0.01,215,2,glutamate,0:59;45:70;90:76;135:74;180:87;225:57;270:78;315:91
FB4Z_c,hDeltaA,907,0.01,24,4,glutamate,0:88;30:65;60:96;90:68;120:60;150:83;180:74;210:79;240:80;270:69;300:58;330:87
FB5D,hDeltaA,537,0.01,240,3,glutamate,0:33;30:37;60:50;90:49;120:47;150:34;180:55;210:40;240:40;270:50;300:54;330:48
FB5V_a,hDeltaA,1192,0.01,163,6,glutamate,0:110;30:80;60:110;90:93;120:95;150:105;180:98;210:115;240:94;270:97;300:75;330:120
FB6G,vDeltaC,474,0.01,340,2,glutamate,0:137;45:18;90:61;135:51;180:75;225:59;270:62;315:11
FB7A,vDeltaB,433,0.01,59,6,glutamate,0:82;45:29;90:75;135:41;180:58;225:54;270:60;315:34
PFNp_b,PFNm_a,1389,0.01,175,136,acetylcholine,0:307;45:100;90:205;135:83;180:313;225:97;270:217;315:67
