tangential,columnar,syn,conc,peak_col_deg,n_tangential_cells,tangential_nt,columns
FB5S,hDeltaL,343,0.18,82,9,glutamate,0:28;30:39;60:32;90:32;120:48;150:25;180:34;210:33;270:13;300:34;330:25
LPsP,PFNv,344,0.18,3,2,acetylcholine,0:88;45:33;90:68;135:10;180:36;225:28;270:61;315:20
FB1G,FS4A,629,0.18,8,2,acetylcholine,0:128;45:102;90:72;135:57;180:65;225:49;270:80;315:76
FB2F_a,FC1C_a,579,0.18,301,6,glutamate,0:84;45:92;90:21;135:52;180:47;225:132;270:37;315:114
FB2B_b,FC1C_a,448,0.18,307,4,glutamate,0:68;45:67;90:24;135:37;180:40;225:87;270:39;315:86
FB5A,FS2,983,0.18,14,4,gaba,0:178;45:181;90:108;135:107;180:77;225:95;270:118;315:119
FB1A,FC2C,516,0.18,330,4,glutamate,0:91;45:76;90:50;135:35;180:47;225:67;270:73;315:77
FB4G,vDeltaK,394,0.18,25,2,glutamate,0:93;45:33;90:85;135:33;180:35;225:19;270:67;315:29
FB1C,vDeltaK,378,0.18,30,4,dopamine,0:87;45:51;90:65;135:34;180:38;225:22;270:63;315:18
FB6E,FC2B,454,0.17,40,2,glutamate,0:37;45:91;90:42;135:99;180:9;225:59;270:4;315:113
FB8C,hDeltaE,702,0.17,350,4,glutamate,0:110;45:123;90:109;135:38;180:20;225:121;270:102;315:79
FB5G_b,hDeltaM,317,0.17,276,2,glutamate,0:26;45:43;90:36;135:18;180:32;225:55;270:60;315:47
FB2F_b,FC2A,512,0.17,1,3,glutamate,0:121;45:52;90:47;135:79;180:37;225:49;270:46;315:81
FB4R,PFGs,670,0.17,337,6,glutamate,0:149;45:93;90:48;135:73;180:33;225:124;270:58;315:92
FB2F_c,FC2A,350,0.17,330,4,glutamate,0:68;45:41;90:20;135:42;180:33;225:52;270:17;315:77
FB1H,PFNv,434,0.17,4,2,dopamine,0:101;45:34;90:96;135:17;180:42;225:27;270:86;315:31
FB2F_d,FC2C,878,0.17,325,4,glutamate,0:184;45:93;90:101;135:46;180:112;225:82;270:152;315:108
FB1H,FC2A,347,0.17,347,2,dopamine,0:74;45:42;90:33;135:37;180:29;225:43;270:31;315:58
FB6C_b,FC2C,935,0.17,324,6,glutamate,0:198;45:95;90:89;135:89;180:89;225:98;270:158;315:119
FB2M_b,FC2B,349,0.17,340,2,glutamate,0:70;45:37;90:36;135:47;180:11;225:51;270:40;315:57
FB4O,FC2A,633,0.17,351,6,glutamate,0:158;45:66;90:71;135:59;180:57;225:80;270:63;315:79
FB1J,vDeltaB,349,0.17,35,2,glutamate,0:100;45:32;90:47;135:55;180:29;225:25;270:43;315:18
FB7E,FS2,722,0.17,0,6,glutamate,0:122;45:119;90:83;135:69;180:63;225:67;270:94;315:105
