body_pre,body_post,weight
523806,14464,126
25939,514125,126
34924,518830,126
10539,20715,126
16440,14308,126
513702,541855,126
17816,31786,125
10099,20715,125
14308,515760,125
14482,14308,125
515687,48713,125
17801,519351,125
513217,102689,125
520575,520817,125
522991,10624,125
520817,11340,125
520581,51159,125
14881,514125,125
520817,22240,125
523786,51159,125
12104,30310,125
16315,30805,125
17816,12083,124
523806,512319,124
513520,46764,124
17402,515760,124
22001,11433,124
515760,454614,124
16440,14482,124
19825,523806,124
11326,10324,124
512793,17419,124
35461,10537,124
15674,52647,124
16315,52579,124
11516,79639,124
11516,83478,124
519328,51555,124
41849,27109,124
10514,518704,123
12674,63277,123
12802,512362,123
20026,11886,123
513217,26287,123
11197,45151,123
12359,53796,123
17816,520338,123
22086,24153,123
10099,521814,123
24399,102689,123
521535,11433,123
15674,67019,123
515295,31656,123
12506,58834,123
515192,30181,122
10969,15176,122
512362,12083,122
11516,20339,122
20026,12656,122
12506,20818,122
12506,511778,122
49869,45134,122
31756,22086,122
17820,30653,122
24399,48667,122
62193,13033,122
22086,88014,122
14308,14482,122
518220,32520,122
556502,24683,122
39798,11433,122
42264,21664,122
38334,19602,121
107195,10099,121
14963,11886,121
11516,50984,121
11516,51622,121
11516,77211,121
519347,16440,121
556502,27179,121
518220,101898,121
14482,17402,121
13395,14482,121
527297,11886,121
17402,14482,121
14963,12656,120
12506,14871,120
519347,17402,120
11497,52903,120
13985,515760,120
513283,513284,120
529127,24387,120
16315,20792,120
513463,58834,120
10043,10324,120
12506,25792,120
520817,30310,120
15616,525062,120
23281,11886,120
519508,557395,120
13985,14482,120
27213,524876,120
524654,29648,119
54776,22086,119
17016,25773,119
17016,27179,119
17078,11886,119
513702,23846,119
13418,557395,119
518220,64029,119
518220,35865,119
22001,11886,119
62193,13101,119
10969,30310,119
517418,32675,119
19602,19367,119
519347,14308,118
515687,52579,118
25371,557395,118
513702,12083,118
16360,511778,118
25939,25184,118
529127,557395,118
16315,48713,118
524073,39413,118
10969,514125,118
13434,16440,118
29493,23090,118
45969,520817,117
38334,23090,117
11512,521637,117
517418,11497,117
12656,14552,117
13395,16440,117
12506,514405,117
11516,51509,117
16315,71779,117
25371,26439,117
18113,13033,117
17816,17801,117
16440,13395,117
12506,34949,117
10969,24382,117
556502,12083,117
520817,23273,117
11326,12656,117
18633,11433,117
19825,46764,117
526638,26439,117
24399,28559,116
515687,61451,116
518220,129715,116
518220,145547,116
14284,11433,116
12797,13985,116
29261,17816,116
520818,523807,116
18633,12656,116
520817,514997,116
45134,514180,116
14482,519347,116
516944,11433,116
12248,10453,116
523807,17419,116
76194,523786,116
16315,56726,116
520817,23619,116
568502,11433,116
17016,30313,116
526638,39883,115
11516,51365,115
10969,18932,115
519347,14482,115
16440,515760,115
47186,38084,115
12506,14552,115
512793,516110,115
15674,111108,115
33325,19100,115
520817,40390,115
522973,17419,115
556347,51159,115
30968,512362,114
42059,10969,114
98874,10537,114
13395,13985,114
520817,520210,114
516944,11886,114
11512,24314,114
12802,22086,114
12802,19602,114
12802,17816,114
20026,11433,114
519941,51555,114
11605,12656,114
35912,25176,114
12674,533944,114
23325,28791,114
45134,53618,114
454614,14482,114
12506,46073,114
513217,28254,114
30234,10537,114
513217,48667,114
10453,12248,114
