pre,post,male_syn,female_syn,male_share,female_share,log2_ratio
FB1G,PFR,1197,1569,0.0175,0.0225,-0.36
vDeltaC,FB6H,611,723,0.0849,0.1088,-0.36
FS4C,SMP167,618,366,0.1693,0.1322,0.36
PFNp,FB1H,1231,1233,0.0955,0.0745,0.36
FB7C,FC2C,368,410,0.0077,0.01,-0.36
FB5O,FC2B,545,621,0.0129,0.01,0.35
FB5O,hDeltaG,481,501,0.0166,0.0213,-0.35
ER2,,10982,16,0.0001,0.0,0.35
FC3,hDeltaC,798,424,0.0181,0.0141,0.35
FB6A,,26172,301,0.0001,0.0001,0.35
FR1,FR1,8694,7577,0.3025,0.237,0.35
IbSpsP,PFNm,2102,2515,0.0882,0.1125,-0.35
ExR6,,12865,53,0.0001,0.0,0.35
EPG,P6-8P9,391,704,0.2583,0.3291,-0.35
EPG,PFL3,1182,1569,0.0194,0.0248,-0.35
FB4Z,hDeltaI,437,454,0.0118,0.0151,-0.35
FB6A,hDeltaG,588,610,0.0203,0.0259,-0.35
hDeltaG,FR1,657,932,0.0229,0.0291,-0.35
PFL3,,64339,1022,0.0004,0.0002,0.35
ER3p,ER3m,476,456,0.0211,0.0269,-0.35
PFNp,FC2C,958,650,0.0202,0.0158,0.35
FB2F,hDeltaJ,1096,613,0.0289,0.0226,0.35
EPG,PFL1,538,778,0.0336,0.0428,-0.35
hDeltaC,FB6P,504,529,0.1868,0.147,0.35
hDeltaB,FS3,676,604,0.0273,0.0215,0.34
FB1D,vDeltaA,806,1128,0.0377,0.0479,-0.34
LAL191,FB5V,337,473,0.0181,0.0231,-0.34
PFL3,LCNOp,561,406,0.0848,0.0668,0.34
vDeltaJ,hDeltaA,454,281,0.009,0.0071,0.34
FB4Y,vDeltaL,526,621,0.0426,0.0541,-0.34
LAL184,ExR2,489,295,0.0442,0.0348,0.34
FB4I,hDeltaA,1082,673,0.0215,0.0169,0.34
FC2C,FB5Q,582,373,0.0857,0.0677,0.34
ER1,PEG,437,320,0.0209,0.0165,0.34
ExR1,,11451,34,0.0001,0.0,0.34
ExR1,ExR7,394,466,0.0574,0.0454,0.34
FB7H,vDeltaC,1173,1039,0.0811,0.0642,0.34
FB6A,FB6A,1405,1149,0.0566,0.0448,0.34
FB5Q,,10546,19,0.0001,0.0,0.34
PFNp,vDeltaL,2279,1681,0.1847,0.1464,0.33
FB5I,vDeltaE,583,969,0.04,0.0505,-0.33
FC2C,FB4C,381,445,0.0321,0.0405,-0.33
PFNm,PFNp,4494,3206,0.0649,0.0514,0.33
FB6X,FB6J,322,534,0.0649,0.0514,0.33
FB6V,hDeltaL,695,442,0.0189,0.015,0.33
hDeltaB,FB4J,462,439,0.1717,0.1363,0.33
FB4Q,FS1A,583,1009,0.0229,0.0288,-0.33
FB5G,,14784,102,0.0001,0.0,0.33
PFL1,LAL087,2252,929,0.5928,0.4713,0.33
FB7J,hDeltaD,454,312,0.0214,0.0169,0.33
SA2,vDeltaA,1096,1517,0.0513,0.0644,-0.33
ER4m,ER3w,2652,1089,0.0715,0.057,0.33
FB6U,FS3,292,418,0.0118,0.0149,-0.33
hDeltaD,vDeltaB,1092,1233,0.1105,0.088,0.33
FB6F,hDeltaL,2764,1770,0.0752,0.0599,0.33
,FB2G,408,356,0.049,0.0615,-0.33
FB4B,,9307,1,0.0001,0.0,0.33
FC3,FC1C,851,863,0.0588,0.0469,0.33
ER3p,,9766,10,0.0001,0.0,0.33
FB6A,FB6M,437,301,0.0665,0.0833,-0.33
FB2F,vDeltaE,765,1263,0.0525,0.0658,-0.33
FB6C,hDeltaL,3064,1964,0.0833,0.0665,0.33
PFNa,FB2A,782,741,0.0781,0.0978,-0.32
FB8G,FS3,382,545,0.0154,0.0194,-0.32
FB5X,PFL2,629,823,0.0197,0.0247,-0.32
FB9B,hDeltaD,1310,906,0.0616,0.0492,0.32
ExR4,PEN_b,5030,3398,0.1167,0.0932,0.32
FS2,FB7D,589,422,0.0803,0.0641,0.32
FC3,PFGs,1429,1306,0.0434,0.0347,0.32
FB5C,PFR,446,361,0.0065,0.0052,0.32
ER4d,,9228,2,0.0001,0.0,0.32
hDeltaM,hDeltaH,516,571,0.0177,0.0221,-0.32
ExR7,ExR5,1703,1239,0.1376,0.1101,0.32
PFR,FB4K,396,422,0.0496,0.062,-0.32
hDeltaD,FS4B,579,769,0.113,0.0906,0.32
TuBu02,ER3m,963,580,0.0426,0.0342,0.32
FC2A,,17006,154,0.0001,0.0,0.32
FB1G,FB3C,909,722,0.0997,0.1242,-0.32
FB8H,hDeltaD,1859,1292,0.0874,0.0702,0.32
hDeltaF,vDeltaD,797,599,0.0552,0.0443,0.32
FB5F,PFL3,609,791,0.01,0.0125,-0.32
FB4F,hDeltaA,3448,2185,0.0685,0.055,0.32
vDeltaA,FB8E,867,1055,0.3236,0.4027,-0.32
FB4A,hDeltaJ,2844,1628,0.0749,0.0601,0.32
CRE042,FB5K,321,616,0.0684,0.0851,-0.31
FB1E,vDeltaC,741,667,0.0512,0.0412,0.31
LNO1,FB3A,413,233,0.0354,0.0285,0.31
FB8F,FB7A,1334,804,0.1782,0.1434,0.31
vDeltaG,hDeltaM,954,926,0.0377,0.0469,-0.31
FB5X,,10583,35,0.0001,0.0,0.31
ExR4,ExR8,762,1064,0.1335,0.1656,-0.31
FB2M,FC2A,2494,2277,0.0776,0.0625,0.31
hDeltaG,FB6J,326,846,0.0657,0.0814,-0.31
FB2J,hDeltaI,505,330,0.0137,0.011,0.31
FC2A,FB5X,1903,1503,0.2033,0.1641,0.31
FB7L,,11035,45,0.0001,0.0,0.31
vDeltaK,FB4Y,443,496,0.0188,0.0233,-0.31
PFL2,PS010,424,249,0.0332,0.0411,-0.31
FB4G,hDeltaI,591,596,0.016,0.0198,-0.31
FB2F,FB2B,1974,1379,0.1236,0.0998,0.31
FB6G,vDeltaD,689,521,0.0477,0.0385,0.31
ER1,EPG,11478,11700,0.0559,0.0691,-0.31
FB8B,ExR1,1220,695,0.0223,0.018,0.31
PFL2,FB5A,614,597,0.0253,0.0313,-0.31
FC1B,,9087,10,0.0,0.0,0.3
hDeltaC,FB6A,469,599,0.0189,0.0234,-0.3
Delta7,PFL1,4732,6634,0.2958,0.365,-0.3
,ER2,1242,813,0.0179,0.0145,0.3
PEN_b,ER4m,1897,885,0.0677,0.0549,0.3
FB5G,FS1B,322,565,0.0286,0.0354,-0.3
FB2B,PFL1,1346,1887,0.0841,0.1038,-0.3
PEN_b,PEN_b,6224,4270,0.1444,0.1172,0.3
ExR2,ER4d,964,1015,0.0169,0.0209,-0.3
FB5M,PFL3,446,574,0.0073,0.0091,-0.3
ER4m,,8557,2,0.0,0.0,0.3
PFR,PFL3,315,406,0.0052,0.0064,-0.3
FB2M,FC1D,588,404,0.0512,0.0416,0.3
FC2C,FB5A,2889,1843,0.1189,0.0966,0.3
PFGs,FB6D,855,1013,0.138,0.1695,-0.3
FB5S,hDeltaG,1827,1209,0.063,0.0513,0.3
FC1C,FC1C,556,869,0.0384,0.0472,-0.3
FC2C,,33332,488,0.0002,0.0001,0.3
FC1C,PFL1,834,772,0.0521,0.0425,0.29
FB2F,FC2B,2336,2784,0.0551,0.0449,0.29
PFNv,PFNv,9048,7125,0.4375,0.3568,0.29
FB7G,FC2C,776,825,0.0163,0.0201,-0.29
FB6T,FB6E,333,468,0.0853,0.1045,-0.29
PFNd,PFNd,8109,6133,0.1663,0.1358,0.29
FB2E,,8228,1,0.0,0.0,0.29
FC2C,FB5G,1456,1148,0.1612,0.1317,0.29
FB2M,FC1E,581,490,0.0614,0.0502,0.29
FB4P,FB4F,1488,1346,0.0978,0.0799,0.29
hDeltaB,vDeltaL,2094,2383,0.1697,0.2075,-0.29
FC2A,FB5A,960,616,0.0395,0.0323,0.29
vDeltaE,FB6N,570,625,0.1911,0.1563,0.29
FC1F,FB2B,1098,1160,0.0687,0.084,-0.29
FB6R,FC2C,699,494,0.0147,0.012,0.29
ER3d,ExR3,1184,1092,0.0789,0.0647,0.29
FB6C,FC2C,1277,905,0.0269,0.022,0.29
ExR5,FB5V,528,478,0.0284,0.0233,0.28
FB1D,,8305,7,0.0,0.0,0.28
PFR,vDeltaL,366,415,0.0297,0.0361,-0.28
ExR6,EL,3750,4732,0.0501,0.0611,-0.28
FB4Q,FC2A,1371,1275,0.0426,0.035,0.28
PFNa,FC1E,790,992,0.0835,0.1016,-0.28
FB5Y,,8182,6,0.0,0.0,0.28
FC1D,PFL1,1349,1260,0.0843,0.0693,0.28
FB4Q,hDeltaA,1733,1663,0.0344,0.0418,-0.28
PFL1,WED082,845,156,0.2078,0.2524,-0.28
FB2H,,8123,6,0.0,0.0,0.28
hDeltaE,hDeltaF,537,278,0.015,0.0123,0.28
FB1E,vDeltaD,453,349,0.0314,0.0258,0.28
vDeltaK,FB4G,443,640,0.0739,0.0897,-0.28
ER3m,ExR1,3255,2789,0.0594,0.0721,-0.28
ER1,,10003,44,0.0001,0.0,0.28
PFNd,hDeltaA,1587,1521,0.0315,0.0383,-0.28
FB2I,FC1D,433,445,0.0377,0.0458,-0.28
PFL2,LAL014,464,316,0.0262,0.0318,-0.28
PFR,FB5V,446,598,0.024,0.0292,-0.28
hDeltaB,FB4N,2331,2646,0.1899,0.2301,-0.28
ExR4,,7919,4,0.0,0.0,0.28
FC1E,FR2,336,487,0.0627,0.0517,0.28
FB2D,hDeltaI,489,327,0.0132,0.0109,0.28
FB5X,hDeltaM,480,455,0.019,0.023,-0.28
FB5J,hDeltaJ,672,581,0.0177,0.0215,-0.28
FB2F,FC1E,894,762,0.0945,0.078,0.28
hDeltaE,FB7J,993,1074,0.1671,0.1381,0.28
ER4d,EL,3917,4916,0.0524,0.0634,-0.28
FC3,FB5A,877,834,0.0361,0.0437,-0.27
ExR5,FC3,1370,815,0.045,0.0372,0.27
FB6I,hDeltaL,959,636,0.0261,0.0215,0.27
FC1E,PFL1,849,798,0.0531,0.0439,0.27
FB6K,hDeltaL,955,928,0.026,0.0314,-0.27
LCNOp,PFNp,6387,4764,0.0922,0.0764,0.27
FB5AB,vDeltaE,1103,1203,0.0756,0.0627,0.27
FB2B,FS1B,502,861,0.0446,0.0539,-0.27
hDeltaC,FC2B,2414,4262,0.057,0.0688,-0.27
FB8G,FS4A,406,332,0.0288,0.0239,0.27
FB2E,FB2D,527,584,0.0282,0.034,-0.27
FB6D,FC2C,527,377,0.0111,0.0092,0.27
FB4E,FR1,520,479,0.0181,0.015,0.27
FB4X,FC2A,435,595,0.0135,0.0163,-0.27
FB5V,,17789,205,0.0001,0.0,0.27
FB2M,hDeltaM,2085,1352,0.0824,0.0684,0.27
FB6V,hDeltaG,666,653,0.023,0.0277,-0.27
hDeltaB,hDeltaK,4672,3958,0.1744,0.1448,0.27
PEN_a,ER1,2871,2340,0.1196,0.144,-0.27
vDeltaM,vDeltaK,3058,2594,0.1849,0.1537,0.27
FB2K,hDeltaM,425,400,0.0168,0.0202,-0.27
FC3,vDeltaH,780,1121,0.1219,0.1014,0.26
FB2E,FC1C,503,532,0.0348,0.0289,0.26
ExR5,EPG,6057,4149,0.0295,0.0245,0.26
FB4N,FS1A,359,593,0.0141,0.017,-0.26
FB4H,vDeltaI,2445,1280,0.1057,0.0882,0.26
FB4X,,7944,14,0.0,0.0,0.26
FC1D,,10845,72,0.0001,0.0,0.26
FB7A,FB7A,924,829,0.1234,0.1479,-0.26
FC1C,FB2B,432,448,0.027,0.0324,-0.26
PEN_b,PEN_a,3067,1951,0.0708,0.0591,0.26
ExR1,EPG,6272,4309,0.0305,0.0255,0.26
ER4d,PEN_b,775,786,0.018,0.0216,-0.26
PFNp,hDeltaJ,1839,1094,0.0484,0.0404,0.26
PEG,ER6,4431,2113,0.354,0.4235,-0.26
FB4D,FB1H,405,434,0.0314,0.0262,0.26
hDeltaB,hDeltaA,2216,1461,0.044,0.0368,0.26
FB8H,,9471,47,0.0001,0.0,0.26
ExR3,FB6A,652,806,0.0263,0.0315,-0.26
FS1A,oviIN,2011,1589,0.0368,0.0441,-0.26
FB5E,PFR,712,870,0.0104,0.0125,-0.26
ER4d,ExR5,1941,2108,0.1568,0.1873,-0.26
FB6I,hDeltaF,2368,1250,0.0659,0.0552,0.25
FS4A,FS4A,706,584,0.0501,0.042,0.25
FB4Q,FB4F,323,427,0.0212,0.0254,-0.25
PS196,LNO2,563,275,0.0292,0.0245,0.25
FC3,FR1,1302,1214,0.0453,0.038,0.25
FB2E,FC3,487,419,0.016,0.0191,-0.25
FB4R,,12539,111,0.0001,0.0,0.25
FB6C,OA-VPM3,483,416,0.0251,0.0299,-0.25
FB6A,FC2C,1138,825,0.0239,0.0201,0.25
FC1E,FC1C,542,578,0.0375,0.0314,0.25
PFNp,PFL2,1738,1521,0.0544,0.0456,0.25
hDeltaB,FB4C,1806,1990,0.1521,0.1812,-0.25
FB6E,hDeltaC,1602,1300,0.0362,0.0432,-0.25
PFR,PFGs,1477,1418,0.0449,0.0377,0.25
FB2F,FC2C,1492,1083,0.0314,0.0263,0.25
Delta7,EPGt,1067,1054,0.3591,0.4276,-0.25
FB3A,hDeltaB,883,641,0.0188,0.0158,0.25
PFNa,hDeltaC,1303,1057,0.0295,0.0351,-0.25
FB2I,FB2J,527,443,0.1087,0.1294,-0.25
FB5G,PFL3,2259,1972,0.0371,0.0312,0.25
FB8E,hDeltaE,485,408,0.016,0.019,-0.25
hDeltaG,FS1B,360,609,0.032,0.0381,-0.25
hDeltaG,FC2B,1711,2979,0.0404,0.0481,-0.25
hDeltaI,FB4E,1855,1601,0.2016,0.1696,0.25
hDeltaC,FB6E,994,959,0.2546,0.2142,0.25
FC1D,FB2D,2019,1559,0.1079,0.0908,0.25
FB5W,FC2A,1870,2517,0.0582,0.0691,-0.25
FC2B,FS1B,530,895,0.0471,0.056,-0.25
FB5J,hDeltaC,881,504,0.0199,0.0167,0.25
ER3p,ER3p,9306,6589,0.4881,0.411,0.25
ER3w,,7821,20,0.0,0.0,0.25
FB6F,FC2C,1023,1052,0.0215,0.0256,-0.25
hDeltaH,FS1A,507,827,0.0199,0.0236,-0.25
FB4E,,7091,6,0.0,0.0,0.25
FB2F,hDeltaM,710,467,0.0281,0.0236,0.25
FB8E,hDeltaD,1256,1291,0.0591,0.0701,-0.25
FB2I,PFL3,385,477,0.0063,0.0075,-0.25
FB8B,hDeltaD,547,399,0.0257,0.0217,0.25
FC2C,PFL3,2700,2366,0.0444,0.0374,0.25
EPG,EPG,11486,7980,0.0559,0.0471,0.24
FB2H,FB2J,643,538,0.1326,0.1571,-0.24
FB8G,hDeltaD,613,448,0.0288,0.0243,0.24
FB2D,FC1D,1994,1998,0.1738,0.2057,-0.24
ExR3,EL,1409,1731,0.0188,0.0223,-0.24
hDeltaB,hDeltaB,882,905,0.0188,0.0223,-0.24
ExR8,PS261,406,57,0.0692,0.0819,-0.24
FC2A,hDeltaM,452,418,0.0179,0.0212,-0.24
FB7C,hDeltaF,468,249,0.013,0.011,0.24
ExR7,EL,422,519,0.0056,0.0067,-0.24
MBON09,FB4R,492,347,0.0728,0.086,-0.24
FB5X,PFL3,1429,1755,0.0235,0.0278,-0.24
FC2B,PFL3,2478,3041,0.0407,0.0481,-0.24
FB2F,FC1C,1545,1666,0.1068,0.0905,0.24
FB8H,FS4A,555,647,0.0394,0.0465,-0.24
FC1A,PFL1,672,901,0.042,0.0496,-0.24
hDeltaJ,FB5J,403,506,0.1451,0.171,-0.24
FB4F,hDeltaI,5627,3880,0.1523,0.1292,0.24
ExR3,ExR1,733,611,0.0134,0.0158,-0.24
FC1A,,9008,51,0.0,0.0,0.24
FB1E,vDeltaB,537,897,0.0543,0.064,-0.24
LNO2,PFNd,9610,7555,0.1971,0.1672,0.24
PFNa,PFNa,14566,11374,0.3746,0.318,0.24
FC3,hDeltaG,876,604,0.0302,0.0256,0.24
vDeltaI,FB5H,826,642,0.0992,0.0842,0.24
FB8F,FB7K,511,388,0.1552,0.1319,0.23
FB5A,hDeltaM,1611,1479,0.0637,0.0748,-0.23
vDeltaI,vDeltaH,396,582,0.0619,0.0527,0.23
FB5I,,6939,12,0.0,0.0,0.23
FB1D,FB1D,638,559,0.1658,0.1947,-0.23
FB5G,FC2C,658,484,0.0138,0.0118,0.23
FC2B,PFL2,1230,1507,0.0385,0.0452,-0.23
PFNd,FB4B,491,423,0.048,0.0564,-0.23
FB5I,FC2B,394,678,0.0093,0.0109,-0.23
FB5A,FS2,983,1039,0.0341,0.04,-0.23
PEG,,7902,33,0.0,0.0,0.23
EPG,ER4m,4487,2204,0.1602,0.1367,0.23
ER4m,EPG,21202,14903,0.1032,0.0881,0.23
PFNa,FC1D,2057,2039,0.1792,0.2099,-0.23
hDeltaI,PFL2,1942,1730,0.0608,0.0519,0.23
ER5,ExR1,10044,8301,0.1833,0.2146,-0.23
FC1D,FC1C,1019,1107,0.0704,0.0602,0.23
ER3d,ER2,810,559,0.0117,0.01,0.23
hDeltaC,FB6G,445,330,0.1314,0.1123,0.23
FB5A,FC2B,2887,3612,0.0681,0.0583,0.22
FB7D,hDeltaE,1001,604,0.0329,0.0282,0.22
FB4K,vDeltaK,424,370,0.0256,0.0219,0.22
FB2B,FC1B,1465,1607,0.1028,0.1201,-0.22
hDeltaC,vDeltaE,1604,1809,0.11,0.0942,0.22
PFNp,vDeltaH,817,1647,0.1277,0.149,-0.22
ER3a,EPG,1065,1029,0.0052,0.0061,-0.22
,ER3w,775,467,0.0209,0.0244,-0.22
FB3C,PFR,685,597,0.01,0.0086,0.22
PFNd,LNO1,428,291,0.0391,0.0456,-0.22
PFNm,FC2C,1563,1159,0.0329,0.0282,0.22
FB7K,hDeltaE,1585,959,0.0522,0.0447,0.22
FC1F,,6142,2,0.0,0.0,0.22
PFR,,26949,895,0.0001,0.0002,-0.22
ExR7,ExR4,1947,1363,0.0949,0.1106,-0.22
FB4Z,FB5V,678,873,0.0365,0.0426,-0.22
PFL3,LAL101,497,347,0.1029,0.1199,-0.22
FB8G,hDeltaL,478,329,0.013,0.0111,0.22
PLP231,IbSpsP,404,306,0.0239,0.0205,0.22
FC2C,FC2C,607,450,0.0128,0.0109,0.22
FB7L,hDeltaF,1721,931,0.0479,0.0411,0.22
PFNp,hDeltaC,612,486,0.0138,0.0161,-0.22
FB1G,hDeltaJ,1122,686,0.0295,0.0253,0.22
PFL1,LAL047,4086,1645,0.4359,0.5074,-0.22
FB7E,FB7D,824,635,0.1123,0.0965,0.22
PFNd,FB3A,4020,3283,0.3448,0.4012,-0.22
vDeltaI,,5956,0,0.0,0.0,0.22
FC1A,FB2B,1727,1284,0.1081,0.0929,0.22
FB3C,FB4N,951,766,0.0775,0.0666,0.22
FB1A,,6508,12,0.0,0.0,0.22
FC2B,,27476,444,0.0002,0.0001,0.22
FC3,vDeltaF,1632,872,0.1103,0.0949,0.22
vDeltaA,FS4A,1518,1742,0.1077,0.1251,-0.22
FB3C,FS3,864,845,0.0349,0.03,0.22
FB5W,,6617,15,0.0,0.0,0.22
FB6C,,15459,197,0.0001,0.0,0.22
ExR5,FB2B,697,519,0.0436,0.0376,0.21
hDeltaM,PFL2,1555,1397,0.0487,0.0419,0.21
vDeltaA,hDeltaD,5133,5159,0.2415,0.2802,-0.21
FB7J,hDeltaF,578,423,0.0161,0.0187,-0.21
FB2I,FS4B,496,953,0.0968,0.1123,-0.21
FB9A,hDeltaD,596,445,0.028,0.0242,0.21
ER3p,ER3d,531,308,0.0071,0.0061,0.21
FB4F,PFL3,1838,1648,0.0302,0.0261,0.21
FB5F,hDeltaM,425,385,0.0168,0.0195,-0.21
hDeltaH,FS2,786,611,0.0272,0.0235,0.21
FB2I,FC1B,546,594,0.0383,0.0444,-0.21
FC1B,FC1D,491,359,0.0428,0.037,0.21
hDeltaJ,FC2B,2573,3253,0.0607,0.0525,0.21
FB5N,,5983,6,0.0,0.0,0.21
hDeltaH,FB5S,872,956,0.102,0.1179,-0.21
ER3w,ER3p,542,394,0.0284,0.0246,0.21
FB5E,FR1,488,628,0.017,0.0196,-0.21
PFL3,LAL083,1301,617,0.0403,0.0466,-0.21
LAL192,FB5V,428,409,0.023,0.0199,0.21
FB5B,PFGs,487,482,0.0148,0.0128,0.21
PFNm,vDeltaA,419,533,0.0196,0.0226,-0.21
FB6D,OA-VPM3,515,429,0.0267,0.0308,-0.21
PFNv,PFNa,749,795,0.0193,0.0222,-0.2
LNOa,PFNa,8698,6942,0.2237,0.1941,0.2
vDeltaD,FS2,431,448,0.0149,0.0172,-0.2
FB6U,,7220,35,0.0,0.0,0.2
FR1,CRE105,778,676,0.2316,0.2012,0.2
hDeltaL,FC2C,3187,3175,0.0671,0.0772,-0.2
FB4P,hDeltaI,1323,1238,0.0358,0.0412,-0.2
FB5G,PFL2,892,808,0.0279,0.0242,0.2
FB6P,hDeltaC,1399,827,0.0316,0.0275,0.2
hDeltaH,FS1B,439,718,0.039,0.0449,-0.2
FB2L,,5658,4,0.0,0.0,0.2
hDeltaB,FS4A,849,729,0.0602,0.0524,0.2
FB4P,PFR,3280,3847,0.048,0.0552,-0.2
FB7A,hDeltaE,3720,2284,0.1224,0.1065,0.2
FB2F,FC2A,1670,1645,0.0519,0.0452,0.2
FB7I,hDeltaL,2130,1489,0.0579,0.0504,0.2
EL,EL,1493,1345,0.02,0.0174,0.2
hDeltaD,FB8B,805,618,0.182,0.1585,0.2
hDeltaH,FC2B,2437,3102,0.0575,0.0501,0.2
FB1J,vDeltaA,643,616,0.0301,0.0262,0.2
vDeltaD,FB6U,488,547,0.0681,0.0782,-0.2
FC1B,FC1C,865,1264,0.0598,0.0687,-0.2
ExR1,ER3d,4090,2403,0.0551,0.0479,0.2
FB1G,FR1,391,500,0.0136,0.0156,-0.2
FB5AB,,6060,15,0.0,0.0,0.2
vDeltaI,FB4Y,1153,907,0.049,0.0427,0.2
PFL3,FB5A,806,552,0.0332,0.0289,0.2
FB5V,hDeltaK,1099,978,0.041,0.0358,0.2
FB4D,,8027,57,0.0,0.0,0.2
PFR,FB4R,459,314,0.0679,0.0778,-0.2
FB4K,,5659,8,0.0,0.0,0.19
vDeltaK,,5271,0,0.0,0.0,0.19
ER4m,EL,4052,3669,0.0542,0.0473,0.19
LNO1,,5324,2,0.0,0.0,0.19
MBON21,FB4R,756,516,0.1119,0.1278,-0.19
ExR5,TuBu01,465,139,0.0706,0.0618,0.19
TuBu03,ER3d,2190,1689,0.0295,0.0337,-0.19
ER6,ExR8,318,409,0.0557,0.0637,-0.19
FB2H,hDeltaC,906,705,0.0205,0.0234,-0.19
FB2D,FC1F,2248,2296,0.2336,0.2046,0.19
FB1J,vDeltaB,349,433,0.0353,0.0309,0.19
FB7I,,7825,56,0.0,0.0,0.19
FC1D,FC1E,531,480,0.0561,0.0491,0.19
FB7I,FS2,1056,1086,0.0366,0.0418,-0.19
FB2K,,5145,0,0.0,0.0,0.19
TuBu03,ExR1,530,327,0.0097,0.0085,0.19
FB6V,FR1,372,473,0.0129,0.0148,-0.19
FB6E,,5600,10,0.0,0.0,0.19
FB2F,FR1,1725,1683,0.06,0.0526,0.19
PFNm,FS3,596,773,0.0241,0.0275,-0.19
FR1,,8833,362,0.0,0.0001,-0.19
hDeltaC,vDeltaD,1262,1037,0.0874,0.0767,0.19
FB4F,PFL2,1444,1322,0.0452,0.0396,0.19
hDeltaB,hDeltaH,1010,783,0.0346,0.0304,0.19
ExR4,EL,355,421,0.0047,0.0054,-0.19
ExR6,ExR2,628,547,0.0568,0.0646,-0.19
ExR1,ER4d,546,531,0.0096,0.0109,-0.19
vDeltaA,FB8G,473,439,0.0798,0.0702,0.19
PFNm,vDeltaC,1438,1415,0.0995,0.0874,0.19
FS2,SMP457,509,366,0.0842,0.0957,-0.19
PEN_a,EPG,14398,13486,0.0701,0.0797,-0.19
vDeltaA,SAF,464,482,0.1828,0.2078,-0.18
ER3d,ER3m,722,477,0.032,0.0281,0.18
hDeltaA,FB4Z,4667,4962,0.3378,0.2973,0.18
FB4O,FC2A,633,630,0.0197,0.0173,0.18
FB7A,FB1I,508,436,0.1504,0.1324,0.18
FB2H,FB2F,542,538,0.0376,0.0427,-0.18
FB2F,vDeltaG,1001,685,0.0747,0.0659,0.18
FB7A,,8371,74,0.0,0.0,0.18
hDeltaJ,hDeltaJ,440,356,0.0116,0.0132,-0.18
FB4P,FB4Q,611,739,0.0707,0.0801,-0.18
FB8H,FB8C,521,604,0.1079,0.1223,-0.18
FB7I,hDeltaE,919,572,0.0302,0.0267,0.18
SA2,,4943,2,0.0,0.0,0.18
FS1A,CRE093,323,448,0.062,0.0703,-0.18
FB5A,FC1C,408,458,0.0282,0.0249,0.18
vDeltaM,vDeltaI,831,591,0.0359,0.0407,-0.18
FB6C,FB6C,912,662,0.0852,0.0965,-0.18
ER3m,ER3d,693,412,0.0093,0.0082,0.18
vDeltaG,,4790,0,0.0,0.0,0.18
hDeltaA,FS1A,433,673,0.017,0.0192,-0.18
PFL1,LAL048,3015,1213,0.4234,0.3745,0.18
vDeltaC,FB6B,249,479,0.0868,0.0982,-0.18
hDeltaM,FS1A,866,1051,0.034,0.03,0.18
FB6A,hDeltaF,9478,5285,0.2639,0.2335,0.18
SA3,,5294,12,0.0,0.0,0.18
ER3a,ER5,419,258,0.0163,0.0144,0.18
FB6D,PFGs,512,518,0.0156,0.0138,0.18
PFNa,FB2I,647,623,0.0493,0.0436,0.18
vDeltaA,vDeltaA,3952,4915,0.1849,0.2088,-0.18
FB4F,vDeltaL,608,501,0.0493,0.0436,0.17
LAL145,LCNOpm,430,194,0.0245,0.0217,0.17
hDeltaD,vDeltaC,429,542,0.0297,0.0335,-0.17
hDeltaB,FB4D,1742,1759,0.2322,0.206,0.17
FB4X,hDeltaM,712,493,0.0281,0.0249,0.17
FB6A,FB6J,175,413,0.0352,0.0398,-0.17
PFNa,PFL1,411,414,0.0257,0.0228,0.17
hDeltaL,FB6K,372,426,0.0683,0.077,-0.17
FB4K,vDeltaL,470,388,0.0381,0.0338,0.17
PFNp,hDeltaI,773,557,0.0209,0.0185,0.17
vDeltaI,vDeltaI,2907,1620,0.1257,0.1116,0.17
FC3,vDeltaE,952,1412,0.0653,0.0735,-0.17
vDeltaF,,4589,0,0.0,0.0,0.17
hDeltaI,FB4P,1063,1244,0.0636,0.0565,0.17
FB5O,hDeltaH,480,478,0.0164,0.0185,-0.17
EPG,ExR7,1389,2338,0.2023,0.2276,-0.17
vDeltaG,FB4Y,635,645,0.027,0.0304,-0.17
ER6,,4742,4,0.0,0.0,0.17
hDeltaF,PFGs,726,738,0.0221,0.0196,0.17
FC1E,FB2D,1789,1460,0.0956,0.085,0.17
FB4E,FB4F,493,485,0.0324,0.0288,0.17
hDeltaB,FR1,3168,3962,0.1102,0.1239,-0.17
FB4A,,4706,4,0.0,0.0,0.17
FB5A,hDeltaL,469,424,0.0128,0.0144,-0.17
FB5D,,6840,50,0.0,0.0,0.17
FB7G,,5524,22,0.0,0.0,0.17
FB5K,vDeltaH,976,1501,0.1525,0.1358,0.17
PEN_b,ExR7,677,1137,0.0986,0.1107,-0.17
hDeltaL,FB7D,1402,1121,0.1911,0.1703,0.17
FB8F,,9030,348,0.0,0.0001,-0.17
hDeltaI,PFL3,3468,3214,0.057,0.0508,0.16
FB4Y,,5440,22,0.0,0.0,0.16
FB6F,,4828,9,0.0,0.0,0.16
hDeltaF,FB7I,535,442,0.0696,0.0622,0.16
FB4N,PFL3,357,417,0.0059,0.0066,-0.16
FB2F,FS1A,516,632,0.0202,0.0181,0.16
FB2I,FS4C,641,627,0.0964,0.108,-0.16
vDeltaA,FB1J,534,493,0.1834,0.2052,-0.16
FB7G,hDeltaL,793,569,0.0216,0.0193,0.16
vDeltaC,PFGs,372,477,0.0113,0.0127,-0.16
