type_pre,side_pre,type_post,offset_wedges,weight
PEN_a(PEN1),R,PEN_b(PEN2),0,226
PEN_a(PEN1),R,PEN_b(PEN2),2,99
PEN_a(PEN1),R,PEN_b(PEN2),3,13
PEN_a(PEN1),R,PEN_b(PEN2),4,100
PEN_a(PEN1),R,PEN_b(PEN2),5,82
PEN_a(PEN1),R,PEN_b(PEN2),6,84
PEN_a(PEN1),R,PEN_b(PEN2),7,1
PEN_a(PEN1),R,PEN_b(PEN2),8,96
PEN_a(PEN1),R,PEG,0,2
PEN_a(PEN1),R,PEG,1,5
PEN_a(PEN1),R,PEG,2,14
PEN_a(PEN1),R,PEG,3,12
PEN_a(PEN1),R,PEG,4,3
PEN_a(PEN1),R,PEG,5,3
PEN_b(PEN2),R,EPG,-1,8
PEN_b(PEN2),R,EPG,0,82
PEN_b(PEN2),R,EPG,1,553
PEN_b(PEN2),R,EPG,2,1626
PEN_b(PEN2),R,EPG,3,1499
PEN_b(PEN2),R,EPG,4,446
PEN_b(PEN2),R,EPG,5,29
PEN_b(PEN2),R,EPG,6,4
PEN_b(PEN2),R,PEN_a(PEN1),-6,87
PEN_b(PEN2),R,PEN_a(PEN1),-4,107
PEN_b(PEN2),R,PEN_a(PEN1),-2,96
PEN_b(PEN2),R,PEN_a(PEN1),0,168
PEN_b(PEN2),R,PEN_a(PEN1),2,101
PEN_b(PEN2),R,PEN_a(PEN1),3,5
PEN_b(PEN2),R,PEN_a(PEN1),4,112
PEN_b(PEN2),R,PEN_a(PEN1),5,31
PEN_b(PEN2),R,PEN_a(PEN1),6,77
PEN_b(PEN2),R,PEN_a(PEN1),7,2
PEN_b(PEN2),R,PEN_a(PEN1),8,92
PEN_b(PEN2),R,PEN_b(PEN2),-6,185
PEN_b(PEN2),R,PEN_b(PEN2),-4,274
PEN_b(PEN2),R,PEN_b(PEN2),-2,203
PEN_b(PEN2),R,PEN_b(PEN2),0,132
PEN_b(PEN2),R,PEN_b(PEN2),2,186
PEN_b(PEN2),R,PEN_b(PEN2),3,12
PEN_b(PEN2),R,PEN_b(PEN2),4,271
PEN_b(PEN2),R,PEN_b(PEN2),5,126
PEN_b(PEN2),R,PEN_b(PEN2),6,188
PEN_b(PEN2),R,PEN_b(PEN2),7,3
PEN_b(PEN2),R,PEN_b(PEN2),8,283
PEN_b(PEN2),R,Delta7,0,6
PEN_b(PEN2),R,Delta7,2,1
PEN_b(PEN2),R,Delta7,3,1
PEN_b(PEN2),R,Delta7,5,1
PEN_b(PEN2),R,Delta7,7,1
PEN_b(PEN2),R,PEG,0,1
PEN_b(PEN2),R,PEG,1,3
PEN_b(PEN2),R,PEG,2,28
PEN_b(PEN2),R,PEG,3,29
PEN_b(PEN2),R,PEG,5,1
PEN_a(PEN1),R,Delta7,0,1
PEN_a(PEN1),R,Delta7,5,1
PEN_a(PEN1),R,Delta7,7,1
PEN_a(PEN1),R,EPGt,0,7
PEN_a(PEN1),R,EPGt,2,18
PEN_a(PEN1),R,EPGt,3,12
PEN_a(PEN1),R,EPGt,5,6
PEN_a(PEN1),R,EPGt,7,1
EPG,L,EPGt,-3,1
EPG,L,EPGt,-1,11
EPG,L,EPGt,0,59
EPG,L,EPGt,2,3
PEN_a(PEN1),L,EPGt,-7,1
PEN_a(PEN1),L,EPGt,-5,4
PEN_a(PEN1),L,EPGt,-3,21
PEN_a(PEN1),L,EPGt,-2,14
PEN_a(PEN1),L,EPGt,0,6
EPG,R,EPGt,-4,2
EPG,R,EPGt,-2,4
EPG,R,EPGt,0,3
EPG,R,EPGt,1,13
EPG,R,EPGt,3,1
PEN_b(PEN2),R,EPGt,2,13
PEN_b(PEN2),R,EPGt,3,17
PEN_b(PEN2),R,EPGt,5,1
Delta7,both,PEN_b(PEN2),-7,20
Delta7,both,PEN_b(PEN2),-6,17
Delta7,both,PEN_b(PEN2),-5,14
Delta7,both,PEN_b(PEN2),-4,9
Delta7,both,PEN_b(PEN2),-3,10
Delta7,both,PEN_b(PEN2),-2,120
Delta7,both,PEN_b(PEN2),-1,488
Delta7,both,PEN_b(PEN2),0,8287
Delta7,both,PEN_b(PEN2),1,529
Delta7,both,PEN_b(PEN2),2,246
Delta7,both,PEN_b(PEN2),3,6
Delta7,both,PEN_b(PEN2),4,10
Delta7,both,PEN_b(PEN2),5,10
Delta7,both,PEN_b(PEN2),6,16
Delta7,both,PEN_b(PEN2),7,18
