body_pre,body_post,weight,type_pre,type_post
454614,13395,104,ER4m,ER4m
23779,25024,103,PFGs,hDeltaK
514126,526548,103,EPG,EL
20520,531009,103,hDeltaB,PFR_b
27109,79615,103,hDeltaB,PFR_b
523807,516110,103,PEG,ER6
21664,42264,102,ER3d_e,ER3d_e
513520,523806,102,EPG,PEG
22086,16800,102,hDeltaB,PFGs
513702,20781,102,hDeltaB,PFGs
21345,513702,102,PFNd,hDeltaB
53618,514180,102,ER3p_b,ER3p_b
53618,49869,102,ER3p_b,ER3p_b
59969,13732,102,hDeltaA,hDeltaI
49869,53618,102,ER3p_b,ER3p_b
515963,513034,102,hDeltaM,PFL2
521634,17820,102,PFNd,hDeltaB
20520,19443,102,hDeltaB,PFR_a
92188,294178,102,EPG,EL
512927,519140,102,PEN_a(PEN1),EPG
519347,13985,102,ER4m,ER4m
513702,42231,102,hDeltaB,hDeltaI
18504,513520,101,PEN_a(PEN1),EPG
516919,18851,101,hDeltaA,PFL3
73853,522853,101,hDeltaI,PFL2
73853,523032,101,hDeltaI,PFL3
30068,69704,101,hDeltaA,hDeltaI
20653,50808,101,ER4d,ER4d
515130,42231,101,hDeltaA,hDeltaI
34924,33298,101,hDeltaB,PFR_b
515760,13985,101,ER4m,ER4m
22923,77090,101,hDeltaM,hDeltaM
513283,11874,101,PEN_a(PEN1),EPG
516666,68271,101,hDeltaH,FC2B
40390,46764,101,PEN_b(PEN2),EL
22835,17816,101,PFNd,hDeltaB
18419,15713,100,PEN_a(PEN1),EPG
512927,515675,100,PEN_a(PEN1),EPG
513702,59994,100,hDeltaB,PFR_b
521634,11512,100,PFNd,hDeltaB
39753,516110,100,PEG,ER6
45134,49869,100,ER3p_b,ER3p_b
27195,27492,100,hDeltaM,PFL2
524876,33598,100,hDeltaB,PFR_b
32675,521635,99,hDeltaB,PFR_b
20980,22461,99,ER4d,ER4d
14482,454614,99,ER4m,ER4m
28339,23315,99,ER4d,ER4d
515295,20520,99,PFNd,hDeltaB
12797,17402,99,ER4m,ER4m
521812,520575,99,EPG,PEG
92188,520575,99,EPG,PEG
22461,23315,99,ER4d,ER4d
22086,17991,99,hDeltaB,hDeltaA
18744,520818,99,PEN_a(PEN1),EPG
516666,85400,99,hDeltaH,FC2B
13732,519346,98,hDeltaI,PFL3
514126,26443,98,EPG,PEG
22240,520581,98,PEN_b(PEN2),EPG
11512,515234,98,hDeltaB,hDeltaA
513702,18586,98,hDeltaB,PFR_a
30234,27109,98,PFNd,hDeltaB
131313,523806,97,EPG,PEG
35461,20520,97,PFNd,hDeltaB
39413,17419,97,PEG,ER6
13395,14308,97,ER4m,ER4m
520581,535347,97,EPG,PEG
519941,46764,97,EPG,EL
22240,51159,97,PEN_b(PEN2),EL
30313,31656,97,PFNv,hDeltaB
20007,512319,97,PEG,ER6
