type_pre,type_post,weight
ER3d_a,ER3d_a,2007
ER3d_e,ER3d_a,1997
LAL184,EPG,1997
PFL3,AOTU019,1996
PEN_a(PEN1),ExR2,1995
FB6M,hDeltaK,1995
FB2D,FC1D,1994
EPG,PFNd,1979
FB4G,vDeltaM,1977
ER3d_d,(untyped),1977
PFNp_a,PFNp_a,1970
LAL206,ER6,1969
FB5A,FC2A,1954
ER3d_e,EPG,1954
ExR7,ExR4,1947
ER3d_a,ER3d_e,1947
PFNp_a,PFL3,1946
ER3a_d,ER3a_a,1944
hDeltaI,PFL2,1942
FB6H,(untyped),1942
ER4d,ExR5,1941
FB4I,(untyped),1940
FB4F_b,(untyped),1939
FB8C,(untyped),1934
ER3d_a,EPG,1930
ER6,EPG,1925
IbSpsP,PFNp_b,1917
GNG311,IbSpsP,1913
PFGs,FB6A_c,1904
ExR5,EL,1903
FC2A,FB5X,1903
PEN_b(PEN2),ER4m,1897
FB2F_a,FB2B_a,1891
FB2M_a,FC2A,1891
ExR7,EPG,1888
hDeltaL,FS2,1885
FB6Q,(untyped),1882
FB6U,hDeltaL,1880
FB5L,(untyped),1861
FB8H,hDeltaD,1859
FB2G_b,hDeltaI,1856
FB4E_c,(untyped),1856
FB4A_a,hDeltaJ,1854
vDeltaA_b,hDeltaD,1848
FB4K,PFR_a,1836
ER3d_d,ExR1,1834
(untyped),EL,1829
FB4Z_a,(untyped),1828
FB5S,hDeltaG,1827
ExR3,PFGs,1823
FB4E_b,(untyped),1817
FB5S,(untyped),1812
hDeltaB,FB4C,1806
PS196_b,GLNO,1801
ER3d_d,EPG,1799
hDeltaG,FB5S,1796
vDeltaG,hDeltaH,1789
FC1E,FB2D,1789
ER3w_a,(untyped),1767
FB4L,(untyped),1766
FB5A,PFL3,1763
ER4m,ER3w_a,1761
vDeltaC,hDeltaL,1759
SA2_a,(untyped),1758
FB5AB,hDeltaC,1751
LNO1,LNO2,1750
FB6K,(untyped),1749
PFNp_c,PFNm_a,1744
TuBu06,ER5,1734
ER3d_c,ER3d_d,1732
FB4E_a,hDeltaI,1730
PFR_b,PFR_b,1722
FB4O,PFR_a,1722
FB7L,hDeltaF,1721
FB4Z_a,hDeltaA,1721
Delta7,PFNp_c,1721
PEN_a(PEN1),FB4Y,1717
FB6D,hDeltaC,1716
hDeltaK,FB6A_c,1714
hDeltaG,FC2B,1711
PFNp_c,hDeltaJ,1705
ExR7,ExR5,1703
PFNp_b,FB1C,1699
FC1B,FB2B_a,1696
hDeltaC,FB5I,1686
PFGs,(untyped),1673
FB6O,(untyped),1662
ExR4,EPG,1660
ER1_b,EL,1655
ER3d_c,(untyped),1654
FB4X,hDeltaJ,1651
