type_pre,type_post,weight
WED162,FB6M,3
FC1C_b,M_spPN5t10,3
FB6P,FS4A,3
SMP136,FB5Q,3
FB2F_d,FB4D_b,3
FC1C_a,FB5V_b,3
CB2290,FB6T,3
FB8I,FB6J,3
FB8I,FB7C,3
LHPV6d1,FB9A,3
CRE069,PFL1,3
CRE069,FB1G,3
CB3293,SA1_a,3
FC3_c,FB5G_c,3
FB2M_a,FS4C,3
AN18B025,ExR5,3
CB4104,FB2A,3
LHPV6f3_b,FB8F_b,3
EL,FB3E,3
FC1D,ATL027,3
LAL198,FB1G,3
CRE004,FB4B,3
hDeltaL,FB5R,3
hDeltaL,FB5Z,3
SMP223,FB8C,3
DNp59,FB4F_c,3
SLP340,FB1A,3
SIP029,FB6O,3
CRE043_c1,FB4R,3
LHPV5e3,FB5X,3
LHPV5e3,FB5F,3
LHPV5e3,FB4C,3
LHPV5e3,FB2L,3
CRE025,FB5V_a,3
CB1834,FB6M,3
SMP387,FB7E,3
FB6Y,FB6G,3
FB6Y,FB5AA,3
FB6Y,SMP355,3
FB6Y,FS4B,3
CB3381,FB2A,3
PLP042_c,FB4A_b,3
PLP042_c,FS2,3
FB2J_a,FB2F_b,3
FB2J_a,PFL1,3
LHPV6q1,PFGs,3
SMP408_a,FB6F,3
SMP408_a,FB8F_a,3
DNc02,ExR2,3
CRE046,FB5V_c,3
CRE046,FB4P_c,3
CB1687,FB6T,3
CB2035,FB4L,3
FB7J,FB7J,3
ATL022,FB2G_b,3
ATL022,FB6Y,3
ATL022,FB2L,3
SMP182,FS3_d,3
SMP182,FB7I,3
IB069,FB5A,3
SMP006,FB2K,3
ExR1,FB5A,3
FB1E_a,FS3_b,3
SLP242,FB5L,3
ER3a_d,ER3d_b,3
ATL033,FB5E,3
FB4E_a,CRE028,3
FC3_c,FB6A_a,3
FC1D,SMP110,3
FB5G_c,CRE019,3
FB5G_c,FB5M,3
FB5G_c,SMP562,3
FB5G_c,FB5C,3
FB5G_c,SMP147,3
CRE068,LNO2,3
CRE105,FB4D_a,3
WED164,FB6M,3
CRE080_d,FB5E,3
SMP087,FB8F_a,3
CB1914,SpsP,3
LHPV5g1_b,FB2F_d,3
AstA1,FB7G,3
SMP122,FB5C,3
SMP122,FB5W_a,3
FB4Q_c,FB5N,3
CB2787,FB2C,3
ExR2,CB0695,3
ExR2,AOTU001,3
ExR2,LAL153,3
ExR2,CB1956,3
CB0582,LPsP,3
CRE011,FB4G,3
SMP299,FB6Z,3
FB5W_a,FB5V_a,3
FB5W_a,FB6O,3
CRE005,FB5L,3
FB2G_a,FS4B,3
CB3140,FB4M,3
FB4P_a,CRE040,3
FB4P_a,FB4C,3
FB4P_a,CL208,3
WED035,ExR1,3
CRE023,FB1G,3
CRE104,FB2G_b,3
EPGt,FS4A,3
EPGt,FB4C,3
FB5V_b,hDeltaB,3
CB2469,FB5Q,3
CB2535,FB6T,3
FB7L,FB5G_a,3
CB2936,LNOa,3
CB0951,FB1H,3
CB0951,FB5C,3
PFR_a,FB6S,3
AOTU030,FB4Q_c,3
FB2F_c,FS4C,3
FB2F_c,FB3D,3
FB2F_c,FB4M,3
FC1B,PEG,3
SLP240_a,FB6T,3
FB6U,oviIN,3
FB6U,DNc02,3
FS1A_c,PPL103,3
SMP573,FB2A,3
SMP448,FR2,3
FB5E,FB4N,3
FB5E,FB5Q,3
FB5E,FB5J,3
PFL1,LNO2,3
LAL060_b,PFL3,3
FS3_c,SIP066,3
FB6R,FB6I,3
FC1D,CB2784,3
FB6X,FB5R,3
FB6X,SMP178,3
PLP012,FB5V_a,3
PLP044,ExR6,3
FB4O,CRE056,3
FB6P,FB5N,3
hDeltaF,FB7M,3
LAL052,FB2G_b,3
LAL052,ExR7,3
SIP136m,PFNa,3
LHPD2c2,FB4A_b,3
WED155,ExR6,3
SIP048,FB5Y_a,3
FB5V_c,FS1B_a,3
LHAD1d1,SA1_b,3
FB2G_b,FB3D,3
SMP405,FB6R,3
SLP241,FB8F_a,3
EPGt,WEDPN5,3
CRE067,FB4F_b,3
PLP064_a,FB4M,3
FB2G_b,PFR_a,3
LAL043_c,FB5V_c,3
CRE018,FB2C,3
FC2B,vDeltaC,3
FB7E,MBON33,3
FB7E,IB017,3
SLP405,FB8F_a,3
ER3d_b,PEG,3
FB4O,SMP175,3
FB4O,SMP160,3
FB4O,MBON21,3
FC3_c,FB7D_b,3
ATL007,FB4G,3
SMP293,ExR3,3
DNge094,FB6M,3
FB6K,PFL2,3
CRE026,FB4G,3
SMP095,FB6T,3
OA-VPM3,FB5G_c,3
OA-VPM3,FB6Q,3
OA-VPM3,FB1E_a,3
hDeltaA,FC1D,3
OA-VUMa8,LNO1,3
OA-VUMa8,LCNOp,3
OA-VUMa8,FB1C,3
OA-VUMa8,LPsP,3
PLP121,FB6A_a,3
CRE054,FB4G,3
SMP118,FB5T,3
SMP118,FB5D,3
SMP024,FB6X,3
FB7I,SMP082,3
OA-VUMa6,FB5B,3
OA-VUMa6,FB4G,3
CB2037,LNO1,3
LAL031,FB4Y,3
FB5G_a,FB5E,3
FB5G_a,SMP452,3
FB5G_a,CL179,3
PFR_a,LAL011,3
SLP451,FS1B_a,3
FB7L,FB5G_b,3
FB7L,FB6P,3
SLP273,FB9A,3
SA3,hDeltaD,3
OA-VUMa6,FB4A_b,3
OA-VUMa6,FB5H,3
OA-VUMa6,ExR6,3
OA-VUMa6,LNO2,3
VES041,FB7E,3
FB4R,SMP586,3
FB4R,SMP112,3
FB5P,CRE013,3
FB5P,FB8G,3
FC1D,SMP237,3
PFNd,FB4Y,3
AN27X013,PFNp_d,3
CB3052,FB5D,3
CB3052,FB2M_b,3
CRE062,FB5V_c,3
CRE062,FB4P_c,3
SIP088,FB6C_b,3
FB8C,SLP032,3
FB8C,CB4077,3
FB6Y,SMP272,3
FB6Y,FS3_d,3
FB6Y,FS3,3
FC3_a,FS4B,3
LHPV6c1,FB9C,3
WED154,ExR6,3
oviIN,ExR3,3
oviIN,FB2B_b,3
FC1A,FB5V_a,3
WED157,Delta7,3
FB8I,SMP352,3
FB8I,CB3005,3
FB8I,SMP126,3
FB8I,SLP405_b,3
FB8I,SLP457,3
PS077,FB3A,3
SMP130,FB4M,3
FB2B_b,LHMB1,3
FB2B_b,SIP052,3
PFGs,FB6N,3
SIP047,FB7E,3
SLP150,FB7C,3
SLP150,FB2L,3
SLP150,FB6G,3
FB6T,SLP405_a,3
FB6T,FB8G,3
FB6T,SMP297,3
FB6T,SMP350,3
FB6T,SMP181,3
SMP108,FB5C,3
SMP108,FB4E_b,3
SMP108,FB4F_a,3
IB071,FB5A,3
OA-VPM4,FB4F_a,3
FC3_a,FB5J,3
FC3_a,ATL017,3
FC3_a,FB5T,3
CRE080_b,LCNOp,3
FB4I,vDeltaI_a,3
FB4I,FC2C,3
LAL064,ExR6,3
SMP215,FB6H,3
SLP313,FB2H_b,3
SIP048,FB6E,3
FB2B_a,FC2B,3
CB1841,FB7K,3
CB1841,FB4P_b,3
WED032,LNOa,3
LHPV6i1_a,FB7C,3
CB2469,FB4K,3
SLP359,FB6M,3
PLP046,FB2A,3
LHPV5g1_b,FB6S,3
LHPV5g1_b,FB2K,3
SLP183,FB5AA,3
LoVCLo3,FB8B,3
ExR6,SMP326,3
ExR6,ATL037,3
ExR6,FB2F_a,3
ExR6,FB2B_b,3
ExR6,FB5V_b,3
ExR6,LC33,3
ExR6,ER2_c,3
ExR6,LAL160,3
ExR6,FB2D,3
ExR6,LAL112,3
ExR6,LAL083,3
ExR6,VES041,3
ExR6,CRE100,3
FC2C,CRE100,3
oviIN,FB2K,3
oviIN,FB7G,3
LAL179,SpsP,3
SMP059,FB2F_d,3
SMP166,FB8D,3
FB4M,ExR4,3
FB5V_c,FB4Q_a,3
SLP451,FB6Q,3
LAL031,FB4N,3
LAL031,FB2M_b,3
CB1897,FS3_a,3
CRE093,FB8I,3
CRE093,FB2G_b,3
WED168,FB2D,3
AOTU030,FB2G_a,3
OA-AL2i1,SpsP,3
LHAD1d1,FB6I,3
LHAD1d1,FB6Z,3
WED011,FB3A,3
FC2B,vDeltaL,3
CRE043_b,FB4F_c,3
WED167,SpsP,3
FB2I_a,FS3,3
FC1D,FB4F_c,3
mALD1,FB1C,3
SMP009,FB4Q_a,3
CB2814,FB5G_b,3
KCg-s3,FB4Y,3
FB5F,CRE074,3
FB5F,PAM05,3
FB5F,MBON33,3
FB5F,SMP146,3
DNg100,ExR5,3
FC1F,FB1J,3
FB1C,MBON20,3
5-HTPMPV03,ExR7,3
5-HTPMPV03,SpsP,3
FB8G,SMP095,3
FB8G,SMP188,3
LoVP81,FB5Q,3
CB1554,LNO2,3
LHAV2k5,FB1G,3
FB5D,FB5Q,3
FB5D,CRE043_d,3
FB5D,SMP150,3
FB5D,LHPV5e3,3
SLP372,FB6H,3
EL,CL336,3
FB5O,FB6V,3
FB5O,FB5Y_a,3
KCg-m,ExR6,3
OA-VUMa1,PFL1,3
CB2447,ER1_b,3
CB2447,ExR3,3
PRW037,FB8C,3
CB2262,FB5B,3
CL167,FB4K,3
SMP240,FB5B,3
CB2713,LNO1,3
FC3_a,FB4A_b,3
FB7I,FB7K,3
FB7I,FB8C,3
CB1731,FB5A,3
CRE067,FB4M,3
WED040_a,ExR8,3
EL,FB5R,3
FB4P_b,FC1D,3
FB4D_b,hDeltaL,3
FB8I,FB6V,3
FB8I,FB6K,3
FB8I,FB6T,3
FS1A_c,CL362,3
FS1A_c,FB6X,3
FB6C_b,SLP376,3
FB6C_b,CB1910,3
FB6C_b,ExR7,3
WED128,FB4B,3
CB2814,FB6A_b,3
FB8H,LHPV5a3,3
CB1201,SAF,3
AOTU019,LCNOpm,3
SMP376,FS1A_c,3
FB2J_c,FB4L,3
FB2J_c,PFL1,3
FB7G,FB1J,3
LHPV5j1,SA3,3
PFNv,FC,3
FB7G,SMP553,3
FB7G,SMP535,3
FB7G,SMP408_c,3
FB7G,FB6T,3
FB2J_c,FB2E,3
SMP376,FC1C_b,3
SMP376,FB4O,3
CRE034,FB2G_b,3
FB2F_c,vDeltaI_a,3
FC3_b,vDeltaL,3
FB8H,FB7C,3
CB1897,FB7E,3
CB2814,FB6V,3
FC2A,PFNp_c,3
FB6C_b,SIP026,3
FB6C_b,SLP405_c,3
FB6C_b,SMP082,3
FB6C_b,SLP024,3
FB6C_b,SMP347,3
FB6C_b,CB2398,3
CB2620,FB5V_a,3
FS1A_c,FB4Q_b,3
FS1A_c,SMP142,3
FS1A_c,SMP450,3
FS1A_c,FB5J,3
FB8I,FB5AB,3
FB8I,CB3614,3
FB8I,FB8E,3
FB8I,FS4B,3
FB4D_b,OA-VPM3,3
FB4D_b,FB4C,3
FB4D_b,FC1A,3
FB4D_b,FC1C_b,3
FB4D_b,FS4C,3
EL,vDeltaM,3
EL,CB1841,3
EL,PFNd,3
PEG,PFR_b,3
PEG,PFL1,3
FB2M_a,FB4L,3
FB2M_a,PFNv,3
CRE067,ExR4,3
CRE067,FB4D_c,3
CB0382,IbSpsP,3
FC2A,PFNa,3
FC2A,FB2I_a,3
FB7I,FS4A,3
SIP037,FB5H,3
CB4194,FB5C,3
vDeltaK,FB4P_b,3
FB7J,FB6I,3
FB7J,FS4B,3
CRE071,FB4H,3
hDeltaJ,hDeltaF,3
FB3C,FB1J,3
FB3C,FB2J_c,3
FB3C,SMP456,3
FB5O,FB6U,3
FB5O,FB7E,3
FB5O,FB6S,3
EL,FC3_b,3
CRE052,FB4C,3
CRE052,FB5J,3
FC2C,SMP376,3
PFNa,vDeltaB,3
FB5D,FB4P_b,3
FB5D,SMP147,3
FB5D,FB4E_b,3
FB5D,FS4C,3
FB5D,PFL1,3
CB1554,IbSpsP,3
ATL012,IbSpsP,3
CB2018,FB3C,3
FB8G,SMP408_a,3
FB8G,FB8D,3
FB8G,CB3050,3
FB8G,FB8A,3
FC3_b,FB5X,3
FC3_b,FB5T,3
ER3p_a,ExR5,3
FB1C,LAL007,3
FB1C,PEG,3
FB1C,KCg-m,3
FB1C,PAM08,3
FB1C,FC,3
FB1C,hDeltaK,3
FB1C,CRE066,3
FB1C,hDeltaD,3
FB1C,FB2I_a,3
FB1C,AN27X013,3
FB1C,OA-VPM3,3
FB1C,CRE040,3
FS1B_b,CB2377,3
ER3d_c,ER4d,3
FB5M,FS1B_a,3
FB5M,PFGs,3
FB4M,FB2M_a,3
FB4M,CRE004,3
FB4M,SMP377,3
FB4M,LNOa,3
FB5F,hDeltaK,3
FB5F,FC3_b,3
FB5F,vDeltaJ,3
KCg-s3,FB4R,3
FR1,LAL100,3
FR1,FB4P_a,3
FR1,SMP447,3
FC1D,hDeltaL,3
FB2I_a,FB1A,3
FC3_a,FB4E_c,3
CB3005,FB7K,3
CB1387,FB8H,3
hDeltaL,FB5G_a,3
hDeltaL,FS3,3
CL308,FB4F_b,3
FC2B,FB7E,3
FC2B,FB6N,3
ER3d_b,ER4m,3
ER3d_b,ExR7,3
CRE088,FB2M_a,3
vDeltaF,FB5X,3
MBON10,FB6P,3
PFGs,FB4N,3
PFGs,FS4B,3
PFGs,FC2B,3
PFGs,OA-AL2i1,3
SIP028,FB6Y,3
SIP028,ER1_b,3
FS1A_a,FS1B_b,3
FS1A_a,hDeltaC,3
FB6Q,FB6V,3
FB6Q,FC2B,3
FB3E,FS4C,3
FB3E,FB2J_a,3
FB3E,hDeltaM,3
FC1F,FB1B,3
FB5V_c,FB5P,3
FB5V_c,FB5Z,3
PFNv,GLNO,3
FC1B,FB5H,3
LAL050,FB2D,3
PLP187,FB2G_b,3
hDeltaG,FB5M,3
PLP042_b,FB3C,3
CB0937,FB8I,3
FB4M,FB4Z_b,3
FB4M,LAL100,3
WED167,ER1_a,3
CRE090,FB1H,3
SMP166,FB6M,3
LAL179,FB3A,3
LAL056,LCNOp,3
LAL056,ExR7,3
SLP359,FS4B,3
vDeltaG,FC1F,3
vDeltaG,hDeltaL,3
CB2469,FB5W_a,3
CB3399,FB1E_a,3
ER4d,ER3p_a,3
SMP347,FB6Q,3
FC2C,SMP151,3
FC1E,LHPV5e3,3
FC1E,EPG,3
ER3d_a,TuBu03,3
hDeltaC,FB6S,3
hDeltaC,FB5M,3
CRE018,FB2B_a,3
LHPV6a9_b,SAF,3
CB1841,FB4X,3
CB1841,FB5F,3
FB2B_a,FB1B,3
FB2B_a,PAM03,3
FB2B_a,FS2,3
FB2B_a,CB1149,3
SMP215,FB6T,3
PFNp_c,FS4A,3
CB1733,SA3,3
hDeltaJ,FS3_a,3
SMP243,FB2E,3
FB4I,CRE044,3
FB4I,hDeltaM,3
FB4I,FB4Z_b,3
FB4I,ExR5,3
FC3_b,CB1128,3
PFNa,FB1E_b,3
PFNm_a,FB1G,3
PFNm_a,Delta7,3
FC2C,PFNp_e,3
LAL061,FB2D,3
FB1A,FC2A,3
FB1A,FB2F_b,3
FB6T,PRW060,3
FB6T,hDeltaE,3
FB6T,vDeltaB,3
FB6T,FB6M,3
FB6T,FB7C,3
SIP047,FB6K,3
SLP103,FB7F,3
PFGs,FB6Y,3
WED037,FB4B,3
LHPV5g1_b,FB5Y_b,3
FB2B_b,FB4Y,3
FB2B_b,FB1E_a,3
SMP406_b,FB7F,3
vDeltaF,FB5P,3
vDeltaF,FC1C_a,3
ER1_b,LNO1,3
ER1_b,WED145,3
FC1A,CRE105,3
hDeltaI,FB5L,3
CB1744,FB1G,3
FC3_a,FB6F,3
FC3_a,FB6H,3
FB6Y,FB6L,3
FB6Y,FS4A,3
SMP591,FB4N,3
FB8C,SMP513,3
FB8C,PFGs,3
hDeltaL,PFL1,3
FC2C,SMP144,3
FC2C,FB2J_c,3
ER3a_a,FB3C,3
PFNd,EL,3
CB1608,FB9C,3
FC3_a,FB6D,3
FC3_a,hDeltaF,3
hDeltaK,FB6S,3
hDeltaK,FB6P,3
hDeltaK,FB5Y_b,3
SMP087,FB7F,3
AVLP560,FB2A,3
LHPV5e2,FB7B,3
LHPV5e2,FS4B,3
LHPV5e2,FS2,3
FC2A,FB2B_b,3
FB5P,oviIN,3
FB5P,FS3_d,3
FB5P,EPG,3
CL167,FB5X,3
FB4R,FB5X,3
FB4R,CRE060,3
CB1895,FB6G,3
SA3,FB4Y,3
CRE017,FB4Y,3
FB7L,vDeltaE,3
FB7L,SMP338,3
FS2,SIP070,3
FS2,hDeltaI,3
PFR_a,CRE083,3
PFR_a,CRE066,3
PFR_a,ER3a_b,3
FB5G_a,hDeltaK,3
FB5G_a,FB5Y_b,3
FB5G_a,SMP001,3
FB5G_a,FB5L,3
WED128,FB4M,3
hDeltaJ,vDeltaL,3
FB7I,PAM09,3
SMP247,FB2C,3
SMP247,FB1H,3
CRE054,FB2L,3
FC1A,SMP177,3
CB0024,FB7A,3
hDeltaA,FS4B,3
hDeltaA,FS3_d,3
CB2950,FB2A,3
FB7L,hDeltaG,3
FB7L,vDeltaA_a,3
FS1A_a,SMP188,3
SLP024,FB1I,3
FB6K,PFL3,3
SMP562,FB2G_b,3
FC3_c,FB2I_b,3
FC3_c,FB4L,3
SpsP,PFNv,3
SpsP,P6-8P9,3
hDeltaJ,ExR5,3
hDeltaJ,FB4F_b,3
FB4O,CRE106,3
FB4O,LHCENT10,3
FB4O,CL326,3
FB4O,SLP473,3
FB4O,CRE009,3
FB4O,CRE043_b,3
FB4O,CRE068,3
FB4O,CRE069,3
FB4O,PAM12,3
FB4O,FS3_d,3
FB4O,SMP142,3
hDeltaK,hDeltaI,3
CRE001,FB4E_b,3
FB7E,FB6A_b,3
FB7E,SMP449,3
FB7E,CB2295,3
FB7E,SMP387,3
FB7E,FB2C,3
FB7E,FB5B,3
FB7E,CB2572,3
FB7E,FB5Q,3
FC2A,CB3874,3
FC2A,FC1B,3
WEDPN17_c,ER3a_b,3
FC2B,SMP237,3
FC2B,FB4Z_a,3
PEN_b(PEN2),IbSpsP,3
FB6K,FB5A,3
FB6K,FB5G_a,3
FB6K,FB7J,3
FB6K,FB5J,3
FB6K,FB7D_a,3
FB6K,FS4A,3
FB2G_b,EL,3
CRE059,FB1H,3
CB2572,FB6H,3
ER1_b,LAL138,3
SLP347,FB8I,3
PS260,ExR3,3
PLP043,FB2A,3
PLP043,ER1_a,3
KCg-d,ExR5,3
hDeltaF,FB5I,3
FB6P,FB6B,3
FB6P,FB6N,3
FB6P,FB6U,3
FB6P,FB5B,3
FB6P,FB6J,3
FB6P,FB6R,3
FB6P,FB6W,3
FB4O,LHPV7c1,3
FB4O,FB4B,3
FB4O,CRE059,3
FB4O,vDeltaF,3
FB4O,SMP541,3
FB4O,CRE071,3
PS252,IbSpsP,3
vDeltaC,FB6D,3
FC3_a,FB5V_a,3
FC3_a,FB1C,3
ER5,ER2_b,3
FC3_b,FB6R,3
FC3_b,FB5W_b,3
FB6X,PFR_a,3
FB6X,FB6S,3
FB6X,FB4Z_a,3
FB6X,FS3_d,3
PEG,ER2_c,3
PEG,ER4d,3
FB6R,FB5B,3
FC1E,CB3614,3
AVLP752m,LCNOp,3
SIP011,FB1G,3
SIP011,FB1H,3
PFL1,CRE052,3
PFL1,AOTU020,3
PFL1,WED020_b,3
FC2A,SMP449,3
FC2A,SMP448,3
FC2A,FC1F,3
SLP359,FB8E,3
FB5E,PFGs,3
FB5E,FS1A_b,3
FB5E,FB2F_a,3
FB5E,hDeltaK,3
SLP025,FB8F_a,3
FB6U,FB8I,3
FB6U,SMP182,3
FB2F_c,FC1A,3
SMP082,FB6I,3
FC3_a,FB4Q_c,3
WEDPN2A,FB2H_a,3
FB4P_a,PFL1,3
FB4P_a,SMP116,3
FB4P_a,CRE012,3
FB2G_a,FC1F,3
FR1,SMP174,3
FC1C_b,FB7E,3
FC1C_b,FS1B_b,3
vDeltaH,FB4H,3
FB5W_a,FB5V_c,3
FB5W_a,FC1F,3
vDeltaF,FB6A_b,3
SMP299,FB8F_b,3
SLP101,FB7F,3
FR1,SIP003_b,3
FC3_b,FB4A_a,3
LHAV9a1_c,FB6X,3
CL235,FB4M,3
ExR2,LAL176,3
ExR2,CB0380,3
ExR2,LAL203,3
ExR2,CB3140,3
ExR2,SMP192,3
ExR2,LAL195,3
ExR2,LAL166,3
ExR2,PS048_a,3
LAL043_d,FB4E_a,3
SMP122,FB5N,3
CB1406,FB8F_b,3
CB1406,FS4C,3
KCg-d,FB4P_a,3
FB4F_a,FC1F,3
FB4F_a,FB5W_a,3
FB4F_a,FB3C,3
CRE055,FB4A_a,3
CRE055,FB6P,3
vDeltaE,FB6Z,3
PFNd,hDeltaF,3
ER3m,ER4d,3
CRE105,FB6W,3
IbSpsP,PFR_b,3
vDeltaG,FB5V_c,3
FB5G_c,FB5X,3
FB5G_c,PFGs,3
FB5G_c,hDeltaI,3
FB5G_c,vDeltaJ,3
FB5G_c,FS3_a,3
FB5G_c,vDeltaI_b,3
FB5G_c,vDeltaG,3
FB4P_b,hDeltaC,3
SMP243,FS4C,3
FC1D,ATL017,3
FC1D,PFR_a,3
FC3_c,FB6I,3
FC3_c,FB6P,3
FC3_c,FB1J,3
FC3_c,FB6C_a,3
FC1D,EPG,3
FB4E_a,FB4Q_a,3
FB4E_a,FC3_c,3
SLP242,FB4X,3
PFR_b,FB4I,3
PFR_b,FB4X,3
PFR_b,PFNp_e,3
PFR_b,FS3_b,3
FB1E_a,FB2F_a,3
FB1E_a,FB2K,3
SMP182,FB7F,3
SMP182,FS2,3
SMP182,FB6C_b,3
ER3d_e,ER3w_b,3
CB1487,PFL3,3
FB1A,FB2E,3
FB1A,FS1A_c,3
CRE072,FR2,3
SMP408_d,FB2C,3
CB1679,FB7F,3
CRE025,FR2,3
SLP322,FB8C,3
CRE055,FB4C,3
PS326,FB6M,3
FR1,FB6P,3
FR1,FB4R,3
FR1,FC2A,3
FR1,CB1128,3
EL,LAL002,3
FB2M_a,FB4F_c,3
FC3_c,FB2H_a,3
PLP123,ExR3,3
FB5Z,SMP471,3
FB5Z,SMP010,3
FB5Z,ExR5,3
FB5Z,PAM05,3
FB5Z,FB4Z_c,3
FB5Z,FS3_a,3
FB5Z,FS4A,3
ER1_b,LAL156_b,3
FC1C_b,SMP270,3
FC1C_b,PFL2,3
ER1_b,ER3p_a,3
FB8I,SMP082,3
FC1C_a,FB2H_a,3
FC1C_a,FB4N,3
FC1C_a,CRE059,3
FB2F_d,ExR5,3
FB2F_d,FB4M,3
FB2F_d,PFR_b,3
SMP136,FB6B,3
FC1C_b,SMP568_d,3
FC1C_b,PFR_a,3
ER3a_b,ER2_d,3
CRE045,FB4E_b,3
SLP405_b,FB6T,3
SMP370,ER1_b,3
FB5X,FS4A,3
FB5X,FB4E_b,3
FB5X,vDeltaH,3
FB5X,FS3_c,3
FB5X,PAM06,3
FB5X,FC3_a,3
FB5X,MBON33,3
FB6T,FB6U,3
SIP041,FB6K,3
ER1_b,PPM1202,3
FS1A_a,SMP456,3
SMP344,FB7I,3
vDeltaG,FB5Z,3
FB4J,FC2C,3
FB4J,FC3_c,3
FB4J,FC1A,3
FB4J,FB4D_c,3
FB4L,FS1B_b,3
FB4L,FB1E_a,3
FB4L,WED009,3
FB4L,hDeltaF,3
FB4L,FB2J_b,3
FB4L,FB1G,3
FB5W_a,FS1A_b,3
vDeltaE,FB5U,3
vDeltaE,FB5R,3
vDeltaG,FB6V,3
FB8E,FS3_c,3
FS1B_a,LHPV5l1,3
SMP145,FB4Q_b,3
SMP145,FB5Z,3
SMP145,FS1A_a,3
SMP145,FB2I_a,3
FC1A,FB5A,3
FC1D,PFGs,3
FC2A,FB4E_a,3
PFNa,vDeltaI_b,3
PFNa,FS2,3
FC1C_a,PFL3,3
FC1C_a,LAL022,3
hDeltaK,FB6B,3
CB2784,FB1G,3
FC2C,FB6X,3
FC2C,CRE019,3
FS2,FB2G_b,3
FS2,SMP405,3
FS2,LHPV10d1,3
vDeltaE,hDeltaJ,3
FS1B_a,FB7E,3
PFGs,PFNp_b,3
PFGs,PFNa,3
PFGs,FB7G,3
PFGs,FB5K,3
FC1E,SMP179,3
LAL043_a,FB4H,3
SMP138,FB4P_a,3
PFNd,PFNp_a,3
PFNd,FB4P_b,3
SIP066,FB5O,3
SIP066,FB6O,3
FC1B,FB1A,3
FC1B,FB4C,3
FC1B,FB4D_a,3
FB7B,CB4133,3
FB7D_b,FB6X,3
FB7K,CB1617,3
CB0951,FB4F_a,3
CB1268,FB2A,3
CB1564,ER1_a,3
LAL116,LPsP,3
LAL116,FB4E_a,3
SMP167,FB6H,3
vDeltaI_a,FB4Z_b,3
vDeltaI_a,FS3_a,3
FB8H,FB7F,3
FB5Q,FB5D,3
FB5Q,FC3_b,3
FB5Q,FB6X,3
FB5Q,FB5W_a,3
FB5Q,CRE095,3
FB5Q,PAM08,3
FB5Q,FB5R,3
FB5Q,FS4A,3
FB5Q,SMP376,3
SMP167,FS1B_b,3
PFL3,FB2M_b,3
PFL3,hDeltaB,3
CB4155,FB2C,3
FB2A,FB1E_b,3
FB2A,ExR8,3
FB2A,FB3A,3
LAL110,FB6N,3
FC2B,SMP488,3
FB2M_b,PFNa,3
FB2M_b,FB3C,3
FS1A_a,FC1C_a,3
FC1D,ATL002,3
FB2F_a,ExR5,3
FB2F_a,FB4L,3
CB0951,FB5X,3
FC1C_a,FB2M_b,3
FC1C_a,SMP562,3
FC1C_a,FB2F_a,3
FC1C_a,PAM08,3
CB2800,SpsP,3
SMP535,FB7B,3
FC1B,hDeltaL,3
CB4183,FB4L,3
FB5D,FC1E,3
PEN_a(PEN1),PFNp_e,3
hDeltaB,FB4A_b,3
FB4P_a,FS1A_b,3
FB4P_a,PAM07,3
FB4P_a,vDeltaG,3
FB4P_a,EL,3
FB4P_a,CRE027,3
CRE045,FB4E_a,3
FB1I,FB7I,3
FB1I,FB8E,3
FB1I,FS4C,3
PFNa,PFNp_d,3
FS2,SMP384,3
LHPV5g1_b,FS2,3
FC1B,ATL027,3
FB5G_a,SMP150,3
FB5Q,CRE028,3
FB5Q,FB5S,3
FB5Q,CRE074,3
FC1B,FS3_c,3
ER1_b,WEDPN17_b,3
KCg-m,FB4O,3
SMP088,FB6A_c,3
ER4d,ER3a_b,3
ER4d,ER3d_c,3
CB2539,FB6T,3
CB1202,FB4L,3
IB017,FS1A_c,3
PLP026,FB5B,3
KCab-c,ER5,3
CB1148,FB4A_a,3
FC1F,FB1A,3
SAF,FB7C,3
FB1F,FC1F,3
FB1F,SA3,3
FB1F,PFL3,3
FB1F,FC1D,3
FB4P_a,FB4P_a,3
ATL028,FB5A,3
ATL028,PFL3,3
ATL028,FB5V_a,3
FB8F_b,FB7D_a,3
FB8F_b,CB0024,3
FC2C,OA-VUMa6,3
CB3135,FB1C,3
FB4Q_c,FC,3
FB4Q_c,FS4C,3
FB8C,vDeltaC,3
FB8C,FS4B,3
FB5B,SLP247,3
FB5B,FS1A_a,3
PFR_a,EPGt,3
FC1C_b,PFNd,3
FB6Q,FB5S,3
FB5O,FC1C_b,3
PAM08,FB1C,3
PFR_b,FS1A_b,3
PFR_b,FC1E,3
PFR_b,PFNa,3
PFR_b,FB4D_c,3
FC,hDeltaJ,3
PFR_a,PFNv,3
SMP490,ExR3,3
SLP387,FB1D,3
SLP387,SA3,3
FC2A,FB4F_a,3
FB5W_a,FB4H,3
FC2B,FB4E_a,3
PPL204,FB2H_a,3
FS1A_a,SMP566,3
FS1A_a,SMP452,3
vDeltaD,vDeltaF,3
FB1E_a,FS3_c,3
FB4A_b,FB4E_c,3
FB4A_b,hDeltaA,3
FB4A_b,FC1D,3
FB4A_b,hDeltaG,3
FB4A_b,FB4O,3
SMP166,FS4C,3
LAL008,FB5A,3
FB5B,FC3_a,3
FB5B,FC3_c,3
FS1A_b,FB6P,3
FS2,CRE009,3
FC1C_b,CRE077,3
WED009,ExR7,3
ER1_c,ER3p_a,3
