body_pre,body_post,weight
10187,27430,8
10187,524654,8
10187,526638,8
10187,512179,8
10187,520468,8
10187,511842,8
10187,66644,8
10187,71769,8
10187,74917,8
10187,48667,8
10187,44903,8
10187,58447,8
10187,59969,8
10187,57278,8
10187,134100,8
10187,91870,8
10187,102689,8
15344,39984,8
542590,10187,8
12091,520575,8
529707,549508,8
43756,10187,8
30181,10168,8
522974,10852,8
518706,515048,8
15310,105436,8
10175,15888,8
10175,532124,8
12858,12359,7
10453,17155,7
10453,12542,7
18899,547260,7
10652,17061,7
33298,10168,7
533435,287884,7
542590,287884,7
553201,55094,7
65705,519616,7
158252,14705,7
17419,12055,7
19460,11752,7
19460,287884,7
12902,13650,7
12055,516110,7
87815,287884,7
515194,10187,7
10175,43756,7
10168,44903,7
10168,23473,7
52027,287884,7
51611,10187,7
22683,287884,7
42118,10187,7
52427,287884,7
16303,287884,7
56350,10187,7
39879,10011,7
39879,10072,7
16430,11752,7
12248,544359,7
13902,10187,7
10185,12802,7
10185,25328,7
10187,523578,7
10187,524067,7
10187,536208,7
10187,525224,7
10187,529129,7
10187,516919,7
10187,533434,7
10187,146366,7
10187,121031,7
10187,120773,7
10187,515234,7
10187,17720,7
10187,19443,7
10187,13490,7
10187,27926,7
10187,28074,7
10187,25773,7
10187,24933,7
10187,23846,7
10187,23630,7
10187,19798,7
10187,21018,7
10187,23281,7
10187,10537,7
10187,11673,7
10187,70716,7
10187,71959,7
10187,108415,7
10187,109866,7
10187,42440,7
10187,35429,7
10187,39538,7
10187,33552,7
10187,38526,7
10187,38334,7
10187,57384,7
10187,48642,7
10187,47348,7
10187,55143,7
10187,53755,7
121031,10187,7
25371,48113,7
44903,287884,7
48248,10187,7
14434,10187,7
25554,10187,7
11618,525448,7
11618,512041,7
11618,515221,7
11618,17759,7
14705,23846,7
46571,17155,7
10011,519331,7
10011,524073,7
10011,17753,7
10011,17804,7
10011,11307,7
10011,14509,7
10011,15495,7
10011,15399,7
10011,14727,7
10041,12104,7
10041,520435,7
10041,513217,7
10041,23325,7
10041,27492,7
24399,10187,7
11900,47850,7
10110,30541,7
10110,12083,7
10110,12844,7
10110,11516,7
10110,105904,7
10110,102316,7
10110,49288,7
10110,524351,7
10110,511846,7
10110,513518,7
523806,12091,7
14182,25763,7
14222,547260,7
15487,22083,7
519616,87121,7
519616,65705,7
519616,44903,7
519616,48421,7
10072,529318,7
10072,55630,7
10072,17804,7
518604,91391,7
23281,529808,7
23281,17421,7
15310,23473,7
15274,12506,7
529707,128552,7
529707,514044,7
39091,287884,7
13428,15924,7
13428,133601,7
13428,87121,7
13428,521584,7
38526,10187,7
270968,21145,7
59994,10168,7
31627,10168,7
75789,10187,7
512319,12091,7
58730,13428,7
58730,138585,7
287884,17720,7
287884,13142,7
287884,12248,7
287884,12221,7
287884,10453,7
287884,10817,7
287884,11083,7
287884,39385,7
287884,36205,7
287884,31911,7
287884,32432,7
287884,48642,7
287884,50327,7
287884,52728,7
287884,21204,7
287884,23231,7
287884,18422,7
287884,18586,7
287884,18982,7
287884,27492,7
287884,27926,7
287884,29537,7
287884,29152,7
287884,31499,7
287884,127422,7
287884,90634,7
287884,62962,7
287884,54176,7
287884,52027,7
287884,55049,7
287884,55161,7
287884,77911,7
287884,81527,7
287884,69954,7
287884,71769,7
287884,533435,7
287884,536264,7
287884,536443,7
287884,518704,7
287884,519508,7
287884,515960,7
287884,527427,7
19651,42515,7
19651,71991,7
39465,10187,7
31786,10168,7
530880,11618,7
17016,287884,7
10997,35293,7
529128,528100,7
17061,10187,7
554008,11327,6
23281,55210,6
23281,287884,6
20070,14705,6
68889,91391,6
26443,12091,6
19443,287884,6
26287,10187,6
68834,515048,6
169145,515048,6
11557,10041,6
31786,15310,6
24399,287884,6
24567,528100,6
171009,515048,6
66864,21145,6
11618,533103,6
11618,84217,6
13031,10041,6
11601,12802,6
19651,50952,6
19651,49627,6
75614,10187,6
75614,287884,6
25318,10187,6
10545,20925,6
10545,555342,6
144604,515048,6
10545,35293,6
18436,121578,6
11497,287884,6
21671,21519,6
19238,553201,6
32675,287884,6
79615,10110,6
85527,138585,6
81159,12055,6
20997,287884,6
11005,11497,6
32805,10187,6
10969,12091,6
82884,10187,6
71363,21145,6
12311,524069,6
12902,532124,6
12902,520435,6
12902,23812,6
12902,106593,6
12902,12333,6
30541,336850,6
146667,11752,6
10603,45024,6
12858,517726,6
87815,10187,6
131748,13428,6
12091,45969,6
30225,287884,6
18899,200973,6
72430,287884,6
33552,10187,6
22291,10187,6
117521,515048,6
22302,10187,6
15924,61360,6
10168,520338,6
515463,287884,6
17720,10187,6
15693,65187,6
52253,287884,6
13892,10175,6
10187,31786,6
10187,43881,6
10187,22083,6
10187,17991,6
10187,18221,6
10187,27422,6
10187,22835,6
10187,24399,6
10187,91004,6
10187,90634,6
10187,80130,6
10187,55161,6
10187,56830,6
10187,60086,6
10187,65047,6
10187,57587,6
10187,59806,6
10187,10453,6
10187,10624,6
10187,14729,6
10187,13058,6
10187,13101,6
10187,143387,6
10187,145920,6
10187,113840,6
10187,536443,6
10187,524351,6
10187,515193,6
10187,515295,6
10187,521644,6
10187,512717,6
10187,515959,6
10187,517418,6
515221,139280,6
515221,152044,6
515234,10187,6
10175,15325,6
10175,44903,6
533943,66934,6
515295,10187,6
10185,106593,6
10185,119860,6
10185,515933,6
10185,63122,6
15310,13559,6
15310,13142,6
10479,11255,6
43881,287884,6
43928,10187,6
15458,10603,6
14222,28434,6
535347,12091,6
535098,10187,6
14182,26065,6
14182,17759,6
10110,93067,6
10110,513217,6
10110,361803,6
10110,522853,6
238044,10175,6
530449,11618,6
38334,10187,6
13559,287884,6
529808,15674,6
17421,17016,6
10278,36423,6
58335,287884,6
287884,16430,6
287884,17780,6
287884,18803,6
287884,18065,6
287884,16908,6
287884,26666,6
287884,26718,6
287884,26962,6
287884,28559,6
287884,28146,6
287884,19715,6
287884,19798,6
287884,24933,6
287884,11503,6
13428,15325,6
13428,12083,6
13428,33919,6
13418,200973,6
17155,10453,6
287884,132121,6
287884,87630,6
287884,87815,6
287884,524945,6
287884,520573,6
287884,536355,6
287884,531755,6
287884,517012,6
287884,515221,6
287884,42835,6
287884,52041,6
287884,47546,6
287884,47369,6
287884,33552,6
287884,32976,6
287884,40069,6
287884,66644,6
287884,63179,6
287884,61553,6
287884,75688,6
287884,74917,6
287884,73908,6
287884,69684,6
287884,53837,6
287884,61278,6
287884,58447,6
287884,56545,6
38182,10187,6
17024,10072,6
59288,287884,6
531009,10168,6
258715,10072,6
62790,12902,6
527427,287884,6
16430,11900,6
526638,518072,6
57278,287884,6
529253,287884,6
529253,10187,6
39413,12055,6
56905,12902,6
529127,143120,6
175459,15929,6
14705,33125,6
14705,30225,6
14705,84217,6
14705,125114,6
14705,524612,6
10072,17024,6
48421,519616,6
10072,15654,6
10072,16869,6
10072,14806,6
10072,14509,6
10072,11184,6
48421,97990,6
10072,519331,6
10072,513517,6
10072,524074,6
10072,522994,6
10072,520581,6
10072,511841,6
10011,88342,6
10072,92188,6
519947,11516,6
10041,13031,6
10041,11433,6
10041,11557,6
10011,556346,6
10041,17016,6
178101,24291,6
10041,93067,6
10011,519144,6
10041,513034,6
520727,10187,6
14521,32338,6
14521,38706,6
14521,97512,6
519616,92683,6
48248,287884,6
49288,287884,6
10011,15904,6
10011,10513,6
10011,11989,6
10011,12449,6
14434,287884,6
10050,520468,6
47546,10187,6
46571,12542,6
18065,547260,6
47850,162050,6
46571,224205,6
29582,10187,5
56839,287884,5
10997,523775,5
529128,66934,5
13650,10187,5
57278,10187,5
129430,24291,5
526638,170450,5
521584,519616,5
520210,10545,5
520210,10479,5
527427,10187,5
513354,13058,5
513354,40213,5
29261,287884,5
11005,513217,5
10041,91633,5
10041,30541,5
10041,24399,5
16430,13428,5
10041,524351,5
10041,12359,5
12248,224205,5
30968,10187,5
565876,12902,5
10011,15409,5
10011,14806,5
76941,21145,5
59806,10187,5
30781,10187,5
530880,196622,5
485278,11618,5
10011,115198,5
10011,519140,5
10011,515294,5
10011,513283,5
10011,512514,5
59425,10072,5
10011,533725,5
287884,522853,5
287884,523578,5
287884,524947,5
287884,525066,5
287884,524067,5
287884,513034,5
287884,513376,5
287884,220958,5
287884,511846,5
287884,515193,5
287884,515192,5
287884,524351,5
287884,543495,5
17155,112156,5
24683,287884,5
75558,10187,5
287884,41715,5
287884,41277,5
287884,33410,5
287884,49952,5
287884,49630,5
287884,50687,5
287884,49839,5
287884,52304,5
287884,52253,5
287884,43756,5
287884,45024,5
287884,48583,5
287884,23232,5
287884,25549,5
287884,26038,5
287884,24291,5
287884,24399,5
287884,25137,5
287884,25763,5
287884,21911,5
287884,29836,5
287884,30805,5
287884,33293,5
287884,26488,5
287884,25808,5
287884,28074,5
287884,27425,5
287884,92664,5
287884,97678,5
287884,97443,5
287884,103482,5
287884,108415,5
287884,91004,5
287884,156005,5
287884,160253,5
287884,121794,5
287884,124469,5
287884,145530,5
287884,146366,5
287884,135721,5
287884,58146,5
287884,63635,5
287884,61296,5
287884,61731,5
287884,59969,5
287884,54642,5
287884,55143,5
287884,54443,5
287884,55789,5
287884,56327,5
287884,57309,5
287884,56839,5
287884,78331,5
287884,79788,5
287884,82613,5
287884,67456,5
287884,72133,5
75581,10187,5
75581,287884,5
287884,16973,5
287884,10624,5
287884,13862,5
287884,13058,5
287884,12802,5
287884,12706,5
14705,15888,5
14705,26794,5
14705,521975,5
14705,75789,5
11618,536443,5
11618,79273,5
11618,108860,5
11618,26287,5
11618,66695,5
12542,543404,5
24436,287884,5
131748,91391,5
30181,196622,5
30181,10175,5
30329,287884,5
529707,94980,5
529707,258715,5
512326,62570,5
529808,34900,5
134118,11752,5
30541,525787,5
30653,10187,5
38706,10041,5
10110,16214,5
10110,16303,5
10110,59288,5
10110,59108,5
10110,57384,5
10110,61553,5
10110,515463,5
10110,521637,5
10110,512179,5
517512,12091,5
14182,19266,5
11326,287884,5
523578,66934,5
15458,10204,5
52253,10187,5
23846,287884,5
42332,10072,5
23800,544359,5
517012,520403,5
48667,287884,5
90497,287884,5
10072,512927,5
10072,512305,5
10072,519328,5
10072,518194,5
10072,513463,5
10072,515294,5
10072,126426,5
94433,196622,5
10072,11307,5
10072,10513,5
10072,14816,5
10072,18639,5
43814,287884,5
519349,10050,5
519350,529419,5
49627,10011,5
94980,10011,5
111244,10187,5
