pre,post,male_syn,female_syn,male_share,female_share,log2_ratio,pre_dimorphic,post_dimorphic
PFR_a,hDeltaB,763,961,0.0163,0.0237,-0.54,False,True
EPG,ER3w_b,587,197,0.0294,0.0202,0.54,False,False
vDeltaD,FB6O,521,364,0.1557,0.1068,0.54,False,False
FB6U,FC2B,451,960,0.0106,0.0155,-0.54,False,False
FC1F,FB2D,439,586,0.0235,0.0341,-0.54,True,False
GLNO,ExR8,435,337,0.0762,0.0525,0.54,False,False
hDeltaE,FB7G,385,386,0.0792,0.1148,-0.54,False,False
FB3A,PFR_a,370,515,0.0087,0.0127,-0.54,False,False
hDeltaB,FB4L,322,244,0.0335,0.0488,-0.54,True,True
FS2,hDeltaG,321,381,0.0111,0.0162,-0.54,False,False
ER3a_a,EPG,255,314,0.0012,0.0019,-0.54,False,False
FB2F_c,FB2F_b,136,334,0.0455,0.0663,-0.54,True,True
MBON21,FB4P_b,96,358,0.021,0.0305,-0.54,False,True
Delta7,PFNa,7243,9619,0.1863,0.2689,-0.53,False,False
PEG,PEN_b(PEN2),2238,1309,0.0519,0.0359,0.53,False,False
EPG,PFNd,1979,2653,0.0406,0.0587,-0.53,False,False
PFNm_a,PFNm_a,1403,2634,0.1245,0.18,-0.53,False,False
FB5AB,vDeltaF,1359,584,0.0918,0.0636,0.53,False,False
ER3p_a,EL,980,702,0.0131,0.0091,0.53,False,False
Delta7,PFNp_e,750,1018,0.1044,0.1503,-0.53,False,False
FC1B,FB2A,730,800,0.0729,0.1056,-0.53,True,False
ExR4,PEG,703,451,0.0336,0.0232,0.53,False,False
hDeltaH,vDeltaG,587,315,0.0438,0.0303,0.53,False,False
FB5M,hDeltaI,581,327,0.0157,0.0109,0.53,False,True
vDeltaA_a,SA3,507,505,0.1423,0.2057,-0.53,False,False
FB5K,vDeltaF,480,432,0.0324,0.047,-0.53,False,False
PFR_a,PFR_a,387,255,0.0091,0.0063,0.53,False,False
PFL3,LAL190,369,230,0.0505,0.0728,-0.53,False,False
FB4M,PFNv,310,433,0.015,0.0217,-0.53,False,False
FB4X,PFL3,301,453,0.0049,0.0072,-0.53,False,False
FB6C_b,hDeltaC,2032,962,0.046,0.032,0.52,False,False
hDeltaJ,FB1H,1236,1105,0.0959,0.0668,0.52,True,True
FB4O,PFL3,1195,864,0.0197,0.0137,0.52,True,False
vDeltaC,FB7I,621,826,0.0808,0.1162,-0.52,False,False
vDeltaC,FB7H,543,430,0.1766,0.1232,0.52,False,False
LNO1,FB4B,497,524,0.0486,0.0698,-0.52,False,False
ExR5,FB4P_a,433,369,0.0515,0.0358,0.52,False,True
PFL3,LAL200,329,107,0.0274,0.0191,0.52,False,False
PFNm_a,vDeltaD,310,417,0.0215,0.0308,-0.52,False,False
ER3w_a,EPG,4034,4723,0.0196,0.0279,-0.51,False,False
ER4m,ER2_c,2202,2628,0.0608,0.0865,-0.51,False,False
Delta7,PFNp_b,2188,2418,0.0842,0.1199,-0.51,False,False
Delta7,PFR_b,1429,2301,0.0552,0.0789,-0.51,False,False
FB4O,hDeltaI,967,550,0.0262,0.0183,0.51,True,True
hDeltaD,vDeltaA_b,786,701,0.1332,0.0936,0.51,False,False
PFNm_b,LCNOpm,725,528,0.0413,0.059,-0.51,False,False
TuBu03,ER3d_d,716,364,0.0476,0.0334,0.51,False,False
PFL2,LAL090,590,696,0.1102,0.1568,-0.51,False,False
LAL076,FC2C,473,287,0.01,0.007,0.51,False,False
FC1D,FR2,455,563,0.0849,0.0598,0.51,True,False
hDeltaF,FB6M,437,341,0.0665,0.0944,-0.51,False,False
FB2L,vDeltaE,405,375,0.0278,0.0195,0.51,False,False
FB4Y,vDeltaJ,403,561,0.0759,0.1081,-0.51,False,False
FB5H,vDeltaH,391,965,0.0611,0.0873,-0.51,False,False
LAL143,LNO2,351,143,0.0182,0.0127,0.51,False,False
ER3a_d,EL,333,495,0.0045,0.0064,-0.51,False,False
FB4C,hDeltaI,328,380,0.0089,0.0127,-0.51,False,True
FB8F_a,FB7L,293,308,0.0365,0.052,-0.51,False,False
FB4J,hDeltaA,293,332,0.0058,0.0084,-0.51,False,True
FB2I_a,FC1B,259,346,0.0182,0.0258,-0.51,False,True
FB8D,hDeltaD,254,313,0.0119,0.017,-0.51,False,False
hDeltaB,FB1H,241,441,0.0187,0.0266,-0.51,True,True
FB4M,PFGs,193,316,0.0059,0.0084,-0.51,False,False
PFNm_b,PFNm_b,2231,967,0.1775,0.1254,0.5,False,False
ER3d_c,EPG,2139,2494,0.0104,0.0147,-0.5,False,False
PFNp_a,PFL3,1946,1430,0.032,0.0226,0.5,False,False
PFNm_b,PFNm_a,1320,1215,0.1172,0.083,0.5,False,False
PEN_a(PEN1),ER1_a,1157,1406,0.1209,0.1711,-0.5,False,False
vDeltaC,hDeltaE,1112,1108,0.0366,0.0517,-0.5,False,False
ER3a_d,ExR1,870,873,0.0159,0.0226,-0.5,False,False
Delta7,PFNm_a,853,1563,0.0757,0.1068,-0.5,False,False
vDeltaG,FB5K,704,766,0.15,0.1058,0.5,False,False
IbSpsP,Delta7,675,864,0.0131,0.0185,-0.5,False,False
FB8I,hDeltaD,667,407,0.0314,0.0221,0.5,False,False
FC1A,FC1D,649,388,0.0566,0.0399,0.5,True,True
FB6U,FC2C,503,307,0.0106,0.0075,0.5,False,False
FB2B_a,FR1,439,694,0.0153,0.0217,-0.5,False,False
FB2F_a,FC1D,433,259,0.0377,0.0267,0.5,True,True
hDeltaB,FB4K,417,251,0.0523,0.0369,0.5,True,False
PFNp_b,vDeltaF,358,315,0.0242,0.0343,-0.5,False,False
LAL139,GLNO,345,121,0.0362,0.0255,0.5,False,False
FB5N,PFL2,327,241,0.0102,0.0072,0.5,False,False
hDeltaE,FB8B,320,398,0.0724,0.1021,-0.5,False,False
PFL3,LAL010,319,354,0.0367,0.0521,-0.5,False,False
FC1D,FC1D,305,182,0.0266,0.0187,0.5,True,True
hDeltaF,FS2,241,307,0.0083,0.0118,-0.5,False,False
SMP133,FB4P_b,183,331,0.04,0.0282,0.5,False,True
Delta7,PFL3,5617,8177,0.0924,0.1294,-0.49,False,False
PFNv,hDeltaB,4344,2686,0.0926,0.0661,0.49,False,True
FC2C,PFL2,2013,1492,0.063,0.0447,0.49,False,False
FB6G,hDeltaF,1513,678,0.0421,0.03,0.49,False,False
ER2_b,ER3w_a,1025,1413,0.1069,0.1504,-0.49,False,False
