pre,post,male_syn,female_syn,male_share,female_share,log2_ratio,pre_dimorphic,post_dimorphic
hDeltaK,ExR3,803,2498,0.0535,0.1479,-1.47,False,False
EL,FB4Y,219,550,0.0093,0.0259,-1.47,False,False
FB1C,vDeltaH,82,395,0.0128,0.0357,-1.47,False,False
FB5D,hDeltaA,537,152,0.0107,0.0038,1.46,True,True
FB6B,hDeltaL,205,458,0.0056,0.0155,-1.46,True,True
EL,ER3a_a,239,374,0.0159,0.0434,-1.44,False,False
vDeltaD,FB6N,162,590,0.0543,0.1476,-1.44,False,False
LHPV7c1,FB4R,335,74,0.0496,0.0183,1.43,False,True
FB4Q_a,FB4F_a,53,368,0.0099,0.0267,-1.43,True,False
SMP215,FB6D,687,247,0.1109,0.0413,1.42,True,False
EPG,ER3w_a,593,218,0.0618,0.0232,1.41,False,False
SLP405_a,FB8F_b,321,82,0.0531,0.0199,1.41,False,False
FC1F,FR1,163,488,0.0057,0.0153,-1.41,True,False
EL,ER4m,479,731,0.0171,0.0453,-1.4,False,False
FB2A,FC1E,146,400,0.0154,0.041,-1.4,False,True
FB4Y,vDeltaH,133,608,0.0208,0.055,-1.4,False,False
PFGs,PFGs,107,329,0.0033,0.0087,-1.4,False,False
ExR3,FB6M,278,402,0.0423,0.1113,-1.39,False,False
ExR2,PEN_a(PEN1),275,556,0.0064,0.0168,-1.39,False,False
EL,ExR1,842,1549,0.0154,0.04,-1.38,False,False
LAL143,FB3A,727,195,0.0624,0.0238,1.38,False,False
PFNp_e,PFNm_a,394,196,0.035,0.0134,1.38,False,False
FB6J,FB6U,229,584,0.0319,0.0835,-1.38,False,False
FB6B,hDeltaC,206,370,0.0047,0.0123,-1.38,True,False
LAL055,ExR1,620,167,0.0113,0.0043,1.37,False,False
SIP064,FB4M,468,119,0.0234,0.009,1.37,False,False
FB6H,hDeltaC,318,566,0.0072,0.0188,-1.37,False,False
FB4Y,hDeltaH,167,386,0.0057,0.015,-1.37,False,False
PFNm_a,FB1C,263,449,0.0198,0.0509,-1.36,False,False
PFL2,LAL075,255,439,0.0343,0.0882,-1.36,False,True
ER3m,ER3d_a,90,316,0.0084,0.0216,-1.36,False,False
ExR2,ExR6,212,329,0.0102,0.0261,-1.35,False,False
FB4L,PFNd,510,1201,0.0105,0.0266,-1.34,True,False
FB2A,FB2B_b,139,322,0.0217,0.0551,-1.34,False,False
PFNp_a,vDeltaM,1034,341,0.0754,0.0299,1.33,False,False
FB4Y,EL,216,575,0.0029,0.0074,-1.33,False,False
FB1H,hDeltaI,151,312,0.0041,0.0104,-1.33,True,True
FB5N,FC2B,782,456,0.0185,0.0074,1.32,False,False
FB4Y,EPG,732,1522,0.0036,0.009,-1.31,False,False
FB6H,FB6G,225,483,0.0665,0.1644,-1.31,False,False
FB5M,hDeltaM,176,343,0.007,0.0174,-1.31,False,True
TuBu02,ER3a_a,1309,304,0.0873,0.0353,1.3,False,False
PFNp_c,FB1C,308,505,0.0232,0.0572,-1.3,False,False
FB2A,FB2D,252,573,0.0135,0.0334,-1.3,False,False
FB4F_a,PFL3,584,1492,0.0096,0.0236,-1.29,False,False
FB6B,FC2C,342,732,0.0072,0.0178,-1.29,True,False
hDeltaK,PFGs,2846,7890,0.0865,0.2096,-1.28,False,False
FB2G_b,PFL2,1113,475,0.0348,0.0142,1.28,False,False
FB1H,hDeltaB,459,974,0.0098,0.024,-1.28,True,True
PFNm_a,vDeltaB,200,692,0.0202,0.0494,-1.28,False,False
ExR2,EL,190,488,0.0025,0.0063,-1.28,False,False
PFL3,PFL3,853,363,0.014,0.0057,1.27,False,False
SMP215,FB6I,397,143,0.1089,0.0451,1.27,True,False
SMP192,FB5A,379,122,0.0156,0.0064,1.27,False,False
mALB5,FB4L,339,73,0.0353,0.0146,1.27,False,True
PFR_b,PFR_b,1722,809,0.0666,0.0278,1.26,False,False
LAL184,ExR1,640,187,0.0117,0.0048,1.26,False,False
vDeltaH,FB5H,316,692,0.038,0.0908,-1.26,False,False
FB2A,FB2A,255,462,0.0255,0.061,-1.26,False,False
FB1C,PFNp_a,201,403,0.0151,0.0364,-1.26,False,False
FB4C,hDeltaB,1135,410,0.0242,0.0101,1.25,False,True
hDeltaC,FC2C,980,354,0.0206,0.0086,1.25,False,False
PEG,PEG,543,211,0.026,0.0109,1.25,False,False
hDeltaG,vDeltaF,528,137,0.0357,0.0149,1.25,False,False
FB4M,FB3A,434,724,0.0372,0.0885,-1.25,False,False
FB4M,vDeltaL,220,489,0.0178,0.0426,-1.25,False,False
hDeltaB,FB4M,739,1153,0.0369,0.087,-1.24,True,False
FB4M,FB4N,138,307,0.0112,0.0267,-1.24,False,False
vDeltaH,FB4Y,443,940,0.0188,0.0443,-1.23,False,False
FB4Y,PEN_a(PEN1),428,772,0.0099,0.0234,-1.23,False,False
FB4Q_b,FC2A,421,1121,0.0131,0.0308,-1.23,True,False
FB1B,FC2B,87,307,0.0021,0.005,-1.23,False,False
FB6E,FC2B,454,1545,0.0107,0.0249,-1.21,False,False
FB4R,hDeltaI,301,104,0.0081,0.0035,1.21,True,True
vDeltaB,FB7E,194,378,0.0293,0.068,-1.21,False,False
FB4M,hDeltaI,380,712,0.0103,0.0237,-1.2,False,True
FB6C_b,PFGs,1597,800,0.0485,0.0212,1.19,False,False
ER3d_a,ExR1,1200,1940,0.0219,0.0502,-1.19,False,False
FS4C,SMP497,398,219,0.2065,0.0902,1.19,False,False
SIP064,FB4L,394,90,0.041,0.018,1.19,False,True
TuBu02,ER3a_d,308,123,0.0666,0.0292,1.19,False,False
FB1A,FB3C,214,313,0.0235,0.0538,-1.19,False,False
SMP377,FB4M,1111,323,0.0555,0.0244,1.18,False,False
VES041,PFL3,705,320,0.0116,0.0051,1.18,False,False
EPG,PFNv,450,984,0.0218,0.0493,-1.18,False,False
FB6O,vDeltaC,430,1092,0.0297,0.0675,-1.18,False,False
ExR2,ExR4,275,376,0.0134,0.0305,-1.18,False,False
FB8A,hDeltaD,653,1276,0.0307,0.0693,-1.17,False,False
PFNp_c,LCNOpm,591,681,0.0337,0.0761,-1.17,False,False
FB7B,FB7A,177,300,0.0236,0.0535,-1.17,False,False
FB4M,FB4F_a,106,611,0.0197,0.0443,-1.17,False,False
FB8G,FS3,6,545,0.0085,0.0194,-1.17,False,False
FB6B,FS3,5,453,0.0071,0.0161,-1.17,True,False
ER3a_a,ER3a_b,507,103,0.0894,0.0399,1.16,False,False
vDeltaE,FC2B,340,1119,0.008,0.0181,-1.16,False,False
FB7H,vDeltaB,259,824,0.0262,0.0588,-1.16,False,False
FB1G,FS3,50,896,0.0711,0.0319,1.16,False,False
hDeltaF,FS3,19,1704,0.027,0.0606,-1.16,False,False
ExR7,ER3a_b,453,93,0.0798,0.036,1.15,False,False
FB4M,FR1,155,387,0.0054,0.0121,-1.15,False,False
FB4P_b,FB4Q_a,147,413,0.0565,0.1255,-1.15,True,True
FB4Q_b,FC2B,91,304,0.0021,0.0049,-1.15,True,False
IbSpsP,PEN_a(PEN1),1012,1701,0.0234,0.0515,-1.14,False,False
FB1G,vDeltaB,121,380,0.0122,0.0271,-1.14,False,False
FB4P_b,PFR_a,895,1869,0.0211,0.0461,-1.13,True,False
vDeltaF,FS2,454,185,0.0157,0.0071,1.13,False,False
FB2L,FC2C,374,146,0.0079,0.0036,1.13,False,False
FB5H,FB5A,184,319,0.0076,0.0167,-1.13,False,False
TuBu07,ExR1,1224,396,0.0223,0.0102,1.12,False,False
PFNm_b,FC2C,814,323,0.0171,0.0079,1.12,False,False
FB1C,PFNp_b,811,1373,0.0312,0.0681,-1.12,False,False
FB1H,PFR_a,261,547,0.0061,0.0135,-1.12,True,False
FB4P_b,FB4P_b,193,1075,0.0421,0.0916,-1.12,True,True
hDeltaF,FC2B,191,613,0.0045,0.0099,-1.12,False,False
PFNd,FB4M,701,1002,0.035,0.0756,-1.11,False,False
FB7H,vDeltaD,621,269,0.043,0.0199,1.11,False,False
EL,ER3d_d,452,705,0.03,0.0647,-1.11,False,False
FB1C,PFNp_d,179,368,0.0398,0.0856,-1.11,False,False
EL,ER4d,4178,7643,0.0733,0.1573,-1.1,False,False
ER3d_a,ER3d_a,2007,5840,0.187,0.3997,-1.1,False,False
FB4M,hDeltaA,1098,1868,0.0218,0.047,-1.1,False,True
ExR7,FB1C,759,234,0.0571,0.0265,1.1,False,False
vDeltaH,FC2A,631,1541,0.0196,0.0423,-1.1,False,False
PFR_a,FB4M,337,478,0.0168,0.0361,-1.1,False,False
FB4C,FB4L,320,358,0.0333,0.0716,-1.1,False,True
SMP048,FB4M,313,96,0.0156,0.0072,1.1,False,False
PEN_b(PEN2),PEG,312,134,0.0149,0.0069,1.1,False,False
FB4X,hDeltaA,301,513,0.006,0.0129,-1.1,False,True
FB1C,PFL3,249,561,0.0041,0.0089,-1.1,False,False
ExR2,PEN_b(PEN2),247,451,0.0057,0.0124,-1.1,False,False
vDeltaF,hDeltaG,1582,601,0.0546,0.0255,1.09,False,False
FB2G_b,FC2C,1412,571,0.0297,0.0139,1.09,False,False
hDeltaK,FB6D,865,1782,0.1397,0.2982,-1.09,False,False
PFR_b,SMP457,343,102,0.0567,0.0267,1.09,False,False
CRE103,FB5AB,333,116,0.0272,0.0127,1.09,False,False
ER2_b,ER4m,295,364,0.0105,0.0226,-1.09,False,False
vDeltaH,FR1,211,505,0.0073,0.0158,-1.09,False,False
P6-8P9,PFNa,444,191,0.0114,0.0053,1.08,False,False
hDeltaB,FB4F_a,315,380,0.0586,0.0276,1.08,True,False
SA1_a,vDeltaA_a,270,594,0.0175,0.037,-1.08,False,False
FB1H,OA-VPM3,197,303,0.0102,0.0218,-1.08,True,False
FB5N,FC2A,446,239,0.0139,0.0066,1.07,False,False
FB5H,FB4Y,174,331,0.0074,0.0156,-1.07,False,False
ER3a_d,ER3a_d,473,899,0.1023,0.2137,-1.06,False,False
hDeltaH,FC2A,251,596,0.0078,0.0164,-1.06,False,False
PFR_a,FB5D,194,303,0.0278,0.0583,-1.06,False,True
EPG,PFNm_a,119,323,0.0106,0.0221,-1.06,False,False
EL,ER2_c,1377,2394,0.038,0.0788,-1.05,False,False
ER1_a,ER1_a,832,1484,0.0869,0.1806,-1.05,False,False
hDeltaL,FC2B,594,1804,0.014,0.0291,-1.05,True,False
LAL203,ER1_b,399,136,0.0351,0.0169,1.05,False,False
ER3a_a,EL,369,181,0.0049,0.0023,1.05,False,False
TuBu08,ExR1,316,106,0.0058,0.0027,1.05,False,False
FB6H,FB6I,260,470,0.0713,0.1482,-1.05,False,False
FB6U,FS3,5,418,0.0071,0.0149,-1.05,False,False
PFR_a,hDeltaH,619,1124,0.0212,0.0436,-1.04,False,False
FB4Q_b,PFL3,263,568,0.0043,0.009,-1.04,True,False
FS4B,SMP497,253,657,0.1313,0.2707,-1.04,False,False
ER6,EPG,1925,770,0.0094,0.0045,1.03,False,False
ExR2,EPG,959,1628,0.0047,0.0096,-1.03,False,False
FB5L,vDeltaE,562,1516,0.0385,0.079,-1.03,False,False
ER3w_a,ER4m,357,100,0.0127,0.0062,1.03,False,False
hDeltaG,FB5U,247,433,0.0523,0.107,-1.03,False,False
OA-VPM3,FB2A,212,329,0.0212,0.0434,-1.03,False,False
FB4M,hDeltaJ,625,908,0.0165,0.0335,-1.02,False,True
PFL3,LAL142,390,292,0.031,0.0631,-1.02,False,False
vDeltaC,FB8G,154,331,0.026,0.0529,-1.02,False,False
FB6C_b,FC2B,122,368,0.0029,0.0059,-1.02,False,False
FB4P_b,hDeltaI,649,1063,0.0176,0.0354,-1.01,True,True
EL,ER3d_c,613,1346,0.0469,0.0948,-1.01,False,False
ER3w_b,EL,604,307,0.0081,0.004,1.01,False,False
PFL3,LAL123,328,238,0.0156,0.0316,-1.01,False,False
PFNp_a,FB1H,303,192,0.0235,0.0116,1.01,False,True
EPG,PFNp_b,282,442,0.0109,0.0219,-1.01,False,False
FB7K,vDeltaB,948,670,0.0959,0.0478,1.0,False,False
EL,ER3d_a,627,1712,0.0584,0.1172,-1.0,False,False
FB4F_a,PFL2,552,1153,0.0173,0.0346,-1.0,False,False
PFR_a,FB4P_a,274,670,0.0326,0.0651,-1.0,False,True
FB4B,PFNd,988,458,0.0203,0.0101,0.99,False,False
FB8H,FC2C,844,1450,0.0178,0.0353,-0.99,False,False
LPsP,Delta7,525,949,0.0102,0.0203,-0.99,False,False
TuBu04,ExR1,386,135,0.007,0.0035,0.99,False,False
CRE086,FB5A,333,131,0.0137,0.0069,0.99,False,False
P6-8P9,IbSpsP,302,134,0.0179,0.009,0.99,False,False
PFR_a,FB5I,293,632,0.0391,0.0778,-0.99,False,False
hDeltaC,PFR_a,183,350,0.0043,0.0086,-0.99,False,False
FB2D,PFNa,177,326,0.0046,0.0091,-0.99,False,False
FB5Z,FB6J,147,614,0.0296,0.0591,-0.99,True,False
ER3d_b,EL,1413,737,0.0189,0.0095,0.98,False,False
FB4O,hDeltaJ,1236,445,0.0325,0.0164,0.98,True,True
FB1E_a,hDeltaC,885,303,0.02,0.0101,0.98,False,False
FB4M,PFR_a,735,1384,0.0173,0.0341,-0.98,False,False
PFR_a,FB4X,612,1133,0.0693,0.1368,-0.98,False,False
FB4Y,PFL3,476,985,0.0078,0.0156,-0.98,False,False
SMP133,FB5X,314,155,0.0336,0.0169,0.98,False,True
LAL014,LNO2,300,88,0.0156,0.0078,0.98,False,False
FB2I_a,FB2A,259,388,0.0259,0.0512,-0.98,False,False
FB5B,FC2B,170,497,0.004,0.008,-0.98,False,False
ER2_c,ER4m,871,987,0.0311,0.0612,-0.97,False,False
FB2A,FB2I_a,400,857,0.0352,0.0692,-0.97,False,False
FB1H,FC2A,347,775,0.0108,0.0213,-0.97,True,False
ER3p_b,EPG,1568,2532,0.0076,0.015,-0.96,False,False
PFL3,LAL193,424,302,0.0776,0.1512,-0.96,False,False
P6-8P9,EPGt,414,177,0.1393,0.0718,0.96,False,False
FB1C,PFNm_a,372,941,0.033,0.0643,-0.96,False,False
SMP192,FB1C,346,118,0.026,0.0134,0.96,False,False
FB4Y,PEN_b(PEN2),187,310,0.0043,0.0085,-0.96,False,False
LHPV6q1,FB2A,356,139,0.0356,0.0183,0.95,True,False
LPsP,PFNd,314,568,0.0064,0.0126,-0.95,False,False
FB1I,vDeltaA_b,124,304,0.021,0.0406,-0.95,False,False
FB4M,hDeltaB,3391,5625,0.0723,0.1384,-0.94,False,True
Delta7,PFNv,2195,4054,0.1061,0.203,-0.94,False,False
hDeltaF,hDeltaL,756,315,0.0206,0.0107,0.94,False,True
Delta7,PEN_b(PEN2),6061,9800,0.1406,0.2689,-0.93,False,False
EL,EPG,3709,5837,0.018,0.0345,-0.93,False,False
FB2G_b,hDeltaI,1856,788,0.0502,0.0262,0.93,False,True
PFNm_b,PFNp_b,1420,577,0.0546,0.0286,0.93,False,False
FB4M,PFNd,977,1723,0.02,0.0381,-0.93,False,False
FB4K,hDeltaH,943,436,0.0323,0.0169,0.93,False,False
FS4A,SMP305,623,413,0.1668,0.3174,-0.93,False,False
FB1I,vDeltaC,612,358,0.0423,0.0221,0.93,False,False
SA2_b,vDeltaA_a,449,886,0.029,0.0552,-0.93,False,False
FB7A,vDeltaB,433,322,0.0438,0.023,0.93,False,False
PFL2,LAL052,417,338,0.0523,0.0994,-0.93,False,False
LAL052,LNO1,403,123,0.0368,0.0193,0.93,False,False
PFNp_b,LCNOp,380,183,0.0574,0.0301,0.93,False,False
OA-VPM3,hDeltaJ,377,513,0.0099,0.019,-0.93,False,True
FB7B,FB7K,243,413,0.0738,0.1404,-0.93,False,False
Delta7,PFNd,4470,7826,0.0917,0.1732,-0.92,False,False
EL,ER2_a,854,950,0.0428,0.0812,-0.92,False,False
FB6C_b,hDeltaG,590,253,0.0204,0.0107,0.92,False,False
vDeltaB,hDeltaD,475,782,0.0223,0.0425,-0.92,False,False
FB8A,vDeltaA_a,241,476,0.0156,0.0297,-0.92,False,False
FB6Q,hDeltaC,232,301,0.0052,0.01,-0.92,False,False
Delta7,EPG,4294,6664,0.0209,0.0394,-0.91,False,False
PFNv,hDeltaC,780,282,0.0176,0.0094,0.91,False,False
ER3d_b,ExR3,440,262,0.0293,0.0155,0.91,False,False
FB4P_b,PFL2,379,746,0.0119,0.0224,-0.91,True,False
OA-VPM3,hDeltaC,353,453,0.008,0.0151,-0.91,False,False
hDeltaM,hDeltaK,320,173,0.0119,0.0063,0.91,True,False
FB4L,PFR_a,179,324,0.0042,0.008,-0.91,True,False
hDeltaB,FS3,8,604,0.0114,0.0215,-0.91,True,False
IbSpsP,PEN_b(PEN2),1625,2565,0.0377,0.0704,-0.9,False,False
PFNp_b,vDeltaC,465,279,0.0322,0.0172,0.9,False,False
PFNp_a,vDeltaL,1244,626,0.1008,0.0545,0.89,False,False
ExR2,ER2_c,421,657,0.0116,0.0216,-0.89,False,False
PVLP114,LCNOp,356,176,0.0538,0.029,0.89,True,False
FB1C,vDeltaL,337,582,0.0273,0.0507,-0.89,False,False
CRE059,FB4P_b,273,378,0.0596,0.0322,0.89,False,True
FB1G,vDeltaA_b,250,589,0.0424,0.0786,-0.89,False,False
FB6B,FB6K,243,458,0.0446,0.0827,-0.89,True,False
LCNOpm,PFNp_e,770,395,0.1072,0.0583,0.88,False,False
vDeltaE,FB5L,376,1002,0.1109,0.2037,-0.88,False,False
SMP250,FB6C_b,331,106,0.0399,0.0216,0.88,False,False
FB5H,hDeltaH,249,407,0.0085,0.0158,-0.88,False,False
FB4M,FB1H,188,446,0.0146,0.027,-0.88,False,True
FC1F,FB2F_b,139,431,0.0465,0.0856,-0.88,True,True
PFNp_b,PFNm_b,1180,396,0.0939,0.0514,0.87,False,False
EL,ER3p_b,1034,2500,0.2323,0.4235,-0.87,False,False
PFR_b,CRE009,406,160,0.1339,0.0732,0.87,False,False
FB1C,PFNp_c,358,716,0.0196,0.0357,-0.87,False,False
EL,ER2_b,311,701,0.0574,0.1046,-0.87,False,False
ER3a_d,ER3a_b,309,257,0.0545,0.0996,-0.87,False,False
FB5U,hDeltaG,220,329,0.0076,0.014,-0.87,False,False
FB1H,hDeltaJ,1184,1535,0.0312,0.0567,-0.86,True,True
FB4P_b,PFL3,1030,1953,0.0169,0.0309,-0.86,True,False
FB5D,hDeltaG,424,189,0.0146,0.008,0.86,True,False
SIP004,FB1C,330,120,0.0248,0.0136,0.86,False,False
FB4P_b,hDeltaM,318,451,0.0126,0.0228,-0.86,True,True
FB7B,FC2C,214,339,0.0045,0.0082,-0.86,False,False
PFR_a,FB1H,173,404,0.0134,0.0244,-0.86,False,True
EPG,ExR1,2248,877,0.041,0.0227,0.85,False,False
ER4m,ER2_a,1595,1688,0.08,0.1443,-0.85,False,False
ER2_a,ER4m,682,710,0.0244,0.044,-0.85,False,False
FB5D,PFR_b,525,327,0.0203,0.0112,0.85,True,False
FB4N,hDeltaA,329,142,0.0065,0.0036,0.85,False,True
FB5S,FB6W,326,193,0.1111,0.0615,0.85,False,True
PFNa,FR1,177,358,0.0062,0.0112,-0.85,False,False
ER3d_a,EPG,1930,2864,0.0094,0.0169,-0.84,False,False
ER1_a,EL,1407,2625,0.0188,0.0339,-0.84,False,False
FB4L,hDeltaB,1207,1875,0.0257,0.0461,-0.84,True,True
ExR5,PFL1,915,578,0.0572,0.0318,0.84,False,False
vDeltaH,hDeltaH,701,1109,0.024,0.043,-0.84,False,False
FB6J,hDeltaG,477,698,0.0165,0.0296,-0.84,False,False
WED040_a,GLNO,461,128,0.0484,0.027,0.84,False,False
LPsP,PFNv,344,597,0.0166,0.0299,-0.84,False,False
FB4R,hDeltaJ,329,130,0.0087,0.0048,0.84,True,True
FB5D,PFL3,327,187,0.0054,0.003,0.84,True,False
FB3C,FB4B,300,123,0.0293,0.0164,0.84,False,False
FB5X,FB5X,200,351,0.0214,0.0383,-0.84,True,True
FB2H_b,FR1,153,307,0.0053,0.0096,-0.84,False,False
FB6H,FB6J,101,378,0.0203,0.0364,-0.84,False,False
GLNO,PEN_a(PEN1),9806,4199,0.2265,0.1272,0.83,False,False
PFR_a,hDeltaJ,769,975,0.0202,0.036,-0.83,False,True
FB5C,FC2B,627,512,0.0148,0.0083,0.83,False,False
FB7A,hDeltaF,580,653,0.0162,0.0289,-0.83,False,False
FB4M,PFR_b,407,816,0.0157,0.028,-0.83,False,False
ExR3,ER4d,331,504,0.0058,0.0104,-0.83,False,False
LHPV6q1,EPG,308,135,0.0015,0.0008,0.83,True,False
FB2D,FB2A,304,410,0.0304,0.0541,-0.83,False,False
FB4K,PFGs,736,476,0.0224,0.0126,0.82,False,False
PFNp_a,hDeltaI,456,209,0.0123,0.007,0.82,False,True
hDeltaB,PFNd,427,222,0.0088,0.0049,0.82,True,False
FB5K,hDeltaH,395,616,0.0135,0.0239,-0.82,False,False
FB5H,vDeltaG,353,484,0.0263,0.0465,-0.82,False,False
FB4O,FS2,311,158,0.0108,0.0061,0.82,True,False
FB2B_a,FB2D,290,472,0.0155,0.0275,-0.82,False,False
vDeltaH,hDeltaM,271,374,0.0107,0.0189,-0.82,False,True
FB2B_b,FB2D,238,386,0.0127,0.0225,-0.82,False,False
FB1C,vDeltaB,164,411,0.0166,0.0293,-0.82,False,False
FB6J,hDeltaL,1259,1781,0.0342,0.0603,-0.81,False,True
PFL3,DNb01,753,375,0.0469,0.0267,0.81,False,False
TuBu02,ExR1,613,246,0.0112,0.0064,0.81,False,False
vDeltaC,FB6O,484,865,0.1446,0.2539,-0.81,False,False
PFNp_a,LCNOpm,459,412,0.0262,0.0461,-0.81,False,False
FC1F,hDeltaC,421,505,0.0095,0.0168,-0.81,True,False
FB7B,FB7L,291,376,0.0363,0.0635,-0.81,False,False
FB1C,vDeltaA_b,157,349,0.0266,0.0466,-0.81,False,False
ER4m,ER3w_a,1761,992,0.1836,0.1056,0.8,False,False
TuBu07,ER3w_b,1031,289,0.0516,0.0297,0.8,False,False
FB2G_b,hDeltaA,836,377,0.0166,0.0095,0.8,False,True
vDeltaF,FB5L,641,533,0.1891,0.1083,0.8,False,False
FB2F_b,FC2A,512,331,0.0159,0.0091,0.8,True,False
FS4B,SMP167,378,499,0.1036,0.1802,-0.8,False,False
PFNp_c,vDeltaK,344,614,0.0208,0.0364,-0.8,False,False
FB2A,FC1D,235,346,0.0205,0.0356,-0.8,False,True
ER1_a,EPG,4292,6127,0.0209,0.0362,-0.79,False,False
FB1C,PFNm_b,750,797,0.0597,0.1034,-0.79,False,False
SIP004,LCNOpm,562,165,0.032,0.0185,0.79,False,False
EPG,ER1_a,519,769,0.0542,0.0936,-0.79,False,False
FB6R,hDeltaG,501,234,0.0173,0.0099,0.79,False,False
FB5C,FS2,440,228,0.0152,0.0088,0.79,False,False
ER2_b,ER2_b,422,902,0.0778,0.1346,-0.79,False,False
FB4M,FB4K,227,335,0.0285,0.0492,-0.79,False,False
ER4m,ER2_d,1028,1676,0.1339,0.2304,-0.78,False,False
EL,ER3w_a,658,1108,0.0686,0.118,-0.78,False,False
FB1C,vDeltaK,378,665,0.0229,0.0394,-0.78,False,False
FB4M,vDeltaM,350,500,0.0255,0.0438,-0.78,False,False
ER3a_b,ER3m,321,140,0.0142,0.0082,0.78,False,False
EL,ER3p_a,3253,3835,0.2226,0.3787,-0.77,False,False
EL,ER3d_b,2733,1941,0.1091,0.1863,-0.77,False,False
PFGs,ExR3,1002,1918,0.0668,0.1136,-0.77,False,False
FS4C,SLP414,860,832,0.1781,0.1045,0.77,False,False
PFNp_b,PFL3,746,452,0.0123,0.0072,0.77,False,False
FB8I,FB7J,679,521,0.1143,0.067,0.77,False,False
vDeltaA_a,FB9A,509,484,0.1873,0.3188,-0.77,False,False
FB1H,PFNd,435,692,0.0089,0.0153,-0.77,True,False
hDeltaJ,FB4O,339,132,0.0414,0.0243,0.77,True,True
SMP192,ExR3,336,221,0.0224,0.0131,0.77,False,False
SMP095,FB8I,331,109,0.0622,0.0365,0.77,False,False
PFNm_a,FC2B,297,743,0.007,0.012,-0.77,False,False
PFNp_c,vDeltaL,240,382,0.0194,0.0333,-0.77,False,False
ER1_a,ER1_b,2143,2556,0.1883,0.3181,-0.76,False,False
PLP246,FB4M,660,257,0.0329,0.0194,0.76,False,False
FB2I_a,FB2D,635,986,0.0339,0.0574,-0.76,False,False
LPsP,PFL2,440,780,0.0138,0.0234,-0.76,False,False
FB5AB,vDeltaH,373,379,0.0583,0.0343,0.76,False,False
PFNd,FB4J,314,222,0.1167,0.0689,0.76,False,False
FB2K,PFL2,300,184,0.0094,0.0055,0.76,False,False
FB1D,FB1E_b,270,322,0.1501,0.2547,-0.76,False,False
CRE107,FB5K,135,352,0.0288,0.0486,-0.76,False,False
Delta7,PEG,3926,6123,0.1879,0.3155,-0.75,False,False
LNO1,PFNd,2982,1643,0.0611,0.0364,0.75,False,False
ExR5,ExR1,1559,652,0.0285,0.0169,0.75,False,False
PFNm_b,vDeltaC,999,663,0.0691,0.041,0.75,False,False
FB4Y,hDeltaI,937,1287,0.0254,0.0429,-0.75,False,True
PFL1,FB2B_b,890,482,0.1389,0.0825,0.75,False,False
ER2_d,ER3w_a,635,370,0.0662,0.0394,0.75,False,False
hDeltaK,hDeltaK,372,641,0.0139,0.0235,-0.75,False,False
PFNp_c,vDeltaF,347,363,0.0234,0.0395,-0.75,False,False
PFR_b,LAL101,310,110,0.0642,0.038,0.75,False,False
EL,ExR7,214,541,0.0312,0.0527,-0.75,False,False
vDeltaE,hDeltaG,2405,3263,0.083,0.1384,-0.74,False,False
FB2G_b,FB2D,773,424,0.0413,0.0247,0.74,False,False
EPG,GLNO,766,228,0.0804,0.048,0.74,False,False
ExR3,EPG,686,955,0.0033,0.0056,-0.74,False,False
FB5P,FB5R,499,787,0.1616,0.0965,0.74,True,False
FS4A,SMP304,428,262,0.1982,0.3312,-0.74,False,False
FB6H,hDeltaL,240,325,0.0065,0.011,-0.74,False,True
FB1H,FB4C,205,318,0.0173,0.029,-0.74,True,False
ER3a_d,ER3a_a,1944,1848,0.1297,0.2146,-0.73,False,False
vDeltaA_b,FB8I,458,428,0.086,0.1432,-0.73,False,False
FB4O,FB4P_b,440,680,0.0961,0.0579,0.73,True,True
PFR_a,hDeltaI,394,533,0.0107,0.0177,-0.73,False,True
FB2I_a,FB4L,365,315,0.038,0.063,-0.73,False,True
FB1H,PFNp_c,232,423,0.0127,0.0211,-0.73,True,False
FC1B,FC1F,185,358,0.0192,0.0319,-0.73,True,True
ER3d_c,ExR1,1511,1764,0.0276,0.0456,-0.72,False,False
FB5Z,FB5S,1291,744,0.1509,0.0917,0.72,True,False
IbSpsP,PFNv,958,1521,0.0463,0.0762,-0.72,False,False
FB4B,PFR_a,832,481,0.0196,0.0119,0.72,False,False
FB7K,PFGs,755,523,0.0229,0.0139,0.72,False,False
FB2A,FC1B,561,867,0.0394,0.0648,-0.72,False,True
PFNm_b,vDeltaD,387,220,0.0268,0.0163,0.72,False,False
ExR6,ExR7,230,566,0.0335,0.0551,-0.72,False,False
FS4A,FB1B,222,446,0.0745,0.1227,-0.72,False,False
FB2E,FS4B,136,372,0.0266,0.0438,-0.72,True,False
FB6M,hDeltaK,1995,1240,0.0745,0.0454,0.71,False,False
ER3p_b,EL,578,987,0.0077,0.0127,-0.71,False,False
FB8F_a,FB6C_b,402,389,0.0485,0.0792,-0.71,False,False
FB1H,PFL3,284,487,0.0047,0.0077,-0.71,True,False
FB1C,vDeltaM,225,306,0.0164,0.0268,-0.71,False,False
EL,ER3w_b,1361,1075,0.0682,0.1105,-0.7,False,False
EPG,ExR5,1316,736,0.1063,0.0654,0.7,False,False
PFNd,FB4C,1306,742,0.11,0.0676,0.7,False,False
vDeltaM,vDeltaL,1106,634,0.0896,0.0552,0.7,False,False
PEG,EPG,994,499,0.0048,0.0029,0.7,False,False
