type,n_cells,total_in,total_out
AN08B099_d,2,1724,3855
AN08B099_e,2,1428,2180
AN08B099_f,2,3761,5835
AN08B099_g,3,2056,7256
AN08B099_h,2,2202,4257
AN08B099_i,1,1818,2725
AN08B099_j,1,1060,3114
AN08B100,10,5636,22213
AN08B101,6,5079,11988
AN08B102,2,1163,2477
AN08B103,2,857,5868
AN08B106,4,1269,7485
AN08B107,2,629,4604
AN08B109,2,964,5974
AN08B110,2,577,6017
AN08B111,2,592,3515
AN08B112,4,1057,7816
AN08B113,11,1841,8617
AN09A005,11,7907,8839
AN09A007,2,4318,26712
AN09B002,2,8084,35895
AN09B003,2,16065,26084
AN09B004,10,69462,150342
AN09B006,2,1862,22630
AN09B007,2,5305,20665
AN09B009,6,55458,78961
AN09B011,2,4447,27121
AN09B012,4,18542,48558
AN09B013,2,11220,23585
AN09B014,2,14316,20429
AN09B015,2,7492,20087
AN09B016,2,4668,37621
AN09B017a,2,2644,21414
AN09B017b,2,4808,29622
AN09B017c,2,2889,24783
AN09B017d,2,5399,26065
AN09B017e,2,4423,37603
AN09B017f,2,3563,33492
AN09B017g,2,6102,49700
AN09B018,8,52666,60442
AN09B019,2,6010,26006
AN09B020,4,19805,24248
AN09B021,2,4365,18064
AN09B023,8,41086,78640
AN09B024,2,11994,31304
AN09B026,2,2042,24233
AN09B027,2,5426,25452
AN09B028,2,2553,15181
AN09B029,4,9994,32017
AN09B030,4,8384,27949
AN09B031,2,3941,25044
AN09B032,4,7130,25760
AN09B033,6,6456,29582
AN09B034,2,5358,19185
AN09B035,6,7659,38003
AN09B036,2,5860,16044
AN09B037,4,7704,13566
AN09B040,6,4265,28587
AN09B042,2,1405,6503
AN09B044,2,1605,8065
AN09B059,2,2091,19253
AN09B060,4,13874,63545
AN10B005,2,9284,53082
AN10B008,2,5440,22564
AN10B009,2,3750,22073
AN10B015,6,13915,62620
AN10B017,2,3622,30223
AN10B018,2,4116,32236
AN10B019,6,21250,24698
AN10B020,6,13829,32053
AN10B021,2,3353,23979
AN10B022,6,12183,27193
AN10B024,4,4626,36573
AN10B025,2,1564,13669
AN10B026,2,1119,19582
AN10B027,6,10262,40412
AN10B029,6,5068,23532
AN10B031,2,484,4043
AN10B033,7,4049,15633
AN10B034,8,5578,19978
AN10B035,11,3356,25960
AN10B037,15,4471,29963
AN10B039,12,7274,21824
AN10B045,31,11414,50751
AN10B046,13,1947,23221
AN10B047,16,5081,39555
AN10B048,6,2550,11209
AN10B053,11,3054,23936
AN10B061,7,847,8730
AN10B062,3,1539,8197
AN11B008,2,3375,8562
AN11B012,2,3200,7806
AN12A003,2,9663,31142
AN12A017,2,1742,16929
AN12B001,2,10508,38379
AN12B004,6,12787,77238
AN12B005,2,12880,32139
AN12B006,2,12552,22855
AN12B008,4,10498,35467
AN12B011,2,3563,15135
AN12B017,6,7787,45903
AN12B019,6,7735,48957
AN12B055,5,2013,12887
AN12B060,10,3005,21570
AN12B076,3,959,6512
AN12B080,3,691,5032
AN12B089,7,1690,9690
AN13B002,2,39312,55414
AN14A003,5,28350,43979
AN14B012,2,2203,5878
AN16B078_a,2,884,3260
AN16B078_b,2,626,2957
AN16B078_c,6,3443,9098
AN16B078_d,6,2632,9144
AN16B081,2,994,2044
AN16B112,4,2136,4891
AN16B116,2,842,2755
AN17A002,2,13375,51544
AN17A003,6,37055,105892
AN17A004,2,14894,40485
AN17A008,2,6159,28184
AN17A009,2,15694,26446
