type_pre,type_post,total,mean_offset_deg,resultant_length,ncol_pre,ncol_post
FC2A,PFR_a,30,357.1,0.943,9,9
vDeltaA_a,FC2C,30,2.9,0.923,9,9
PFNa,PFNm_b,30,3.8,0.501,9,9
FC3_a,FS3_c,29,357.2,0.981,9,8
PFR_a,vDeltaH,29,17.0,0.865,9,7
PFNm_b,hDeltaJ,29,349.2,0.867,9,12
vDeltaE,FR1,29,1.0,0.804,9,9
hDeltaL,FS4A,29,194.3,0.932,12,9
FC3_b,PFL3,29,355.5,0.932,9,9
FC1C_a,FS4A,29,2.8,0.981,9,9
PFR_b,hDeltaK,29,331.3,0.532,9,12
FC1D,FS3_d,29,4.7,0.892,9,9
FC1E,FC3_b,29,353.8,0.904,9,9
hDeltaM,FC2C,29,196.2,0.911,8,9
FC3_a,FC2C,29,1.5,0.93,9,9
PFGs,hDeltaJ,29,178.9,0.438,9,12
vDeltaK,FR1,29,6.5,0.864,9,9
FC2C,vDeltaE,29,352.8,0.861,9,9
FC2C,vDeltaD,29,6.5,0.864,9,9
FS2,FS4A,28,349.7,0.762,9,9
vDeltaI_a,FC1E,28,14.4,0.914,9,9
FC3_b,FC,28,9.4,0.929,9,8
PFNd,FR1,28,26.5,0.907,8,9
vDeltaJ,vDeltaJ,28,357.2,0.829,8,8
hDeltaC,FS3_d,28,185.9,0.781,12,9
hDeltaI,FC2C,28,202.1,0.918,12,9
FC2C,hDeltaH,28,262.1,0.076,9,8
PFGs,PFNd,28,326.8,0.842,9,8
FC3_c,PFNa,28,5.1,0.846,9,9
FS3_b,FS2,28,187.3,0.117,9,9
FS3_b,FS3_d,28,151.8,0.16,9,9
PFGs,FC2C,28,5.7,0.864,9,9
hDeltaB,FC3_c,27,218.9,0.883,12,9
FC1C_a,PFR_b,27,354.9,0.884,9,9
FC1B,PFR_a,27,349.0,0.881,9,9
FC1A,FS4B,27,360.0,0.913,9,9
FS2,FC3_a,27,358.4,0.968,9,9
FC1C_b,PFR_b,27,1.6,0.946,9,9
FC1C_a,FS1A_c,27,6.2,0.728,9,9
PFNd,FS3_c,27,23.4,0.924,8,8
hDeltaA,FC3_b,27,195.6,0.862,12,9
PFR_a,FS1B_b,27,360.0,0.935,9,9
PFR_b,FC3_c,27,358.2,0.841,9,9
PFNv,FC2C,27,358.3,0.903,9,9
FC3_b,FS4C,27,6.2,0.962,9,9
hDeltaI,FC1C_a,27,198.1,0.922,12,9
FC,FS1A_c,27,0.0,0.259,8,9
FS4A,vDeltaA_b,27,339.9,0.824,9,9
FC2A,FC2C,27,353.5,0.919,9,9
FC2A,hDeltaC,27,337.7,0.551,9,12
hDeltaI,vDeltaL,27,193.5,0.884,12,9
vDeltaF,FC3_b,27,8.3,0.912,9,9
FC1A,FC2C,27,355.0,0.906,9,9
FC1E,FC3_c,27,7.3,0.791,9,9
FC1D,hDeltaJ,27,342.1,0.807,9,12
FC1B,FS4A,26,1.6,0.967,9,9
FC3_b,FS1B_a,26,359.3,0.905,9,9
FS1B_a,FC2A,26,51.1,0.724,9,9
FC1F,FC,26,8.1,0.88,8,8
PFGs,FC3_c,26,360.0,0.932,9,9
PFNa,hDeltaI,26,357.2,0.979,9,12
hDeltaB,vDeltaD,26,180.1,0.908,12,9
hDeltaG,FS3_b,26,212.3,0.865,8,9
PFNv,vDeltaD,26,353.3,0.939,9,9
vDeltaI_a,vDeltaF,26,2.5,0.895,9,9
hDeltaG,FS3_d,26,204.3,0.924,8,9
vDeltaG,FC3_b,26,360.0,0.91,9,9
vDeltaB,FS4A,26,358.9,0.849,9,9
FC3_a,FC1A,26,4.9,0.947,9,9
PFGs,PFR_b,26,1.7,0.944,9,9
hDeltaL,hDeltaG,26,153.4,0.145,12,8
FC2C,hDeltaK,26,172.0,0.653,9,12
hDeltaC,FC3_c,26,182.3,0.939,12,9
PFNa,FC1C_a,26,360.0,0.91,9,9
FC3_a,hDeltaM,26,325.8,0.29,9,8
vDeltaL,vDeltaI_a,26,360.0,0.887,9,9
FS2,PFGs,26,358.3,0.922,9,9
FC2C,hDeltaJ,26,336.9,0.255,9,12
FC2C,FC3_a,26,358.3,0.899,9,9
PFNv,FC1F,26,3.4,0.912,9,8
hDeltaI,FC,25,202.5,0.856,12,8
FC2B,FC,25,9.5,0.926,9,8
vDeltaA_a,FS2,25,5.7,0.852,9,9
hDeltaH,hDeltaI,25,304.9,0.086,8,12
FC1F,vDeltaI_a,25,5.3,0.922,8,9
vDeltaH,FC1C_b,25,344.0,0.869,7,9
vDeltaM,PFL3,25,356.7,0.978,9,9
hDeltaL,vDeltaB,25,189.7,0.873,12,9
PFR_b,FC2B,25,352.5,0.867,9,9
FC2C,vDeltaI_b,25,352.9,0.913,9,9
FC2B,vDeltaH,25,32.0,0.81,9,7
FC3_a,hDeltaA,25,185.5,0.057,9,12
vDeltaF,FS1B_a,25,5.2,0.799,9,9
vDeltaE,FS1A_b,25,0.3,0.815,9,9
FC1E,FC3_a,25,355.8,0.772,9,9
hDeltaJ,FR1,25,191.9,0.888,12,9
FC2B,FS4A,24,0.0,1.0,9,9
FC,PFL1,24,13.4,0.89,8,9
FC2B,FR1,24,358.1,0.866,9,9
FC3_a,vDeltaK,24,11.7,0.872,9,9
PFNa,vDeltaE,24,7.1,0.958,9,9
PFNm_b,FS4A,24,360.0,0.878,9,9
hDeltaG,FC3_c,24,202.5,0.924,8,9
hDeltaD,FS3_a,24,210.4,0.933,8,9
vDeltaM,hDeltaB,24,160.4,0.599,9,12
FS2,hDeltaH,24,165.4,0.466,9,8
vDeltaG,FC3_a,24,360.0,0.902,9,9
hDeltaK,hDeltaF,24,348.0,0.774,12,6
FC2B,hDeltaA,24,338.8,0.663,9,12
PFNa,vDeltaI_a,24,8.9,0.95,9,9
FC1B,FC2A,24,1.8,0.939,9,9
FC1B,vDeltaE,24,353.1,0.879,9,9
hDeltaC,hDeltaH,24,343.2,0.209,12,8
FS2,FC3_b,24,358.2,0.939,9,9
vDeltaJ,FC2A,24,9.7,0.878,8,9
vDeltaA_a,FS3_d,24,6.0,0.846,9,9
FC1C_b,FC1B,24,360.0,0.902,9,9
FC2B,PFR_b,24,2.0,0.842,9,9
PFNv,FC1B,23,3.9,0.9,9,9
FC1F,PFR_a,23,5.6,0.941,8,9
FC1D,FS1B_b,23,356.2,0.926,9,9
FC1C_b,FC2C,23,359.1,0.77,9,9
FC2A,PFR_b,23,353.2,0.886,9,9
hDeltaJ,FS1B_b,23,194.8,0.898,12,9
PFNa,hDeltaF,23,334.2,0.875,9,6
FC2C,FC3_b,23,1.9,0.937,9,9
FC3_c,PFL3,23,352.2,0.907,9,9
hDeltaJ,FC3_b,23,182.2,0.766,12,9
FC1C_a,FC1A,23,357.3,0.907,9,9
FC1E,FS1B_a,23,339.2,0.901,9,9
FS3_c,FS3_b,23,68.1,0.281,8,9
PFR_b,vDeltaJ,23,358.1,0.911,9,8
FS1A_a,FC2B,23,47.5,0.174,9,9
PFNd,hDeltaC,23,357.0,0.876,8,12
vDeltaG,FC2C,23,356.2,0.926,9,9
hDeltaC,PFL3,23,212.1,0.603,12,9
PFNv,FS2,23,5.6,0.941,9,9
FC2B,vDeltaI_b,23,19.2,0.878,9,9
vDeltaG,PFR_a,23,357.9,0.835,9,9
FC2C,FR1,23,357.8,0.788,9,9
hDeltaB,vDeltaI_a,22,201.5,0.952,12,9
PFNm_b,hDeltaE,22,328.9,0.934,9,8
FS2,FS1A_b,22,4.4,0.832,9,9
hDeltaH,hDeltaM,22,172.9,0.523,8,8
hDeltaD,vDeltaD,22,200.3,0.925,8,9
hDeltaB,vDeltaF,22,196.5,0.861,12,9
FC3_c,FC,22,3.3,0.889,9,8
vDeltaF,FS1A_b,22,5.9,0.938,9,9
FC2C,FC1E,22,350.0,0.921,9,9
hDeltaC,FS1A_c,22,213.2,0.912,12,9
hDeltaG,FC3_a,22,189.0,0.824,8,9
vDeltaH,hDeltaG,22,310.5,0.87,7,8
PFNm_a,FS3_d,22,347.8,0.914,9,9
vDeltaE,FS3_c,22,11.8,0.94,9,8
FC2C,FC1C_b,22,6.1,0.912,9,9
PFNv,PFR_b,22,358.0,0.907,9,9
FC1F,vDeltaF,22,2.9,0.75,8,9
FC1D,vDeltaG,22,4.4,0.843,9,9
hDeltaI,FS4A,22,197.8,0.958,12,9
FC2B,hDeltaK,22,143.9,0.535,9,12
FS4A,FS3_d,22,4.6,0.805,9,9
vDeltaA_a,vDeltaI_b,22,0.0,1.0,9,9
vDeltaA_b,FS4B,22,340.4,0.767,9,9
FS2,FC2B,22,12.2,0.914,9,9
FC3_c,FS1A_c,22,2.0,0.934,9,9
vDeltaF,hDeltaJ,22,178.1,0.826,9,12
vDeltaF,vDeltaI_b,22,354.4,0.801,9,9
hDeltaD,FS1A_b,21,211.3,0.909,8,9
hDeltaI,PFL1,21,172.4,0.68,12,9
hDeltaB,FC2A,21,195.7,0.95,12,9
vDeltaE,FC3_c,21,353.2,0.853,9,9
PFNa,hDeltaG,21,331.9,0.928,9,8
FC1A,vDeltaI_a,21,349.4,0.918,9,9
FC1C_b,FC1F,21,357.9,0.903,9,8
FC2C,vDeltaC,21,13.6,0.753,9,9
FC1D,hDeltaA,21,348.6,0.825,9,12
PFR_b,vDeltaG,21,349.1,0.891,9,9
FC3_c,FC2A,21,360.0,0.944,9,9
FS3_b,FS3_c,21,77.9,0.16,9,8
FC3_c,FS3_d,21,358.0,0.959,9,9
FC3_c,hDeltaK,21,216.6,0.124,9,12
FC3_a,vDeltaC,21,343.1,0.928,9,9
PFGs,hDeltaE,21,177.5,0.449,9,8
hDeltaC,PFL2,21,181.4,0.651,12,9
PFR_b,hDeltaC,21,337.7,0.39,9,12
vDeltaL,hDeltaB,21,165.3,0.771,9,12
hDeltaJ,PFNd,21,175.3,0.903,12,8
vDeltaI_a,FC2C,21,2.1,0.903,9,9
FC2B,FC3_a,21,353.4,0.88,9,9
PFNa,FS4B,21,360.0,0.888,9,9
FS1A_c,hDeltaA,20,19.7,0.308,9,12
vDeltaA_a,hDeltaL,20,345.0,0.3,9,12
FS1B_a,FC2B,20,33.5,0.886,9,9
FS1A_a,vDeltaK,20,349.2,0.943,9,9
FC3_c,vDeltaI_b,20,2.1,0.957,9,9
FS2,vDeltaF,20,357.7,0.898,9,9
hDeltaJ,FC1E,20,140.4,0.391,12,9
FC1F,FR2,20,17.8,0.927,8,9
FC1C_a,hDeltaH,20,346.9,0.936,9,8
hDeltaI,hDeltaC,20,192.6,0.69,12,12
PFNv,PFNm_b,20,343.7,0.558,9,9
vDeltaL,hDeltaK,20,337.5,0.773,9,12
FC3_c,PFL1,20,2.3,0.898,9,9
hDeltaI,FR2,20,200.4,0.876,12,9
FC1A,vDeltaH,20,20.9,0.88,9,7
vDeltaE,FC3_a,20,352.5,0.817,9,9
hDeltaI,FC3_b,20,193.3,0.926,12,9
PFGs,FS2,20,9.4,0.865,9,9
FC1D,FC2B,20,352.0,0.763,9,9
PFGs,PFR_a,20,352.6,0.777,9,9
hDeltaA,FR2,20,193.4,0.876,12,9
FS1A_c,FC2C,20,173.8,0.136,9,9
PFR_a,FS1A_b,20,2.3,0.898,9,9
FC2B,vDeltaI_a,20,351.5,0.813,9,9
FC3_a,PFL2,19,356.7,0.639,9,9
FC1A,FC2A,19,3.4,0.887,9,9
vDeltaE,PFL3,19,16.3,0.929,9,9
hDeltaJ,vDeltaI_b,19,169.9,0.264,12,9
vDeltaA_a,vDeltaM,19,357.8,0.954,9,9
FC2B,hDeltaI,19,263.5,0.139,9,12
vDeltaE,hDeltaM,19,343.2,0.728,9,8
FS3_a,vDeltaC,19,340.6,0.811,9,9
hDeltaG,hDeltaK,19,20.8,0.597,8,12
PFNa,hDeltaM,19,331.3,0.929,9,8
PFR_b,PFL3,19,13.4,0.669,9,9
PFR_b,FC2C,19,357.8,0.954,9,9
FC1B,hDeltaM,19,336.1,0.827,9,8
vDeltaE,FS1A_c,19,352.4,0.725,9,9
vDeltaC,hDeltaC,19,122.8,0.673,9,12
FC2C,PFR_b,19,2.2,0.954,9,9
FC1D,PFL3,19,346.2,0.935,9,9
vDeltaI_b,hDeltaI,19,183.8,0.119,9,12
FC1E,hDeltaJ,19,346.2,0.712,9,12
hDeltaA,vDeltaG,18,194.4,0.957,12,9
vDeltaM,vDeltaB,18,3.6,0.881,9,9
FS4A,FS2,18,360.0,0.87,9,9
FS2,FC3_c,18,4.8,0.938,9,9
hDeltaF,FS1A_c,18,237.9,0.932,6,9
FC3_a,PFNv,18,9.9,0.916,9,9
FC1C_b,FC3_b,18,2.7,0.841,9,9
hDeltaJ,FC1C_b,18,178.6,0.681,12,9
hDeltaI,FC1C_b,18,212.3,0.845,12,9
vDeltaF,FC3_c,18,15.3,0.78,9,9
FC1C_a,FC,18,2.2,0.419,9,8
PFNv,PFNm_a,18,9.5,0.948,9,9
FC1D,FS1A_b,18,360.0,0.902,9,9
FC1E,FS3_d,18,0.0,1.0,9,9
vDeltaA_a,vDeltaI_a,18,12.1,0.939,9,9
vDeltaK,hDeltaM,18,144.2,0.738,9,8
PFNd,FC3_b,18,32.9,0.939,8,9
FC2A,FC1E,18,350.8,0.738,9,9
FC2C,FR2,18,350.2,0.885,9,9
FC2C,FC1D,18,337.5,0.864,9,9
FS1A_b,FS1B_a,18,100.8,0.21,9,9
FC2C,FC3_c,18,347.9,0.939,9,9
vDeltaK,FC2B,18,360.0,0.935,9,9
vDeltaL,PFGs,18,2.4,0.919,9,9
FC1F,PFNd,18,340.1,0.925,8,8
vDeltaF,PFL3,18,5.0,0.906,9,9
FC1B,FC2C,18,357.6,0.952,9,9
FC1D,FR1,18,1.1,0.863,9,9
FC2B,FC3_b,18,5.0,0.906,9,9
FC3_a,FS4C,18,7.1,0.958,9,9
PFR_a,FC1B,18,7.3,0.926,9,9
hDeltaJ,FC3_a,18,190.2,0.918,12,9
vDeltaD,hDeltaK,18,169.7,0.802,9,12
FC1B,FS3_d,17,357.6,0.984,9,9
hDeltaG,FS4C,17,195.6,0.931,8,9
FC3_c,FS3_c,17,11.7,0.908,9,8
PFNm_b,vDeltaI_b,17,355.1,0.969,9,9
vDeltaG,FC1D,17,357.6,0.984,9,9
FC1E,PFR_b,17,7.8,0.922,9,9
FC1F,hDeltaG,17,147.4,0.386,8,8
PFNv,vDeltaF,17,0.5,0.796,9,9
FC2B,FR2,17,360.0,0.966,9,9
FS2,FS1B_a,17,360.0,0.26,9,9
PFNm_a,vDeltaK,17,2.6,0.915,9,9
vDeltaH,FC1D,17,346.1,0.796,7,9
FC2A,FC1D,17,357.6,0.984,9,9
PFR_a,PFL1,17,5.3,0.9,9,9
hDeltaB,FS4B,17,192.3,0.94,12,9
FC3_c,PFNv,17,0.0,1.0,9,9
FC3_c,hDeltaM,17,356.0,0.597,9,8
hDeltaG,FS4A,17,206.7,0.926,8,9
PFR_b,FS4A,17,354.9,0.935,9,9
PFR_b,hDeltaL,17,322.9,0.498,9,12
FC2A,FR2,17,360.0,0.882,9,9
hDeltaH,FC3_a,17,204.3,0.707,8,9
FC2A,vDeltaI_a,17,349.5,0.782,9,9
vDeltaK,hDeltaK,17,353.2,0.478,9,12
FC1D,vDeltaH,17,32.5,0.92,9,7
FC2B,FC1D,17,352.2,0.922,9,9
vDeltaD,FS1A_b,17,18.7,0.83,9,9
vDeltaG,PFL2,17,1.2,0.821,9,9
FS3_d,FS4A,17,350.3,0.45,9,9
vDeltaG,hDeltaJ,17,153.7,0.8,9,12
FC1A,PFL3,17,354.9,0.935,9,9
PFNv,vDeltaC,17,5.1,0.935,9,9
FC1D,FC2A,17,1.9,0.721,9,9
FC1E,PFNa,17,351.9,0.888,9,9
FC3_b,PFNa,17,353.3,0.861,9,9
hDeltaA,vDeltaH,16,48.8,0.357,12,7
PFL3,FC2A,16,360.0,0.963,9,9
hDeltaH,FR2,16,212.6,0.821,8,9
FC1E,FS1A_a,16,1.7,0.865,9,9
FC1D,hDeltaH,16,343.4,0.929,9,8
FC1C_a,FC1F,16,2.8,0.91,9,8
hDeltaG,hDeltaM,16,167.7,0.621,8,8
hDeltaK,vDeltaD,16,199.9,0.915,12,9
hDeltaM,vDeltaK,16,214.2,0.943,8,9
hDeltaM,FS4B,16,208.4,0.929,8,9
hDeltaA,FC1C_a,16,204.5,0.954,12,9
hDeltaJ,FS4C,16,209.0,0.908,12,9
FC1E,FS3_b,16,357.2,0.91,9,9
FC3_b,PFL1,16,351.4,0.882,9,9
PFR_a,hDeltaL,16,337.1,0.479,9,12
FC3_c,hDeltaI,16,354.8,0.66,9,12
FC1B,PFNd,16,340.5,0.925,9,8
hDeltaM,vDeltaI_a,16,207.7,0.894,8,9
FC3_c,FS4C,16,10.8,0.943,9,9
PFNd,FS3_a,16,25.5,0.925,8,9
PFNa,vDeltaF,16,2.6,0.983,9,9
FC2A,hDeltaK,16,12.6,0.084,9,12
vDeltaB,FS3_b,16,1.3,0.81,9,9
FC2C,vDeltaG,16,5.9,0.858,9,9
FC1F,FC2A,16,351.0,0.846,8,9
PFR_a,FC1D,16,2.7,0.946,9,9
FC1C_a,FC3_a,15,360.0,0.922,9,9
FS1B_a,FS1A_a,15,66.7,0.714,9,9
FC2B,FS3_a,15,8.5,0.952,9,9
FS1A_b,FC2A,15,30.4,0.933,9,9
hDeltaJ,vDeltaD,15,196.9,0.956,12,9
FC1E,hDeltaH,15,351.8,0.662,9,8
PFNd,vDeltaK,15,30.4,0.933,8,9
PFNa,vDeltaH,15,19.1,0.941,9,7
FS1B_a,FS1A_b,15,301.9,0.157,9,9
FC,FC1C_b,15,5.0,0.764,8,9
hDeltaF,vDeltaF,15,212.8,0.681,6,9
vDeltaJ,hDeltaM,15,218.3,0.304,8,8
PFGs,vDeltaD,15,360.0,0.883,9,9
FC1C_a,FC2C,15,9.9,0.82,9,9
PFNd,FC3_c,15,24.1,0.924,8,9
PFNv,hDeltaG,15,342.2,0.927,9,8
hDeltaC,FC3_b,15,201.7,0.926,12,9
FC1E,FS1B_b,15,357.0,0.904,9,9
hDeltaA,PFNd,15,182.6,0.937,12,8
PFR_a,FS4A,15,354.2,0.927,9,9
PFR_b,PFNd,15,341.2,0.73,9,8
FC1C_b,FC3_c,15,4.7,0.819,9,9
FC1C_a,FC1B,15,4.3,0.897,9,9
FC2A,FR1,15,360.0,0.961,9,9
vDeltaG,FS1A_b,15,349.3,0.87,9,9
PFGs,vDeltaC,15,355.3,0.819,9,9
PFNv,FC2B,15,360.0,0.922,9,9
FC1A,PFL2,15,5.6,0.966,9,9
FC3_c,hDeltaB,15,8.4,0.569,9,12
FC1C_b,hDeltaC,15,352.1,0.748,9,12
FC3_b,FS1A_c,15,358.7,0.875,9,9
hDeltaB,PFL2,14,183.0,0.961,12,9
hDeltaA,FC,14,194.0,0.955,12,8
hDeltaH,vDeltaK,14,183.0,0.98,8,9
hDeltaF,FR1,14,223.4,0.851,6,9
FC1C_b,FC3_a,14,10.3,0.85,9,9
FC2B,FC3_c,14,9.6,0.908,9,9
FC1F,FC2C,14,6.3,0.922,8,9
PFGs,hDeltaG,14,67.5,0.109,9,8
PFR_b,FC1C_a,14,6.0,0.963,9,9
vDeltaJ,vDeltaL,14,13.6,0.857,8,9
FC1E,FC2A,14,3.6,0.796,9,9
PFR_a,FC1C_b,14,357.0,0.98,9,9
vDeltaM,PFL2,14,6.3,0.922,9,9
FC2C,FC1B,14,360.0,0.916,9,9
FC2A,PFL1,14,13.5,0.701,9,9
vDeltaI_a,hDeltaA,14,327.7,0.426,9,12
FC3_b,FC2C,14,360.0,0.916,9,9
PFNd,PFNa,14,19.6,0.754,8,9
PFNd,FC3_a,14,19.1,0.925,8,9
PFGs,vDeltaE,14,353.1,0.839,9,9
hDeltaM,vDeltaF,14,206.2,0.6,8,9
FC3_a,hDeltaB,14,332.4,0.654,9,12
FC1A,vDeltaF,14,13.0,0.898,9,9
vDeltaA_a,vDeltaL,14,22.5,0.924,9,9
FS3_d,hDeltaE,14,172.1,0.153,9,8
FS2,FS4C,14,3.6,0.796,9,9
FS2,FS1A_a,14,358.5,0.824,9,9
FC2C,vDeltaI_a,14,6.3,0.922,9,9
vDeltaE,FS3_a,14,354.2,0.786,9,9
FC1D,hDeltaM,14,352.6,0.78,9,8
FC1E,hDeltaC,14,348.5,0.813,9,12
FC1F,vDeltaE,14,354.4,0.828,8,9
FC1C_a,FC3_c,14,356.5,0.838,9,9
FC3_a,PFNd,14,337.5,0.924,9,8
vDeltaF,PFL2,14,12.4,0.938,9,9
PFNa,FR2,14,0.0,1.0,9,9
hDeltaJ,vDeltaH,14,209.5,0.829,12,7
FS2,FS1B_b,14,12.8,0.418,9,9
FS2,hDeltaC,14,344.3,0.324,9,12
FC1B,FS3_b,13,0.0,1.0,9,9
FS1A_b,FS4B,13,328.4,0.936,9,9
hDeltaE,FC2B,13,183.2,0.979,8,9
hDeltaF,FC3_c,13,229.1,0.811,6,9
hDeltaH,vDeltaE,13,187.7,0.808,8,9
PFNm_b,FC2A,13,24.3,0.924,9,9
FC3_c,FS4A,13,0.0,1.0,9,9
FC2A,FC3_b,13,356.3,0.844,9,9
PFR_b,hDeltaM,13,315.0,0.692,9,8
FC1F,PFGs,13,3.2,0.979,8,9
PFGs,hDeltaH,13,323.5,0.366,9,8
hDeltaI,FC3_c,13,182.8,0.855,12,9
hDeltaI,FC3_a,13,206.5,0.953,12,9
FC1E,hDeltaI,13,350.2,0.947,9,12
hDeltaI,FS3_d,13,194.7,0.877,12,9
vDeltaH,FC1C_a,13,353.5,0.879,7,9
PFNm_b,hDeltaL,13,349.7,0.916,9,12
FC2B,FS3_c,13,3.3,0.934,9,8
FC3_b,hDeltaB,13,327.0,0.485,9,12
PFNa,PFL3,13,356.8,0.979,9,9
PFL3,hDeltaI,13,358.3,0.638,9,12
PFNd,FS3_d,13,17.0,0.928,8,9
hDeltaH,hDeltaK,13,5.3,0.819,8,12
PFR_b,FS1A_a,13,356.7,0.934,9,9
vDeltaE,hDeltaK,13,156.4,0.865,9,12
vDeltaD,FS4C,13,3.7,0.844,9,9
FC2B,hDeltaL,13,332.2,0.493,9,12
vDeltaH,FC1E,13,339.8,0.917,7,9
FC2C,FC1F,13,10.4,0.902,9,8
hDeltaK,FC2C,13,211.3,0.805,12,9
hDeltaB,FS1A_a,13,183.8,0.871,12,9
FC1B,vDeltaD,13,352.8,0.872,9,9
PFR_b,FR2,13,348.1,0.897,9,9
hDeltaB,FC3_b,13,194.9,0.82,12,9
FC2A,vDeltaI_b,13,10.4,0.902,9,9
FC2A,FC1C_b,13,360.0,0.91,9,9
FC3_c,PFNd,13,335.7,0.924,9,8
FS3_c,vDeltaC,13,3.5,0.889,8,9
FS3_a,FC2C,13,346.6,0.936,9,9
vDeltaG,vDeltaD,12,0.0,1.0,9,9
vDeltaE,PFL2,12,10.8,0.943,9,9
hDeltaI,vDeltaI_a,12,187.4,0.336,12,9
FS2,FS4B,12,356.5,0.977,9,9
FC,FC1E,12,352.6,0.91,8,9
FS1B_a,vDeltaF,12,15.8,0.703,9,9
FC1E,FS1A_b,12,360.0,0.951,9,9
PFNv,FS1A_b,12,11.4,0.896,9,9
hDeltaJ,FC3_c,12,155.1,0.378,12,9
vDeltaH,PFL2,12,322.6,0.857,7,9
FC,FS1A_b,12,312.3,0.212,8,9
FC1C_b,FS3_d,12,0.0,1.0,9,9
FS3_d,hDeltaD,12,190.4,0.519,9,8
hDeltaC,FS1B_b,12,186.2,0.925,12,9
FC1D,PFR_b,12,10.0,0.677,9,9
FC2A,vDeltaK,12,7.4,0.91,9,9
PFR_a,FC1C_a,12,14.6,0.933,9,9
PFR_b,PFL2,12,16.3,0.419,9,9
hDeltaA,FC3_a,12,193.5,0.808,12,9
FS3_a,FS1A_b,12,349.5,0.833,9,9
FS1A_c,FC,12,247.5,0.308,9,8
FC,FS1A_a,12,300.4,0.33,8,9
FS1B_b,FS1A_c,12,263.8,0.227,9,9
vDeltaI_b,FC1C_a,12,10.8,0.943,9,9
FC1F,FC2B,12,360.0,0.951,8,9
vDeltaE,FS1A_a,12,14.9,0.686,9,9
FS2,PFR_b,12,356.4,0.929,9,9
vDeltaI_b,FS2,12,7.9,0.862,9,9
FC2B,FS3_d,12,3.5,0.977,9,9
FC1C_b,FS1A_b,12,13.1,0.891,9,9
PFNm_b,PFNd,12,325.8,0.943,9,8
vDeltaI_a,vDeltaK,12,10.8,0.943,9,9
PFNv,FS4C,12,360.0,0.951,9,9
PFNv,FC1E,12,3.6,0.929,9,9
FR1,FC2B,12,0.0,0.333,9,9
FC1F,PFNv,12,7.4,0.91,8,9
PFR_b,FC2A,12,360.0,0.951,9,9
hDeltaA,hDeltaC,12,180.0,0.789,12,12
hDeltaB,FS4C,12,192.3,0.934,12,9
vDeltaJ,vDeltaM,12,356.2,0.88,8,9
PFNd,FR2,12,22.5,0.924,8,9
FC2A,vDeltaG,12,356.2,0.88,9,9
FC3_a,FS1A_c,12,9.1,0.904,9,9
FC1F,PFL3,12,360.0,0.902,8,9
vDeltaG,FC3_c,12,348.0,0.848,9,9
PFGs,vDeltaF,12,345.4,0.933,9,9
FC3_b,PFNd,12,334.6,0.88,9,8
vDeltaI_a,FC3_a,12,7.4,0.91,9,9
vDeltaK,PFGs,12,356.4,0.929,9,9
vDeltaI_b,FC3_b,12,344.2,0.775,9,9
FS1B_a,vDeltaE,11,356.0,0.922,9,9
FC1F,vDeltaD,11,360.0,0.947,8,9
FS4A,hDeltaL,11,40.1,0.414,9,12
PFL2,hDeltaH,11,194.6,0.254,9,8
hDeltaF,FC1C_a,11,200.7,0.907,6,9
FC2C,vDeltaJ,11,339.7,0.925,9,8
vDeltaG,hDeltaA,11,357.4,0.102,9,12
vDeltaC,hDeltaD,11,175.4,0.794,9,8
FC3_b,FS3_d,11,352.3,0.955,9,9
FC2C,PFNa,11,356.0,0.922,9,9
hDeltaI,FC1E,11,184.0,0.963,12,9
vDeltaF,hDeltaK,11,160.9,0.95,9,12
FC2C,FC1C_a,11,324.3,0.797,9,9
hDeltaH,FC3_c,11,196.1,0.93,8,9
FC3_c,FS3_b,11,7.7,0.955,9,9
hDeltaA,PFL1,11,220.6,0.705,12,9
vDeltaD,FS3_b,11,4.2,0.869,9,9
FC1A,hDeltaH,11,334.9,0.757,9,8
FS3_b,hDeltaE,11,41.7,0.193,9,8
vDeltaF,vDeltaI_a,11,8.7,0.85,9,9
FC3_b,FS3_c,11,356.2,0.975,9,8
FC3_c,FS3_a,11,356.0,0.922,9,9
FC2B,vDeltaE,11,16.7,0.632,9,9
PFNv,FC1D,11,356.0,0.922,9,9
FC1A,hDeltaM,11,327.4,0.597,9,8
FC1C_b,PFNa,11,347.5,0.888,9,9
FC,FC1C_a,11,45.0,0.273,8,9
hDeltaJ,vDeltaI_a,11,204.8,0.897,12,9
FC1D,PFNd,11,348.2,0.94,9,8
FC3_c,PFL2,11,356.0,0.922,9,9
FC1D,vDeltaI_a,11,356.0,0.922,9,9
vDeltaG,PFGs,11,351.3,0.85,9,9
PFR_a,FC1E,11,4.2,0.869,9,9
vDeltaF,vDeltaH,11,18.8,0.679,9,7
PFNv,FC2A,11,360.0,0.947,9,9
vDeltaE,hDeltaF,11,238.6,0.187,9,6
FS3_c,FC2C,11,15.0,0.643,8,9
vDeltaC,FS3_b,11,360.0,0.712,9,9
FS3_a,vDeltaD,11,344.3,0.712,9,9
hDeltaH,hDeltaB,11,9.9,0.782,8,12
vDeltaA_a,vDeltaB,11,4.0,0.922,9,9
PFNm_a,FS2,10,4.2,0.973,9,9
hDeltaE,FS1A_c,10,216.5,0.952,8,9
FC2B,FC1B,10,355.8,0.973,9,9
hDeltaE,hDeltaK,10,15.0,0.966,8,12
FS1A_b,FC1C_a,10,0.0,0.541,9,9
