type_pre,type_post,total,mean_offset_deg,resultant_length,ncol_pre,ncol_post
vDeltaC,vDeltaC,348,1.5,0.755,9,9
FC3_c,vDeltaE,347,7.0,0.813,9,9
hDeltaA,FS2,345,195.4,0.929,12,9
FC3_c,hDeltaC,342,345.6,0.786,9,12
vDeltaE,FC2B,340,1.8,0.804,9,9
FC1A,FC3_c,339,353.2,0.869,9,9
PFR_a,FC2B,337,4.3,0.891,9,9
FC1E,FR2,336,359.2,0.917,9,9
FC1B,FC1C_a,334,352.9,0.851,9,9
hDeltaF,FS3_c,333,205.4,0.816,6,8
hDeltaH,FS1A_c,329,201.8,0.891,8,9
hDeltaF,FS4C,328,209.2,0.888,6,9
FC2B,FS1B_a,327,2.6,0.945,9,9
hDeltaE,FS4A,326,202.4,0.902,8,9
vDeltaA_b,FS4A,324,358.5,0.834,9,9
hDeltaE,FS3_a,323,210.8,0.873,8,9
FC1F,FC1E,322,359.0,0.877,8,9
FS2,hDeltaG,321,155.5,0.346,9,8
hDeltaM,hDeltaK,320,188.6,0.95,8,12
PFNm_a,hDeltaC,319,338.5,0.93,9,12
hDeltaJ,FS1A_a,315,190.3,0.814,12,9
PFR_a,vDeltaL,315,359.3,0.915,9,9
FC1E,FC1D,313,359.3,0.72,9,9
FC3_c,vDeltaF,311,8.4,0.828,9,9
PFNm_a,vDeltaD,310,359.1,0.922,9,9
vDeltaD,hDeltaG,305,148.1,0.542,9,8
FC1D,FC1D,305,7.2,0.64,9,9
vDeltaK,vDeltaK,305,1.8,0.921,9,9
FC1E,FC1C_b,304,3.0,0.629,9,9
vDeltaK,vDeltaI_b,304,356.7,0.909,9,9
hDeltaH,FS1B_a,303,202.4,0.908,8,9
FC2B,FS1A_b,303,0.4,0.904,9,9
PFR_a,vDeltaM,303,0.2,0.867,9,9
hDeltaA,FS1A_c,302,194.0,0.925,12,9
hDeltaE,FS2,298,203.4,0.867,8,9
hDeltaM,FS1A_a,297,202.7,0.871,8,9
FC2C,FS1B_a,297,1.7,0.947,9,9
PFNm_a,FC2B,297,354.5,0.89,9,9
hDeltaB,hDeltaC,297,177.0,0.33,12,12
PFR_a,PFL3,296,358.9,0.91,9,9
FC1A,FC1B,293,2.7,0.787,9,9
FC3_a,vDeltaH,292,25.1,0.844,9,7
FC2A,FS1A_a,290,357.8,0.896,9,9
vDeltaD,PFGs,289,1.9,0.88,9,9
hDeltaJ,hDeltaH,286,172.5,0.835,12,8
hDeltaA,hDeltaA,284,182.1,0.943,12,12
vDeltaL,hDeltaI,282,349.8,0.868,9,12
FC3_b,vDeltaI_b,281,356.8,0.855,9,9
FC1C_a,PFL1,280,356.6,0.843,9,9
FC1F,FC3_c,278,359.2,0.851,8,9
FC1F,FC3_b,274,2.4,0.877,8,9
vDeltaH,hDeltaM,271,137.1,0.619,7,8
hDeltaM,FS1B_a,268,203.0,0.924,8,9
hDeltaE,FS3_c,265,207.8,0.875,8,8
PFR_b,hDeltaA,265,165.6,0.394,9,12
hDeltaG,FS1A_c,264,203.3,0.85,8,9
vDeltaI_a,PFR_b,262,0.6,0.851,9,9
hDeltaD,hDeltaE,261,182.2,0.563,8,8
hDeltaB,hDeltaM,261,350.7,0.771,12,8
hDeltaF,FS3_d,261,202.8,0.881,6,9
PFNv,PFNd,258,345.2,0.661,9,8
vDeltaI_a,vDeltaH,256,22.3,0.787,9,7
FC1B,FC1A,256,0.5,0.824,9,9
hDeltaD,FS4C,253,199.9,0.875,8,9
FC2B,FC2B,253,9.3,0.315,9,9
hDeltaF,vDeltaE,252,209.7,0.838,6,9
FS2,hDeltaL,252,165.7,0.115,9,12
hDeltaH,FC2A,251,202.7,0.889,8,9
vDeltaM,hDeltaI,251,348.1,0.819,9,12
FC3_b,hDeltaC,251,344.5,0.786,9,12
hDeltaI,FS1A_c,250,195.7,0.915,12,9
FC1A,hDeltaC,250,341.1,0.901,9,12
hDeltaG,FS1B_b,247,201.9,0.91,8,9
vDeltaF,PFR_b,247,0.2,0.811,9,9
vDeltaC,hDeltaF,247,326.1,0.151,9,6
hDeltaL,vDeltaE,246,192.7,0.906,12,9
hDeltaB,vDeltaK,246,201.7,0.931,12,9
hDeltaJ,vDeltaG,246,193.5,0.867,12,9
hDeltaF,hDeltaE,245,182.8,0.749,6,8
hDeltaI,hDeltaA,245,202.4,0.107,12,12
hDeltaF,FS2,241,211.7,0.844,6,9
FC1E,FC1C_a,238,357.5,0.796,9,9
FC3_b,vDeltaE,238,354.8,0.877,9,9
FC1F,FC1D,235,7.3,0.84,8,9
FS4C,FS4C,235,292.3,0.035,9,9
FC3_c,PFR_b,234,9.5,0.905,9,9
hDeltaL,FS3_b,234,195.5,0.875,12,9
FC1F,FC1C_a,234,2.8,0.875,8,9
hDeltaG,PFR_a,233,198.9,0.909,8,9
FC3_c,PFGs,232,6.4,0.911,9,9
hDeltaL,PFGs,231,195.8,0.95,12,9
FC2B,FC2C,228,357.8,0.669,9,9
vDeltaC,FS2,227,2.4,0.82,9,9
hDeltaF,FS1A_b,225,207.6,0.784,6,9
vDeltaL,vDeltaL,224,4.9,0.826,9,9
FS1A_a,FS1A_a,224,338.8,0.081,9,9
FC3_c,vDeltaG,222,7.7,0.855,9,9
vDeltaI_b,FC2B,222,359.3,0.792,9,9
FC3_c,FC1C_b,221,5.7,0.877,9,9
FC1D,FC1A,221,2.8,0.738,9,9
hDeltaJ,vDeltaE,220,195.3,0.895,12,9
vDeltaA_a,vDeltaA_b,220,1.2,0.819,9,9
PFNm_b,hDeltaF,217,326.3,0.862,9,6
FC3_a,vDeltaI_b,217,4.1,0.86,9,9
FC2A,FS1A_b,217,353.1,0.926,9,9
FC2A,FS1B_a,217,357.7,0.913,9,9
vDeltaJ,hDeltaH,216,348.3,0.629,8,8
PFNm_a,hDeltaJ,216,347.1,0.914,9,12
hDeltaA,hDeltaJ,216,186.6,0.645,12,12
FS4A,FS4B,216,354.8,0.187,9,9
hDeltaC,PFGs,215,198.8,0.887,12,9
FC3_c,FC3_b,214,357.5,0.875,9,9
vDeltaE,PFGs,213,359.8,0.88,9,9
vDeltaG,hDeltaG,212,333.4,0.786,9,8
PFR_a,FC2A,212,4.9,0.913,9,9
hDeltaB,FS3_a,211,198.8,0.957,12,9
vDeltaH,FR1,211,337.3,0.811,7,9
vDeltaI_a,FC2B,211,354.3,0.825,9,9
vDeltaF,hDeltaM,208,183.7,0.247,9,8
FC1E,FC1E,207,2.5,0.408,9,9
FC3_a,hDeltaC,205,339.5,0.736,9,12
hDeltaA,vDeltaK,204,194.5,0.516,12,9
hDeltaM,hDeltaA,203,188.4,0.782,8,12
hDeltaM,hDeltaC,203,188.1,0.942,8,12
hDeltaC,vDeltaG,203,199.3,0.908,12,9
FC2B,FS1B_b,203,0.7,0.914,9,9
vDeltaJ,PFL2,202,4.8,0.9,8,9
PFR_a,hDeltaC,202,215.8,0.035,9,12
vDeltaD,FC2C,202,2.0,0.849,9,9
FC2C,FC2B,201,4.4,0.639,9,9
FC3_c,FC3_a,200,2.3,0.883,9,9
PFNm_a,vDeltaB,200,354.1,0.891,9,9
PFR_a,PFNd,200,337.3,0.924,9,8
hDeltaM,FS1A_b,199,203.6,0.924,8,9
vDeltaB,hDeltaF,197,330.0,0.723,9,6
vDeltaG,FR1,197,359.9,0.826,9,9
hDeltaL,hDeltaF,196,165.1,0.618,12,6
PFNd,vDeltaL,196,19.0,0.895,8,9
hDeltaB,PFL1,195,198.9,0.891,12,9
vDeltaE,FC2C,195,2.1,0.811,9,9
vDeltaB,vDeltaC,195,0.3,0.8,9,9
hDeltaB,FS3_d,194,195.8,0.952,12,9
vDeltaJ,vDeltaI_b,194,0.1,0.82,8,9
FC1C_b,FC1E,194,353.2,0.529,9,9
PFR_a,vDeltaK,194,1.4,0.925,9,9
PFNd,hDeltaH,193,182.5,0.831,8,8
hDeltaG,FS1A_b,192,202.0,0.873,8,9
hDeltaF,FC2B,191,203.5,0.832,6,9
hDeltaH,PFR_b,191,205.3,0.889,8,9
FC1B,FR1,189,3.0,0.877,9,9
vDeltaJ,PFL3,188,4.5,0.899,8,9
hDeltaD,hDeltaF,187,175.3,0.857,8,6
vDeltaG,FS2,187,351.0,0.88,9,9
hDeltaB,FS3_c,185,193.6,0.944,12,8
FC1B,FC1F,185,354.6,0.808,9,8
hDeltaC,PFR_a,183,195.3,0.93,12,9
vDeltaL,vDeltaI_b,183,359.6,0.896,9,9
FS4B,FS4B,182,1.0,0.082,9,9
hDeltaG,PFL2,180,197.9,0.874,8,9
hDeltaA,FS1B_a,180,194.5,0.919,12,9
vDeltaI_b,FR1,178,5.5,0.846,9,9
PFR_a,hDeltaK,177,343.7,0.326,9,12
FC1A,FC3_a,176,358.5,0.852,9,9
FC1A,FC1F,176,0.7,0.843,9,8
FC3_b,FC3_b,175,358.7,0.907,9,9
vDeltaH,FC2B,175,338.0,0.753,7,9
PFR_a,FS2,175,2.1,0.915,9,9
PFR_b,hDeltaJ,175,347.9,0.474,9,12
PFNa,FR1,174,357.0,0.92,9,9
PFR_a,FC3_a,173,1.7,0.943,9,9
FS1A_b,FS1A_a,173,21.0,0.063,9,9
hDeltaH,hDeltaH,172,178.0,0.962,8,8
FC1A,FR2,172,356.1,0.85,9,9
FC1C_b,FC1C_b,172,354.7,0.187,9,9
hDeltaL,FS4C,171,199.6,0.906,12,9
