type_pre,type_post,weight,edge_rows
PFNv,PFL3,5,5
ER3d_a,ER5,5,5
ER3d_d,ER2_c,5,5
ER3d_c,ER3a_b,5,5
ER3d_e,ER4d,5,5
PFNv,hDeltaF,5,5
ER3w_b,ER2_d,5,5
ER2_c,PEG,5,5
PFNm_a,PEN_a(PEN1),5,5
hDeltaK,hDeltaG,5,5
hDeltaL,PFR_a,5,5
hDeltaK,hDeltaB,5,5
FC2A,FC1A,5,5
hDeltaJ,FC1F,5,5
FC2A,hDeltaB,5,5
FC3_b,Delta7,5,5
PEG,ER2_a,5,5
PFNm_b,PEN_a(PEN1),5,5
PFR_b,PFNp_b,5,5
FC1C_a,hDeltaB,5,5
ER2_a,ER3w_b,5,5
PFR_b,FC1C_b,5,5
FC,FC1D,5,5
PFR_b,PEN_b(PEN2),5,5
ER1_a,ER3w_c,5,5
hDeltaM,PFGs,5,5
FC1C_a,hDeltaJ,5,5
EPG,hDeltaJ,5,5
ER3w_c,ER3a_c,5,5
ER2_b,ER3p_a,5,5
PFNm_b,Delta7,5,5
PFL1,PFNa,5,5
PEN_a(PEN1),PFNv,5,5
PFL2,PFL1,5,5
EPG,ER3a_a,5,5
PFNm_b,PFL3,4,2
ER3p_b,ER4d,4,2
ER3a_d,ER3d_d,4,2
hDeltaF,FC,4,2
PFL1,FC1E,4,3
PFL1,FC1A,4,3
PFL3,hDeltaH,4,3
PFL1,hDeltaB,4,3
EPG,PFNp_d,4,3
PEG,hDeltaA,4,2
PFNp_b,FC3_b,4,3
FC2A,EPG,4,3
PFL1,hDeltaI,4,2
FC,FC1B,4,3
PFL3,ER3p_a,4,3
FC2A,PFGs,4,3
hDeltaG,PFNd,4,3
hDeltaM,FC1D,4,3
hDeltaD,FC2B,4,2
FC2B,hDeltaF,4,3
PEN_b(PEN2),PFNp_d,4,3
ER2_b,ER4d,4,3
ER3m,ER1_c,4,3
FC1A,hDeltaL,4,3
FC,PFL3,4,3
PEG,ER3d_e,4,3
ER4d,ER3w_a,4,2
hDeltaB,PFNv,4,3
ER3d_e,ER4m,4,3
PFNd,PFL2,4,3
FC1F,EPG,4,3
ER3d_b,ER3w_c,4,4
ER3d_d,ER3p_a,4,4
ER3d_d,ER3a_d,4,4
PFNv,FC1C_b,4,4
PFGs,PFNm_b,4,4
ER3d_c,ER3w_c,4,4
FC3_a,Delta7,4,4
EL,hDeltaL,4,4
PFNp_c,PFNd,4,4
FC1E,PFNv,4,4
EL,FC2C,4,4
PFNd,hDeltaL,4,4
hDeltaB,FC1C_a,4,4
FC2C,PFNp_a,4,4
PFGs,FC1C_a,4,4
ER3a_a,ER1_b,4,4
PFNd,PEG,4,4
ER3a_c,ER3w_b,4,4
hDeltaJ,PEG,4,4
ER3d_b,ER3w_b,4,4
hDeltaF,FC3_a,4,4
FC1E,hDeltaB,4,4
FC2A,ER1_b,4,4
FC1C_b,hDeltaB,4,4
PFR_a,PFNp_d,4,4
FC1C_b,hDeltaL,4,4
ER3a_a,ER2_d,4,4
ER1_c,ER3w_b,4,4
FC2A,FC3_c,4,4
FC2C,PFNd,4,4
ER3a_d,ER2_c,4,4
hDeltaC,PEN_b(PEN2),4,4
PFR_b,FC1D,4,4
ER3d_a,ER3a_d,4,4
ER1_a,ER2_d,4,4
PEN_a(PEN1),PFNm_b,4,4
PFL3,PFGs,4,4
PFL3,FC2B,4,4
PFNp_e,PFNd,4,4
FC1C_a,hDeltaI,4,4
FC1C_a,PFGs,4,4
ER3w_c,ER3p_b,4,4
PFR_a,FC1A,4,4
FC1A,PFR_b,4,4
PFL3,hDeltaJ,4,4
ER3w_c,ER3m,4,4
FC1E,hDeltaM,4,4
FC3_b,hDeltaL,4,4
PEN_a(PEN1),ER2_d,4,4
ER2_c,ER3a_d,4,4
PFNp_b,PEN_b(PEN2),4,4
PFL1,FC1F,4,4
PFL1,ER3a_b,4,4
PFNp_b,PEN_a(PEN1),4,4
EPG,FC3_b,4,4
PFL3,PFR_b,4,4
PFNp_d,PFNv,4,4
ER4m,ER6,4,4
PFL2,PFNp_a,4,4
PFL1,PFR_b,4,4
PFL2,hDeltaA,4,4
ER3w_a,ER5,3,1
FC,hDeltaG,3,1
PFNp_c,hDeltaL,3,1
Delta7,FC3_a,3,1
PFNm_a,PFL1,3,1
PFNd,FC1C_b,3,2
PFR_b,PFNm_b,3,2
PEN_b(PEN2),hDeltaC,3,2
PFL1,FC3_a,3,2
PFL1,FC3_b,3,2
ER3d_d,ER5,3,2
hDeltaG,PEG,3,2
hDeltaA,FC1B,3,2
PFGs,FC1C_b,3,2
hDeltaH,FC,3,2
ER2_b,ER3a_b,3,2
EPG,FC2A,3,2
EPG,FC1D,3,2
EPG,FC3_c,3,2
ER3w_c,ER2_c,3,2
hDeltaH,hDeltaL,3,2
ER3a_a,ER3p_b,3,2
hDeltaM,FC,3,2
PFNp_b,hDeltaL,3,2
PFNp_a,PEG,3,2
PFNp_d,PFNd,3,2
FC,hDeltaA,3,2
FC1C_a,PFR_a,3,2
hDeltaG,FC1C_a,3,2
ER5,ER6,3,2
FC1B,PFNp_b,3,2
ER3d_e,ER3w_c,3,2
ER2_c,ER3w_c,3,2
hDeltaJ,PEN_a(PEN1),3,2
PFGs,hDeltaM,3,2
PEG,ER3w_c,3,2
PFNd,PFNm_b,3,2
PEN_b(PEN2),FC1D,3,2
PFNd,hDeltaD,3,2
PFL1,hDeltaM,3,2
ER3a_d,ER1_a,3,2
FC1D,PFNv,3,2
FC1C_a,EPG,3,2
ER1_c,ER3a_c,3,2
ER3a_d,ER3d_b,3,2
FC1B,PEG,3,2
ER3d_b,PEG,3,2
hDeltaA,FC1D,3,2
PFNv,FC,3,3
FC2A,PFNp_c,3,3
EL,PFNd,3,3
PEG,PFR_b,3,3
PEG,PFL1,3,3
FC2A,PFNa,3,3
hDeltaJ,hDeltaF,3,3
EL,FC3_b,3,3
ER3d_c,ER4d,3,3
FC1D,hDeltaL,3,3
ER3d_b,ER4m,3,3
PFGs,FC2B,3,3
ER4d,ER3p_a,3,3
FC1E,EPG,3,3
PFNm_a,Delta7,3,3
FC2C,PFNp_e,3,3
hDeltaL,PFL1,3,3
PFNd,EL,3,3
FC3_a,hDeltaF,3,3
PFR_a,ER3a_b,3,3
hDeltaK,hDeltaI,3,3
FC2A,FC1B,3,3
ER5,ER2_b,3,3
PEG,ER2_c,3,3
PEG,ER4d,3,3
FC2A,FC1F,3,3
PFNd,hDeltaF,3,3
ER3m,ER4d,3,3
FC1D,PFR_a,3,3
FC1D,EPG,3,3
PFR_b,PFNp_e,3,3
ER3d_e,ER3w_b,3,3
FC1C_b,PFL2,3,3
ER1_b,ER3p_a,3,3
FC1C_b,PFR_a,3,3
ER3a_b,ER2_d,3,3
FC1D,PFGs,3,3
FC1C_a,PFL3,3,3
PFGs,PFNp_b,3,3
PFGs,PFNa,3,3
PFNd,PFNp_a,3,3
PFL3,hDeltaB,3,3
FC1B,hDeltaL,3,3
PEN_a(PEN1),PFNp_e,3,3
PFNa,PFNp_d,3,3
ER4d,ER3a_b,3,3
ER4d,ER3d_c,3,3
PFR_a,EPGt,3,3
FC1C_b,PFNd,3,3
PFR_b,FC1E,3,3
PFR_b,PFNa,3,3
FC,hDeltaJ,3,3
PFR_a,PFNv,3,3
ER1_c,ER3p_a,3,3
hDeltaB,FC1C_b,3,3
PFR_b,FC1B,3,3
PFNp_e,PFNv,3,3
PEN_a(PEN1),hDeltaJ,3,3
PEN_b(PEN2),PFNp_a,3,3
hDeltaM,FC1C_b,3,3
PFL3,hDeltaM,3,3
PEG,ER5,3,3
PFNa,PFNp_a,3,3
FC,FC2B,3,3
FC,FC3_b,3,3
PFGs,FC2A,3,3
FC2B,FC1C_b,3,3
hDeltaJ,FC1A,3,3
ER3d_c,ER3a_d,3,3
ER3w_b,ER3d_e,3,3
ER3w_b,ER5,3,3
FC1F,hDeltaB,3,3
ER3a_a,ER3p_a,3,3
FC2C,hDeltaD,3,3
ER2_a,ER3p_b,3,3
hDeltaM,EPG,3,3
hDeltaH,FC1C_b,3,3
hDeltaH,PFL1,3,3
FC1C_b,EPG,3,3
PFL1,PFL2,3,3
EPG,hDeltaM,3,3
Delta7,hDeltaI,3,3
ER2_b,ER3d_d,3,3
ER6,ER3a_a,3,3
PFL2,hDeltaJ,3,3
EPG,hDeltaH,3,3
PFL2,Delta7,3,3
PFL1,FC2C,3,3
PFL1,PFNp_c,3,3
PFL2,FC2A,3,3
PFL2,EPG,3,3
ER3d_c,PEG,2,1
ER6,PFR_a,2,1
ER6,ER2_c,2,1
ER3p_a,ER4d,2,1
ER6,ER3m,2,1
PFNp_e,FC3_a,2,1
PFNp_d,FC1A,2,1
PFNp_d,PFL1,2,1
PFNp_a,FC,2,1
PEN_a(PEN1),ER3d_c,2,1
PFL1,ER4m,2,1
hDeltaG,FC,2,1
hDeltaL,hDeltaM,2,1
hDeltaD,PFL1,2,1
hDeltaD,hDeltaH,2,1
FC1F,PEG,2,1
ER4d,ER6,2,1
PFR_b,PEN_a(PEN1),2,1
PEN_b(PEN2),hDeltaI,2,1
hDeltaJ,PEN_b(PEN2),2,1
hDeltaK,PFNm_b,2,1
PFNv,EL,2,1
PFR_b,PFNm_a,2,1
PFGs,hDeltaD,2,1
PFGs,ER3a_d,2,1
FC2A,PFNm_b,2,1
ER3p_a,ER3a_a,2,1
hDeltaL,FC1C_a,2,1
PFNp_c,PEN_b(PEN2),2,1
ER3w_b,ER1_c,2,2
ER3w_a,ER4d,2,2
ER3w_a,PEN_a(PEN1),2,2
PEG,hDeltaH,2,2
PEG,PFNa,2,2
PFNp_c,Delta7,2,2
hDeltaF,hDeltaJ,2,2
ER5,ER3d_d,2,2
FC1D,hDeltaG,2,2
FC1D,hDeltaB,2,2
hDeltaG,hDeltaD,2,2
PFNv,FC1A,2,2
PFGs,FC1B,2,2
ER3d_d,ER4d,2,2
PFNv,FC1C_a,2,2
PFNm_a,FC1D,2,2
EL,FC2B,2,2
PFNd,FC1C_a,2,2
FC1E,PFR_a,2,2
hDeltaB,FC1F,2,2
FC2C,PFNp_d,2,2
FC3_a,PEG,2,2
hDeltaG,hDeltaI,2,2
FC1A,EPG,2,2
FC1A,hDeltaB,2,2
ER3a_a,ER4m,2,2
hDeltaK,PFNp_c,2,2
ER3a_c,ER3w_c,2,2
FC1D,PEG,2,2
ER3p_a,ER2_d,2,2
hDeltaJ,EPG,2,2
hDeltaD,hDeltaC,2,2
hDeltaK,FC2B,2,2
hDeltaK,PFNp_e,2,2
hDeltaK,PEN_a(PEN1),2,2
ER3d_b,ER2_c,2,2
PEN_b(PEN2),PFNp_e,2,2
PEN_b(PEN2),PFNm_b,2,2
PFL1,FC1C_b,2,2
ER3a_a,ER1_c,2,2
hDeltaC,hDeltaA,2,2
hDeltaC,EL,2,2
EPGt,FC3_c,2,2
EPGt,FC1E,2,2
EPGt,hDeltaB,2,2
hDeltaC,PFL1,2,2
PFGs,ER6,2,2
EL,hDeltaC,2,2
EL,hDeltaI,2,2
PFR_a,ER5,2,2
FC3_c,PFNm_b,2,2
ER3a_d,ER3d_a,2,2
hDeltaJ,PFNp_c,2,2
FC1A,PFGs,2,2
ER1_b,ER3p_b,2,2
EL,FC3_a,2,2
FC3_b,PFNm_b,2,2
PFNa,PFR_b,2,2
hDeltaK,PFL3,2,2
PFL3,FC3_a,2,2
FC1C_a,hDeltaG,2,2
PEN_a(PEN1),PFNm_a,2,2
hDeltaL,FC3_a,2,2
hDeltaL,hDeltaJ,2,2
hDeltaA,FC1F,2,2
ER3a_b,ER1_b,2,2
FC,FC1A,2,2
FC,hDeltaC,2,2
FC,PFL2,2,2
hDeltaC,PFNa,2,2
hDeltaC,FC1C_a,2,2
hDeltaC,PFNp_a,2,2
PFR_b,EL,2,2
FC2A,PFNp_e,2,2
hDeltaB,PFNa,2,2
PFNp_e,PEN_b(PEN2),2,2
PFR_a,PFNp_b,2,2
hDeltaD,PFNd,2,2
ER3d_a,ER3w_b,2,2
ER3d_a,ER3w_c,2,2
ER1_a,ER3a_a,2,2
ER1_a,ER3d_e,2,2
PFNa,PEN_a(PEN1),2,2
PFL1,hDeltaJ,2,2
PEN_b(PEN2),hDeltaJ,2,2
PEN_b(PEN2),hDeltaB,2,2
PFNm_a,hDeltaD,2,2
hDeltaM,FC3_c,2,2
PFR_b,FC,2,2
PFR_b,FC1A,2,2
PFR_b,EPGt,2,2
EL,FC2A,2,2
hDeltaK,PFNm_a,2,2
hDeltaK,PFNv,2,2
PEG,ER3d_b,2,2
PEG,ER1_c,2,2
FC1C_a,PFNv,2,2
PFNa,PEN_b(PEN2),2,2
FC,PFNa,2,2
PFGs,PFNp_c,2,2
PFGs,EPGt,2,2
EPG,hDeltaA,2,2
ER3p_a,ER2_a,2,2
hDeltaK,FC3_c,2,2
ER2_b,PEG,2,2
ER3w_b,ER3d_b,2,2
ER4d,ER3p_b,2,2
hDeltaK,PFNp_b,2,2
PFNm_b,PEN_b(PEN2),2,2
hDeltaC,PFNp_b,2,2
PFGs,ER3a_b,2,2
FC3_b,PEG,2,2
hDeltaM,FC1B,2,2
hDeltaH,PFNp_b,2,2
ER2_a,ER1_a,2,2
PFNm_b,FC1B,2,2
ER2_d,ER3a_b,2,2
hDeltaA,hDeltaG,2,2
PFNp_c,PEN_a(PEN1),2,2
ER2_c,ER3d_b,2,2
ER2_c,hDeltaK,2,2
ER4d,ER3w_b,2,2
hDeltaB,PFNp_a,2,2
FC1C_a,hDeltaM,2,2
PFL1,hDeltaF,2,2
ER3m,PEN_a(PEN1),2,2
PFNp_a,PEN_b(PEN2),2,2
PFL1,hDeltaA,2,2
PFL1,hDeltaK,2,2
PEN_a(PEN1),ER3m,2,2
PFL3,EL,2,2
PFNp_d,PEN_b(PEN2),2,2
PFNp_d,hDeltaJ,2,2
hDeltaM,ER3w_b,2,2
ER2_d,PEN_a(PEN1),2,2
PFNp_d,hDeltaL,2,2
ER5,ER3w_b,2,2
PFR_a,hDeltaF,2,2
ER6,ER4d,2,2
EPG,ER3a_d,2,2
hDeltaH,FC1F,2,2
hDeltaI,Delta7,2,2
hDeltaH,PFNd,2,2
hDeltaA,FC3_c,2,2
hDeltaH,hDeltaF,2,2
EPG,hDeltaC,2,2
ER3a_d,ER2_d,2,2
ER4m,ER3m,2,2
PFL1,PFNd,2,2
PFL1,ER3a_c,2,2
PFL1,EL,2,2
PFL1,FC1D,2,2
ER5,ER3w_a,2,2
hDeltaK,EPG,2,2
PFR_a,PEN_a(PEN1),2,2
PFL2,ER4m,2,2
ER3w_b,PEG,1,1
PEG,hDeltaM,1,1
PEG,PFNv,1,1
ER3d_a,ER3p_a,1,1
ER3p_a,ER4m,1,1
ER3p_b,ER3d_d,1,1
ER3p_a,ER3d_a,1,1
ER3d_c,ER3p_a,1,1
FC1D,EPGt,1,1
hDeltaL,hDeltaA,1,1
ER3m,PFGs,1,1
ER3d_d,ER1_a,1,1
ER3p_b,ER3a_b,1,1
hDeltaG,EPG,1,1
ER4d,PFR_a,1,1
ER3d_a,ER1_b,1,1
PFNm_a,FC1B,1,1
ER3d_d,PFL3,1,1
FC3_a,EPGt,1,1
PFGs,FC1F,1,1
hDeltaG,FC1F,1,1
FC1A,PEG,1,1
hDeltaL,PEN_a(PEN1),1,1
FC3_b,hDeltaF,1,1
ER3a_c,PFL3,1,1
ER3p_b,ER1_c,1,1
ER3p_b,ER3a_d,1,1
PFR_a,ER3a_c,1,1
PFNp_c,hDeltaH,1,1
FC1A,PEN_b(PEN2),1,1
hDeltaA,FC1E,1,1
hDeltaD,hDeltaG,1,1
FC2B,PFNv,1,1
PEN_b(PEN2),PFNm_a,1,1
hDeltaF,FC1B,1,1
FC1D,EL,1,1
PEG,PFNd,1,1
PEG,PFNp_a,1,1
PEG,FC3_b,1,1
hDeltaE,EL,1,1
hDeltaE,EPG,1,1
ER3a_a,PFGs,1,1
ER3p_a,ER2_c,1,1
FC1B,hDeltaK,1,1
PFR_a,ER1_b,1,1
EPGt,FC1C_a,1,1
FC2C,EPGt,1,1
FC3_c,EPG,1,1
FC3_b,PFNp_c,1,1
FC1B,PEN_a(PEN1),1,1
EL,hDeltaE,1,1
ER3d_a,PEG,1,1
PFNm_a,hDeltaI,1,1
hDeltaJ,PFNm_a,1,1
FC1A,hDeltaK,1,1
ER3d_e,ER5,1,1
FC1D,hDeltaF,1,1
EL,FC1F,1,1
FC3_c,EL,1,1
ER1_b,PFL1,1,1
ER1_b,ER4m,1,1
FC1C_a,hDeltaL,1,1
FC1C_a,hDeltaC,1,1
ER3a_b,PFL1,1,1
ER3d_c,ER3p_b,1,1
FC1D,ER1_b,1,1
FC1D,hDeltaD,1,1
PFGs,FC1D,1,1
PFNm_a,FC3_a,1,1
PFNp_e,FC3_b,1,1
PFL3,FC1A,1,1
ER3a_b,PFL3,1,1
hDeltaL,EPG,1,1
ER1_b,ER3a_c,1,1
ER3a_a,ER6,1,1
hDeltaD,hDeltaJ,1,1
hDeltaD,hDeltaK,1,1
ER3a_b,ER1_c,1,1
FC1E,PFGs,1,1
PFNp_c,hDeltaM,1,1
FC,PFNd,1,1
FC,hDeltaH,1,1
FC,FC3_c,1,1
FC,EPG,1,1
PFR_a,hDeltaD,1,1
FC1F,EPGt,1,1
PFNa,PFR_a,1,1
hDeltaJ,hDeltaD,1,1
hDeltaJ,EPGt,1,1
PFNd,PFNp_b,1,1
PFNv,hDeltaD,1,1
FC1C_b,hDeltaF,1,1
FC2A,hDeltaG,1,1
ER1_c,ER3m,1,1
ER1_a,PFL1,1,1
PEN_b(PEN2),hDeltaG,1,1
ER3a_d,ER4m,1,1
hDeltaE,Delta7,1,1
PFNa,PEG,1,1
ER3d_d,ER3p_b,1,1
ER3d_d,ER1_b,1,1
hDeltaJ,PFNa,1,1
PFNm_a,FC1A,1,1
PEN_a(PEN1),hDeltaC,1,1
ER3m,PFL2,1,1
PEN_b(PEN2),FC2A,1,1
hDeltaL,PFNd,1,1
hDeltaL,hDeltaD,1,1
hDeltaL,hDeltaB,1,1
ER3d_b,ER1_c,1,1
PFNm_a,FC3_b,1,1
ER3a_b,ER3p_b,1,1
ER3a_b,ER3w_b,1,1
ER3a_b,ER3w_a,1,1
PEG,ER3d_c,1,1
PEG,ER3a_d,1,1
PEG,ER3a_a,1,1
FC1C_a,PFL2,1,1
FC,PFR_b,1,1
FC,PFGs,1,1
FC,hDeltaI,1,1
hDeltaI,PFNa,1,1
FC1C_b,PFNp_b,1,1
FC1C_b,hDeltaK,1,1
ER3d_b,ER3a_d,1,1
PFGs,FC1A,1,1
hDeltaE,PFL3,1,1
hDeltaG,EL,1,1
PFNp_c,FC3_c,1,1
ER3d_d,ER2_b,1,1
ER3w_b,hDeltaM,1,1
PFNd,PFNp_d,1,1
ER3d_c,ER1_a,1,1
ER3d_d,ER4m,1,1
FC2B,EL,1,1
PFNv,hDeltaE,1,1
hDeltaB,PFNm_b,1,1
FC1C_a,PEG,1,1
ER3w_c,PEG,1,1
ER3a_a,PEG,1,1
PEG,hDeltaB,1,1
PEG,FC2C,1,1
hDeltaK,hDeltaA,1,1
ER2_b,ER5,1,1
PEN_a(PEN1),PFL2,1,1
ER3w_c,ER1_b,1,1
ER3w_c,ER3d_a,1,1
hDeltaH,PEG,1,1
hDeltaK,PFR_a,1,1
hDeltaK,PFNp_d,1,1
hDeltaK,hDeltaM,1,1
hDeltaK,PEN_b(PEN2),1,1
FC1F,hDeltaK,1,1
hDeltaF,hDeltaD,1,1
ER3w_a,ER3a_a,1,1
EPG,FC1C_b,1,1
PFGs,ER3d_b,1,1
PEN_b(PEN2),FC1A,1,1
FC1E,hDeltaK,1,1
hDeltaC,FC,1,1
ER4d,ER3d_d,1,1
PFL3,FC,1,1
FC1F,hDeltaL,1,1
hDeltaK,PFNa,1,1
hDeltaM,PFNd,1,1
PFNp_e,PFL1,1,1
hDeltaH,hDeltaE,1,1
hDeltaH,FC1E,1,1
hDeltaM,FC1A,1,1
hDeltaM,PFNp_a,1,1
hDeltaM,FC1F,1,1
hDeltaM,hDeltaF,1,1
ER5,ER3d_e,1,1
FC1D,PFNm_b,1,1
ER3d_e,PEG,1,1
ER2_a,hDeltaK,1,1
PFNp_e,EPG,1,1
ER2_c,ER3w_b,1,1
ER2_a,hDeltaM,1,1
hDeltaE,PFR_a,1,1
PEN_a(PEN1),FC3_b,1,1
PEN_a(PEN1),hDeltaD,1,1
FC1F,hDeltaF,1,1
hDeltaL,hDeltaH,1,1
FC1C_b,PFNv,1,1
ER2_d,ER1_a,1,1
FC2A,EL,1,1
FC2B,PFNa,1,1
hDeltaG,FC1E,1,1
hDeltaG,PFL1,1,1
PFNm_b,PEG,1,1
PFL2,hDeltaF,1,1
hDeltaI,EL,1,1
ER2_c,ER1_b,1,1
PFGs,PFNp_a,1,1
PFNa,PFGs,1,1
PFGs,hDeltaA,1,1
PFGs,PFL1,1,1
PFNm_b,PFL2,1,1
FC1C_b,PEG,1,1
PFL1,hDeltaD,1,1
PFL1,hDeltaH,1,1
ER3m,ER4m,1,1
EPG,hDeltaE,1,1
FC2C,PEG,1,1
PEN_b(PEN2),FC2C,1,1
PEN_b(PEN2),PFL2,1,1
PFNm_b,hDeltaK,1,1
FC,hDeltaB,1,1
FC,FC1F,1,1
PFL1,PFGs,1,1
PFR_a,ER1_c,1,1
PFR_a,ER1_a,1,1
PFNp_b,hDeltaK,1,1
PFNp_a,PFL1,1,1
ER3w_b,PEN_a(PEN1),1,1
PFNp_d,hDeltaC,1,1
PFNp_b,hDeltaE,1,1
PFL3,ER3d_d,1,1
PFL3,ER3d_c,1,1
PFNp_b,PEG,1,1
hDeltaM,ER1_b,1,1
hDeltaM,ER3w_c,1,1
PFNp_b,FC3_a,1,1
hDeltaB,PEN_a(PEN1),1,1
PFNp_d,EPG,1,1
PFNp_d,hDeltaK,1,1
PFNp_d,PFR_b,1,1
PFNp_d,hDeltaG,1,1
PFNp_d,PEN_a(PEN1),1,1
PFNp_c,hDeltaB,1,1
hDeltaL,PFNm_b,1,1
ER6,ER3w_b,1,1
PFL3,Delta7,1,1
PFNp_d,hDeltaH,1,1
ER5,ER2_d,1,1
ER4m,ER3a_a,1,1
PFL2,FC1A,1,1
PFL2,hDeltaD,1,1
PFR_a,PFNp_e,1,1
PFR_a,PFNa,1,1
ER1_c,ER3p_b,1,1
ER3a_a,PFL2,1,1
ER3a_a,PFL3,1,1
Delta7,hDeltaG,1,1
PFL3,PFNp_c,1,1
PFL2,FC2C,1,1
PFL3,FC3_c,1,1
ER4m,PFL3,1,1
PFR_a,PEN_b(PEN2),1,1
ER4d,ER2_b,1,1
ER2_b,ER3a_a,1,1
EPG,FC1B,1,1
ER3p_b,ER5,1,1
hDeltaA,FC1A,1,1
hDeltaA,EPGt,1,1
PEG,hDeltaL,1,1
PEG,hDeltaD,1,1
hDeltaB,PFNp_c,1,1
EPG,hDeltaF,1,1
ER4m,ER3d_d,1,1
ER3p_a,ER3d_c,1,1
FC3_c,hDeltaE,1,1
Delta7,FC3_b,1,1
hDeltaM,FC3_a,1,1
EL,FC1E,1,1
PFL3,hDeltaK,1,1
FC1B,EL,1,1
FC2A,hDeltaL,1,1
PFNa,hDeltaA,1,1
ER3a_d,PEG,1,1
ER3a_d,ER3p_a,1,1
PFL1,PEN_a(PEN1),1,1
PFL1,FC3_c,1,1
PFL1,FC1B,1,1
PFL1,hDeltaL,1,1
PFL3,PFNp_b,1,1
FC2B,PFNd,1,1
EL,FC1A,1,1
EL,PFNp_a,1,1
PFL2,hDeltaG,1,1
PFL2,hDeltaC,1,1
PFL2,FC3_b,1,1
PFL1,PFNp_b,1,1
PFL1,FC1C_a,1,1
ER5,ER3d_a,1,1
PFR_b,PFNp_a,1,1
hDeltaC,PFNp_d,1,1
PEN_a(PEN1),FC2C,1,1
PEN_a(PEN1),PFNp_d,1,1
ER6,ER3d_b,1,1
ER6,ER3d_d,1,1
ER6,PFL2,1,1
PEG,ER2_b,1,1
PFL1,FC,1,1
ER3w_a,PEG,1,1
ER3w_a,ER1_c,1,1
ER1_b,hDeltaK,1,1
ER1_b,FC3_b,1,1
ER1_b,ER3a_a,1,1
ER2_d,hDeltaK,1,1
PEG,FC2B,1,1
ER5,PFL1,1,1
hDeltaI,PEG,1,1
ER3d_d,ER3w_b,1,1
FC2A,EPGt,1,1
FC2A,PEG,1,1
ER3a_a,ER3w_a,1,1
ER3a_a,ER2_b,1,1
hDeltaF,PFL1,1,1
FC1B,EPG,1,1
FC2C,PEN_b(PEN2),1,1
EPGt,ER3a_b,1,1
EPGt,ER3p_a,1,1
EPGt,hDeltaK,1,1
EPGt,FC2C,1,1
EPGt,FC1D,1,1
ER3a_c,ER4m,1,1
ER3a_c,ER1_c,1,1
ER4m,ER1_a,1,1
hDeltaK,Delta7,1,1
ER5,ER1_b,1,1
PEN_a(PEN1),PFL3,1,1
PFL2,PFR_b,1,1
