bodyId,type,instance,class,superclass,somaSide,rootSide,status,hemibrainType,flywireType
150676,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
151641,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
151739,FC2C,FC2C_C2_R,CX,cb_intrinsic,R,,Traced,FC2C,FC2C
151820,FC1C_a,FC1C_a_C3_R,CX,cb_intrinsic,R,,Traced,FC1C,FC1C
152346,FC1E,FC1E_C7_L,CX,cb_intrinsic,L,,Traced,FC1E,FC1C
152649,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
153318,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
153367,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
153375,PFNm_b,PFNm_b_L5_C4,CX,cb_intrinsic,L,,Traced,PFNm_b,PFNm
153441,FC2C,FC2C_C5_L,CX,cb_intrinsic,L,,Traced,FC2C,FC2C
153543,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
153558,FC2C,FC2C_C5_R,CX,cb_intrinsic,R,,Traced,FC2C,FC2C
154239,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
154748,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
154955,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
155238,PFNm_a,PFNm_a_L4_C3,CX,cb_intrinsic,L,,Traced,PFNm_a,PFNm
155307,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
155385,PFNm_a,PFNm_a_L6_C5,CX,cb_intrinsic,L,,Traced,PFNm_a,PFNm
155872,FC1D,FC1D_C3_L,CX,cb_intrinsic,L,,Traced,FC1D,FC1D
155930,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
156116,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
156581,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
156696,PFNm_b,PFNm_b_R4_C7,CX,cb_intrinsic,R,,Traced,PFNm_b,PFNm
156699,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
156843,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
157170,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
157747,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
158003,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
158363,FC,FC1C(?)_C8_L,CX,cb_intrinsic,L,,Traced,,
158417,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
158552,PFNp_e,PFNp_e,CX,cb_intrinsic,L,,Traced,PFNp_e,PFNp
158596,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
158958,PFNp_d,PFNp_d,CX,cb_intrinsic,R,,Traced,PFNp_d,PFNp
159635,PFNp_c,PFNp_c,CX,cb_intrinsic,L,,Traced,PFNp_c,PFNp
159766,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
159950,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
160445,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
160503,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
160829,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
161028,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
162006,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
162170,PFNp_d,PFNp_d,CX,cb_intrinsic,R,,Traced,PFNp_d,PFNp
162458,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
162861,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
162882,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
162917,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
163253,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
163633,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
163748,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
163832,PFNm_b,PFNm_b_R6_C5,CX,cb_intrinsic,R,,Traced,PFNm_b,PFNm
164057,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
164158,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
164224,PFNm_a,PFNm_a_L9_C9,CX,cb_intrinsic,L,,Traced,PFNm_a,PFNm
164248,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
164318,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
164808,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
165145,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
165700,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
165774,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
