intermediate_body,intermediate_type,intermediate_superclass,pfl3_input,pfl2_input,pfl1_input,dn_body,dn_type,dn_instance,weight
10606,LAL125,cb_intrinsic,74,0,0,10924,DNa04,DNa04(PS015)_R,16
11673,PFL2,cb_intrinsic,5,34,0,10411,DNb09,DNb09(DNb01)_R,16
10110,OA-VUMa1,cb_intrinsic,9,15,0,519624,DNa03,DNa03_L,16
15563,PS233,cb_intrinsic,2,25,0,10837,DNa15,DNa15(PS017)_R,16
18720,AOTU017,cb_intrinsic,0,0,14,10805,DNb02,DNb02_R,16
16493,LAL113,cb_intrinsic,1,0,0,11625,DNae005,DNae005(VES009)_R,16
11002,DNae002,descending_neuron,145,0,0,14046,DNg42,DNg42_L,16
529568,DNp39,descending_neuron,62,0,0,14048,DNg52,DNg52_L,16
529568,DNp39,descending_neuron,62,0,0,33335,DNpe024,DNpe024(CL325)_L,16
17930,PS215,cb_intrinsic,1,0,0,11770,DNae010,DNae010(PS016)_R,16
42632,LAL061,cb_intrinsic,0,0,4,10249,DNp31,DNp31_L,16
513177,LAL003,cb_intrinsic,8,1,0,523769,DNa02,DNa02_L,16
523636,VES092,cb_intrinsic,0,24,0,11065,DNp14,DNp14(SMP585)_R,16
10041,OA-VUMa1,cb_intrinsic,20,28,0,525960,DNa13,DNa13(LAL041)_L,16
13710,LAL152,cb_intrinsic,0,0,2,11002,DNae002,DNae002(DNa04)_L,16
520366,LAL130,cb_intrinsic,21,7,0,10245,DNp36,DNp36(CL342)_R,16
90885,LAL020,cb_intrinsic,2,0,0,512006,DNg13,DNg13_R,16
557800,LAL021,cb_intrinsic,10,12,0,555726,DNa13,DNa13(LAL041)_L,16
512845,SIP004,cb_intrinsic,3,0,3,523769,DNa02,DNa02_L,16
29836,PFL3,cb_intrinsic,34,2,8,10975,DNa03,DNa03_R,16
39609,LAL060_b,cb_intrinsic,3,0,0,523769,DNa02,DNa02_L,16
11233,DNa11,descending_neuron,0,7,0,10056,DNg100,DNg100_R,15
14076,LAL193,cb_intrinsic,216,1,0,10045,DNg100,DNg100_L,15
11233,DNa11,descending_neuron,0,7,0,12075,DNb08,DNb08(VES083)_R,15
11233,DNa11,descending_neuron,0,7,0,11563,DNae001,DNae001(DNa01)_R,15
13615,DNbe006,descending_neuron,97,0,0,230783,DNg97,DNg97_R,15
519624,DNa03,descending_neuron,251,830,0,531859,DNpe022,DNpe022(PS271)_L,15
519624,DNa03,descending_neuron,251,830,0,28602,DNg01_b,DNg01_b_L,15
142802,LAL035,cb_intrinsic,0,1,1,523769,DNa02,DNa02_L,15
11457,LAL108,cb_intrinsic,26,0,0,13615,DNbe006,DNbe006_R,15
521698,LAL156_a,cb_intrinsic,0,0,34,13891,DNg106,DNg106_R,15
12938,PS011,cb_intrinsic,19,0,0,11610,DNae007,DNae007(VES009)_R,15
530021,PS026,cb_intrinsic,0,2,0,10885,DNg88,DNg88_L,15
530021,PS026,cb_intrinsic,0,2,0,11846,DNp102,DNp102(PS212)_L,15
10138,oviIN,cb_intrinsic,3,1,0,11380,DNp14,DNp14(SMP585)_L,15
515580,SMP472,cb_intrinsic,1,0,0,11380,DNp14,DNp14(SMP585)_L,15
11369,DNc01,descending_neuron,0,1,0,10705,DNc02,DNc02(SIFa)_L,15
536048,DNp27,descending_neuron,0,0,1,520643,DNp46,DNp46(CL206)_L,15
520199,LAL194,cb_intrinsic,60,0,0,800868,DNpe002,DNpe002(VES068)_R,15
10070,AOTU019,cb_intrinsic,1016,1,3,11215,DNp15,DNp15_R,15
10070,AOTU019,cb_intrinsic,1016,1,3,12670,DNg71,DNg71_R,15
10975,DNa03,descending_neuron,217,741,0,516680,DNg64,DNg64_R,15
16735,LAL076,cb_intrinsic,410,762,2,520485,DNpe016,DNpe016(PS211)_R,15
536048,DNp27,descending_neuron,0,0,1,10104,aSP22,aSP22(DNa12)_R,15
519461,LAL018,cb_intrinsic,87,10,0,11876,DNae003,DNae003(PS040)_L,15
42625,LAL021,cb_intrinsic,17,2,0,10192,DNg75,DNg75(hb1874217622)_L,15
10136,PS304,cb_intrinsic,92,0,0,10846,DNge107,DNge107_R,15
10167,VES041,cb_intrinsic,137,113,0,521624,DNpe023,DNpe023(LAL201)_R,15
119161,SMP451,cb_intrinsic,0,0,1,10433,DNp10,DNp10_R,15
10483,PVLP138,cb_intrinsic,0,2,0,11066,DNa13,DNa13(LAL041)_R,15
71967,AOTU001,cb_intrinsic,0,1,0,519460,DNa16,DNa16(PS014)_L,15
18803,PFL3,cb_intrinsic,31,0,2,519624,DNa03,DNa03_L,15
12380,CL333,cb_intrinsic,1,0,0,12628,DNpe042,DNpe042(CL262)_R,15
