intermediate_body,intermediate_type,intermediate_superclass,pfl3_input,pfl2_input,pfl1_input,dn_body,dn_type,dn_instance,weight
802893,DNpe016,descending_neuron,242,0,0,161406,"DNp51,DNpe019","DNp51,DNpe019(PS296)_L",18
519925,LAL040,cb_intrinsic,671,4,0,10805,DNb02,DNb02_R,18
513266,PFL3,cb_intrinsic,29,0,2,11002,DNae002,DNae002(DNa04)_L,18
11012,LAL157,cb_intrinsic,0,0,1,11233,DNa11,DNa11(VES008)_R,18
35591,LAL061,cb_intrinsic,0,0,1,10411,DNb09,DNb09(DNb01)_R,18
18769,SMP501,cb_intrinsic,1,0,0,10823,DNp48,DNp48(SMP462)_R,18
13921,IB021,cb_intrinsic,31,0,2,555472,DNae009,DNae009(PS009)_L,18
72857,LAL060_a,cb_intrinsic,0,0,2,11002,DNae002,DNae002(DNa04)_L,18
13778,PS233,cb_intrinsic,0,1,0,10700,DNpe001,DNpe001(IB111)_L,18
11233,DNa11,descending_neuron,0,7,0,10216,DNge037,DNge037_R,18
11028,DNb09,descending_neuron,17,111,0,15326,DNg109,DNg109_L,18
73255,CB2066,cb_intrinsic,3,0,4,11410,DNpe023,DNpe023(LAL201)_L,18
70595,PS018_b,cb_intrinsic,227,3,0,11814,DNa04,DNa04(PS015)_L,18
10360,DNa02,descending_neuron,380,5,0,10544,DNg88,DNg88_R,18
13615,DNbe006,descending_neuron,97,0,0,15326,DNg109,DNg109_L,18
521978,SMP382,cb_intrinsic,0,0,2,11259,DNp68,DNp68(CL138)_R,18
521624,DNpe023,descending_neuron,1,1,0,13570,DNge063,DNge063_L,18
14774,LT51,visual_projection,19,0,0,524001,DNp05,DNp05_L,18
14774,LT51,visual_projection,19,0,0,802893,DNpe016,DNpe016(PS211)_L,18
516565,PS233,cb_intrinsic,0,16,0,10884,DNa15,DNa15(PS017)_L,18
553194,VES054,cb_intrinsic,797,15,7,13815,DNpe026,DNpe026(CL202)_R,18
511797,LoVC11,visual_centrifugal,1,346,0,10834,DNpe013,DNpe013(PS168)_L,18
519944,LAL124,cb_intrinsic,21,0,0,512006,DNg13,DNg13_R,18
13327,VES005,cb_intrinsic,324,0,0,10577,DNg96,DNg96_R,18
520641,LAL113,cb_intrinsic,7,1,0,11410,DNpe023,DNpe023(LAL201)_L,18
15937,VES059,cb_intrinsic,187,111,0,522432,DNp56,DNp56(VES055)_L,18
13327,VES005,cb_intrinsic,324,0,0,12378,DNge007,DNge007_R,18
519461,LAL018,cb_intrinsic,87,10,0,513711,DNa09,DNa09_L,18
74095,LAL188_b,cb_intrinsic,0,0,2,12421,DNpe055,DNpe055(PS167)_L,18
11236,CRE005,cb_intrinsic,1,0,0,11121,DNp52,DNp52(CRE101)_L,18
11236,CRE005,cb_intrinsic,1,0,0,15833,DNp52,DNp52(CRE101)_R,18
40888,LAL196,cb_intrinsic,0,9,0,523769,DNa02,DNa02_L,18
12938,PS011,cb_intrinsic,19,0,0,13615,DNbe006,DNbe006_R,18
519944,LAL124,cb_intrinsic,21,0,0,10442,DNa01,DNa01(VES006)_L,18
11111,DNbe003,descending_neuron,4,0,0,11222,DNg111,DNg111(hb1573072464)_L,18
11246,DNbe006,descending_neuron,119,6,0,10447,DNge138,DNge138_M,18
525959,LAL120_b,cb_intrinsic,67,250,0,10360,DNa02,DNa02_R,17
525958,PLP060,cb_intrinsic,0,6,0,10712,DNp36,DNp36(CL342)_L,17
19009,PFL3,cb_intrinsic,41,0,1,11002,DNae002,DNae002(DNa04)_L,17
119161,SMP451,cb_intrinsic,0,0,1,10674,DNp59,DNp59(CL247)_L,17
101652,LAL035,cb_intrinsic,0,1,0,10360,DNa02,DNa02_R,17
13864,VES011,cb_intrinsic,44,0,0,531859,DNpe022,DNpe022(PS271)_L,17
19009,PFL3,cb_intrinsic,41,0,1,802893,DNpe016,DNpe016(PS211)_L,17
11111,DNbe003,descending_neuron,4,0,0,83661,DNge046,DNge046_R,17
10525,SMP544,cb_intrinsic,6,4,0,12085,DNge136,DNge136_L,17
70595,PS018_b,cb_intrinsic,227,3,0,12767,DNb02,DNb02_L,17
555727,LAL119,cb_intrinsic,0,15,0,11380,DNp14,DNp14(SMP585)_L,17
14681,PS231,cb_intrinsic,8,306,0,55546,DNg01_c,DNg01_c_L,17
28227,AOTU002_a,cb_intrinsic,7,1,0,523769,DNa02,DNa02_L,17
13930,LAL102,cb_intrinsic,7,0,0,521624,DNpe023,DNpe023(LAL201)_R,17
41291,LAL061,cb_intrinsic,0,0,1,10384,DNp63,DNp63(PS113)_R,17
86368,SMP016_b,cb_intrinsic,1,9,0,10672,DNae009,DNae009(PS009)_R,17
37588,LAL021,cb_intrinsic,17,0,0,10460,DNa09,DNa09_R,17
230783,DNg97,descending_neuron,127,0,0,10377,DNge054,DNge054_L,17
520472,SMP371_b,cb_intrinsic,0,0,2,40700,DNge094,DNge094_R,17
13201,LAL015,cb_intrinsic,2,1,1,11066,DNa13,DNa13(LAL041)_R,17
12157,CL333,cb_intrinsic,0,1,0,11057,DNbe004,DNbe004(PS066)_L,17
16003,LAL194,cb_intrinsic,117,0,0,12238,DNg32,DNg32_L,17
16003,LAL194,cb_intrinsic,117,0,0,13615,DNbe006,DNbe006_R,17
33289,LAL074,cb_intrinsic,10,66,4,524146,"DNp51,DNpe019","DNp51,DNpe019(PS296)_R",17
12297,LAL169,cb_intrinsic,1,0,0,11410,DNpe023,DNpe023(LAL201)_L,17
11636,LAL126,cb_intrinsic,383,2,2,521262,DNae002,DNae002(DNa04)_R,17
11233,DNa11,descending_neuron,0,7,0,521377,DNpe024,DNpe024(CL325)_R,17
11028,DNb09,descending_neuron,17,111,0,12714,DNb07,DNb07(PS067)_R,17
11028,DNb09,descending_neuron,17,111,0,10985,DNbe004,DNbe004(PS066)_R,17
13778,PS233,cb_intrinsic,0,1,0,188933,DNg92_a,DNg92_a_L,17
524159,PS011,cb_intrinsic,31,1,0,521190,DNae007,DNae007(VES009)_L,17
516565,PS233,cb_intrinsic,0,16,0,11814,DNa04,DNa04(PS015)_L,17
12278,PS010,cb_intrinsic,10,178,0,27254,DNg01_c,DNg01_c_R,17
12278,PS010,cb_intrinsic,10,178,0,514021,DNg04,DNg04_R,17
17412,IB021,cb_intrinsic,33,0,0,12223,DNpe027,DNpe027(PS166)_R,17
31552,CB2430,cb_intrinsic,2,0,3,519624,DNa03,DNa03_L,17
42132,LAL060_a,cb_intrinsic,0,0,3,523769,DNa02,DNa02_L,17
10136,PS304,cb_intrinsic,92,0,0,13403,DNp21,DNp21(PS236)_L,17
14067,DNpe003,descending_neuron,2,0,0,17373,DNg58,DNg58_L,17
17286,PFL3,cb_intrinsic,42,1,0,10975,DNa03,DNa03_R,17
10360,DNa02,descending_neuron,380,5,0,10805,DNb02,DNb02_R,17
11012,LAL157,cb_intrinsic,0,0,1,10384,DNp63,DNp63(PS113)_R,17
802893,DNpe016,descending_neuron,242,0,0,11876,DNae003,DNae003(PS040)_L,17
29262,PS191,cb_intrinsic,0,0,2,519624,DNa03,DNa03_L,17
29262,PS191,cb_intrinsic,0,0,2,529488,DNb02,DNb02_L,17
520613,LAL134,cb_intrinsic,21,24,0,12043,DNg102,DNg102_R,17
10238,PLP012,cb_intrinsic,1,10,0,12348,MDN,MDN_L,17
13067,LAL012,cb_intrinsic,1,1,0,240034,DNg01_d,DNg01_d_L,17
13067,LAL012,cb_intrinsic,1,1,0,10249,DNp31,DNp31_L,17
28708,LAL021,cb_intrinsic,48,1,0,256420,DNge050,DNge050_R,17
28708,LAL021,cb_intrinsic,48,1,0,10411,DNb09,DNb09(DNb01)_R,17
90885,LAL020,cb_intrinsic,2,0,0,11066,DNa13,DNa13(LAL041)_R,17
22122,LAL206,cb_intrinsic,0,1,0,10971,DNa11,DNa11(VES008)_L,17
118264,LAL021,cb_intrinsic,21,1,0,10301,DNge050,DNge050_L,17
15563,PS233,cb_intrinsic,2,25,0,16369,DNg01_b,DNg01_b_R,17
15563,PS233,cb_intrinsic,2,25,0,197252,DNg92_a,DNg92_a_R,17
514053,LAL011,cb_intrinsic,6,2,0,11028,DNb09,DNb09(DNb01)_L,17
15563,PS233,cb_intrinsic,2,25,0,12069,DNp15,DNp15_L,17
16210,WEDPN16_d,cb_intrinsic,0,0,3,11172,DNg32,DNg32_R,17
520485,DNpe016,descending_neuron,215,0,0,12714,DNb07,DNb07(PS067)_R,17
10654,DNb01,descending_neuron,444,0,0,11066,DNa13,DNa13(LAL041)_R,17
10654,DNb01,descending_neuron,444,0,0,10752,DNp03,DNp03_L,17
520903,AOTU002_b,cb_intrinsic,2,0,0,10759,DNb01,DNb01_R,17
520903,AOTU002_b,cb_intrinsic,2,0,0,10460,DNa09,DNa09_R,17
520903,AOTU002_b,cb_intrinsic,2,0,0,11373,DNp102,DNp102(PS212)_R,17
10167,VES041,cb_intrinsic,137,113,0,11410,DNpe023,DNpe023(LAL201)_L,17
15809,LAL012,cb_intrinsic,0,0,1,10975,DNa03,DNa03_R,17
66523,CB2873,cb_intrinsic,0,0,4,12102,DNp38,DNp38_R,17
516170,DNa13,descending_neuron,0,1,0,10301,DNge050,DNge050_L,17
11194,VES059,cb_intrinsic,166,24,0,10151,DNge103,DNge103_R,17
117667,PS191,cb_intrinsic,0,0,1,13295,DNge033,DNge033_L,17
529069,mALB5,cb_intrinsic,0,0,1,11554,DNp63,DNp63(PS113)_L,17
83467,LAL003,cb_intrinsic,6,2,0,802893,DNpe016,DNpe016(PS211)_L,17
520811,PFL3,cb_intrinsic,34,4,4,11002,DNae002,DNae002(DNa04)_L,17
12206,LAL120_a,cb_intrinsic,7,20,4,11491,DNde005,DNde005(VES028)_L,17
18851,PFL3,cb_intrinsic,47,1,0,230783,DNg97,DNg97_R,17
18851,PFL3,cb_intrinsic,47,1,0,802893,DNpe016,DNpe016(PS211)_L,17
12315,SMP156,cb_intrinsic,0,3,0,10842,CB0429,CB0429_L,17
11371,PS013,cb_intrinsic,133,0,0,16712,DNb03,DNb03_R,17
521529,LAL084,cb_intrinsic,4,21,1,10460,DNa09,DNa09_R,17
511797,LoVC11,visual_centrifugal,1,346,0,10985,DNbe004,DNbe004(PS066)_R,17
12974,LAL182,cb_intrinsic,3,0,1,12750,DNge136,DNge136_R,17
31330,PS049,cb_intrinsic,4,1,0,11288,MDN,MDN_L,17
12974,LAL182,cb_intrinsic,3,0,1,11066,DNa13,DNa13(LAL041)_R,17
31330,PS049,cb_intrinsic,4,1,0,10090,aSP22,aSP22(DNa12)_L,17
71967,AOTU001,cb_intrinsic,0,1,0,10884,DNa15,DNa15(PS017)_L,17
11440,PLP060,cb_intrinsic,0,8,0,11706,DNg111,DNg111(hb1573072464)_R,17
149390,LAL035,cb_intrinsic,0,0,7,10360,DNa02,DNa02_R,17
520194,PS304,cb_intrinsic,165,0,0,520300,DNg75,DNg75(hb1874217622)_R,17
520194,PS304,cb_intrinsic,165,0,0,14832,"DNp51,DNpe019","DNp51,DNpe019(PS296)_R",17
519624,DNa03,descending_neuron,251,830,0,10192,DNg75,DNg75(hb1874217622)_L,17
10868,LAL083,cb_intrinsic,302,0,0,11028,DNb09,DNb09(DNb01)_L,17
10868,LAL083,cb_intrinsic,302,0,0,17199,DNg82,DNg82_L,17
12936,LAL102,cb_intrinsic,5,0,0,11066,DNa13,DNa13(LAL041)_R,17
10109,VES041,cb_intrinsic,130,142,0,11425,CB0429,CB0429_R,17
10109,VES041,cb_intrinsic,130,142,0,10759,DNb01,DNb01_R,17
529808,LAL128,cb_intrinsic,0,1,0,519624,DNa03,DNa03_L,17
35322,PFL3,cb_intrinsic,31,0,1,802893,DNpe016,DNpe016(PS211)_L,17
11457,LAL108,cb_intrinsic,26,0,0,11297,DNbe003,DNbe003(hb5813024933)_R,17
25791,CRE015,cb_intrinsic,0,0,16,11563,DNae001,DNae001(DNa01)_R,17
10975,DNa03,descending_neuron,217,741,0,520300,DNg75,DNg75(hb1874217622)_R,17
12938,PS011,cb_intrinsic,19,0,0,11256,DNge040,DNge040_R,17
10830,LAL159,cb_intrinsic,12,99,0,13585,DNg34,DNg34_R,17
75983,CB1914,cb_intrinsic,0,0,2,513711,DNa09,DNa09_L,17
529489,LAL121,cb_intrinsic,1346,14,0,525960,DNa13,DNa13(LAL041)_L,17
519129,LAL010,cb_intrinsic,126,103,1,10759,DNb01,DNb01_R,17
12408,LAL200,cb_intrinsic,197,5,0,20962,DNg02_f,DNg02_f_L,17
10347,LHPV6q1,cb_intrinsic,1,0,8,26824,DNg08,DNg08_R,17
10347,LHPV6q1,cb_intrinsic,1,0,8,11600,DNge084,DNge084_R,17
16822,IB047,cb_intrinsic,4,0,0,11491,DNde005,DNde005(VES028)_L,17
11846,DNp102,descending_neuron,99,0,0,10952,DNge107,DNge107_L,17
523636,VES092,cb_intrinsic,0,24,0,10712,DNp36,DNp36(CL342)_L,17
139886,CB1914,cb_intrinsic,0,0,1,11314,DNae003,DNae003(PS040)_R,17
20418,DNpe053,descending_neuron,0,0,1,13249,DNpe034,DNpe034(SMP486_b)_L,17
20418,DNpe053,descending_neuron,0,0,1,11662,DNp24,DNp24_L,17
520388,PS010,cb_intrinsic,26,246,0,11288,MDN,MDN_L,17
533590,CRE040,cb_intrinsic,69,0,0,10674,DNp59,DNp59(CL247)_L,17
11419,WED195,cb_intrinsic,1,0,0,10216,DNge037,DNge037_R,17
75433,CL185,cb_intrinsic,0,0,1,10104,aSP22,aSP22(DNa12)_R,17
12429,LAL190,cb_intrinsic,177,3,1,11373,DNp102,DNp102(PS212)_R,17
26038,PFL3,cb_intrinsic,27,0,7,10360,DNa02,DNa02_R,17
522807,LAL134,cb_intrinsic,4,8,0,20418,DNpe053,DNpe053(SMP454)_R,17
12321,SMP456,cb_intrinsic,0,0,4,11674,DNp68,DNp68(CL138)_L,17
29860,PS049,cb_intrinsic,1,2,0,10759,DNb01,DNb01_R,17
519947,PPM1205,cb_intrinsic,1,0,0,521624,DNpe023,DNpe023(LAL201)_R,17
16642,LAL122,cb_intrinsic,96,0,0,525960,DNa13,DNa13(LAL041)_L,17
523716,LAL120_a,cb_intrinsic,9,19,0,11297,DNbe003,DNbe003(hb5813024933)_R,17
14986,LAL010,cb_intrinsic,193,137,0,12767,DNb02,DNb02_L,17
519982,VES071,cb_intrinsic,1,0,0,10216,DNge037,DNge037_R,17
35591,LAL061,cb_intrinsic,0,0,1,10026,DNp18,DNp18_R,17
521778,SMP052,cb_intrinsic,0,39,0,10971,DNa11,DNa11(VES008)_L,17
10842,CB0429,descending_neuron,41,0,2,14387,DNge151,DNge151_M,17
519925,LAL040,cb_intrinsic,671,4,0,11596,DNpe022,DNpe022(PS271)_R,17
519944,LAL124,cb_intrinsic,21,0,0,11625,DNae005,DNae005(VES009)_R,17
512886,IB049,cb_intrinsic,33,1,0,12223,DNpe027,DNpe027(PS166)_R,17
529641,LAL018,cb_intrinsic,111,19,0,12075,DNb08,DNb08(VES083)_R,17
11495,PS059,cb_intrinsic,1,0,0,10805,DNb02,DNb02_R,17
11306,PS013,cb_intrinsic,98,0,0,11820,DNge123,DNge123_L,17
10338,LoVC11,visual_centrifugal,1,237,0,11057,DNbe004,DNbe004(PS066)_L,17
17953,AOTU002_c,cb_intrinsic,1,0,0,11074,DNg13,DNg13_L,17
351504,DNge094,descending_neuron,0,0,2,513711,DNa09,DNa09_L,17
10338,LoVC11,visual_centrifugal,1,237,0,575082,DNpe021,DNpe021_R,17
522337,IB109,cb_intrinsic,0,1,0,12421,DNpe055,DNpe055(PS167)_L,17
522337,IB109,cb_intrinsic,0,1,0,20289,DNg02_g,DNg02_g_R,17
529641,LAL018,cb_intrinsic,111,19,0,14264,DNde003,DNde003(LAL107)_R,16
22341,PS114,cb_intrinsic,0,0,3,197252,DNg92_a,DNg92_a_R,16
38847,LAL046,cb_intrinsic,73,105,0,529488,DNb02,DNb02_L,16
556343,LAL021,cb_intrinsic,31,1,0,12670,DNg71,DNg71_R,16
524159,PS011,cb_intrinsic,31,1,0,11246,DNbe006,DNbe006_L,16
16349,PLP232,cb_intrinsic,0,0,25,10065,DNb05,DNb05_R,16
556343,LAL021,cb_intrinsic,31,1,0,10301,DNge050,DNge050_L,16
10097,oviIN,cb_intrinsic,5,0,0,10680,DNp48,DNp48(SMP462)_L,16
13608,SMP237,cb_intrinsic,0,1,10,556286,DNp32,DNp32_L,16
13607,LAL137,cb_intrinsic,0,21,0,12189,DNb08,DNb08(VES083)_L,16
13607,LAL137,cb_intrinsic,0,21,0,11074,DNg13,DNg13_L,16
13805,DNg97,descending_neuron,174,0,0,12378,DNge007,DNge007_R,16
13805,DNg97,descending_neuron,174,0,0,10760,DNa01,DNa01(VES006)_R,16
14259,LAL046,cb_intrinsic,90,247,0,11625,DNae005,DNae005(VES009)_R,16
12380,CL333,cb_intrinsic,1,0,0,13805,DNg97,DNg97_L,16
513602,SMP488,cb_intrinsic,0,0,1,10842,CB0429,CB0429_L,16
13615,DNbe006,descending_neuron,97,0,0,15857,DNge058,DNge058_R,16
520194,PS304,cb_intrinsic,165,0,0,13615,DNbe006,DNbe006_R,16
558899,LAL022,cb_intrinsic,16,2,1,11916,DNbe005,DNbe005(PS069)_R,16
11233,DNa11,descending_neuron,0,7,0,12044,DNb08,DNb08(VES082)_R,16
529710,LAL126,cb_intrinsic,333,0,1,13922,DNb02,DNb02_R,16
529710,LAL126,cb_intrinsic,333,0,1,22158,DNpe012_b,DNpe012_b(DNp16)_R,16
11351,LAL108,cb_intrinsic,31,0,0,12189,DNb08,DNb08(VES083)_L,16
31330,PS049,cb_intrinsic,4,1,0,575669,DNg71,DNg71_L,16
13778,PS233,cb_intrinsic,0,1,0,520898,DNb04,DNb04_L,16
31330,PS049,cb_intrinsic,4,1,0,11222,DNg111,DNg111(hb1573072464)_L,16
10483,PVLP138,cb_intrinsic,0,2,0,11563,DNae001,DNae001(DNa01)_R,16
13778,PS233,cb_intrinsic,0,1,0,10884,DNa15,DNa15(PS017)_L,16
11028,DNb09,descending_neuron,17,111,0,10577,DNg96,DNg96_R,16
12938,PS011,cb_intrinsic,19,0,0,12995,DNde003,DNde003(LAL106)_R,16
512258,LAL013,cb_intrinsic,0,2,1,529488,DNb02,DNb02_L,16
512258,LAL013,cb_intrinsic,0,2,1,11232,DNde003,DNde003(LAL106)_L,16
20729,WED084,cb_intrinsic,0,0,15,10527,DNpe017,DNpe017(hb1406000196)_L,16
516286,LAL022,cb_intrinsic,17,0,2,12133,DNbe005,DNbe005(PS069)_L,16
14067,DNpe003,descending_neuron,2,0,0,13295,DNge033,DNge033_L,16
529641,LAL018,cb_intrinsic,111,19,0,514489,DNg49,DNg49(hb1405978277)_R,16
42337,CB2425,cb_intrinsic,0,0,27,10264,DNp31,DNp31_R,16
520613,LAL134,cb_intrinsic,21,24,0,12750,DNge136,DNge136_R,16
26488,PFL3,cb_intrinsic,29,2,6,802893,DNpe016,DNpe016(PS211)_L,16
56264,SAD047,cb_intrinsic,0,0,2,10924,DNa04,DNa04(PS015)_R,16
10138,oviIN,cb_intrinsic,3,1,0,11259,DNp68,DNp68(CL138)_R,16
10360,DNa02,descending_neuron,380,5,0,13922,DNb02,DNb02_R,16
18928,LAL164,cb_intrinsic,93,95,0,11505,DNp54,DNp54(PS163)_R,16
18928,LAL164,cb_intrinsic,93,95,0,11554,DNp63,DNp63(PS113)_L,16
514467,IB049,cb_intrinsic,49,0,0,520898,DNb04,DNb04_L,16
570381,SMP110,cb_intrinsic,0,0,1,14096,DNpe003,DNpe003(VES081)_R,16
521191,VES005,cb_intrinsic,377,2,0,15326,DNg109,DNg109_L,16
63923,LAL113,cb_intrinsic,5,3,0,11288,MDN,MDN_L,16
11145,MBON20,cb_intrinsic,2,0,0,11944,DNpe026,DNpe026(CL202)_L,16
13201,LAL015,cb_intrinsic,2,1,1,11288,MDN,MDN_L,16
10175,OA-VUMa6,cb_intrinsic,0,0,1,524968,DNp32,DNp32_R,16
522337,IB109,cb_intrinsic,0,1,0,20962,DNg02_f,DNg02_f_L,16
519724,LAL014,cb_intrinsic,83,312,0,312712,DNde003,DNde003(LAL107)_L,16
519724,LAL014,cb_intrinsic,83,312,0,523769,DNa02,DNa02_L,16
12166,CB0244,cb_intrinsic,15,0,0,13268,DNg52,DNg52_R,16
525960,DNa13,descending_neuron,0,6,0,256420,DNge050,DNge050_R,16
11779,LAL190,cb_intrinsic,192,1,0,519624,DNa03,DNa03_L,16
11457,LAL108,cb_intrinsic,26,0,0,12075,DNb08,DNb08(VES083)_R,16
119161,SMP451,cb_intrinsic,0,0,1,10425,DNp10,DNp10_L,16
10842,CB0429,descending_neuron,41,0,2,10286,DNpe053,DNpe053(SMP454)_L,16
13327,VES005,cb_intrinsic,324,0,0,11596,DNpe022,DNpe022(PS271)_R,16
35228,AOTU001,cb_intrinsic,0,1,0,11955,DNae010,DNae010(PS016)_L,16
14681,PS231,cb_intrinsic,8,306,0,10975,DNa03,DNa03_R,16
21823,LAL160,cb_intrinsic,0,45,0,12039,DNge135,DNge135_R,16
70595,PS018_b,cb_intrinsic,227,3,0,20962,DNg02_f,DNg02_f_L,16
28419,LAL060_b,cb_intrinsic,0,0,2,10411,DNb09,DNb09(DNb01)_R,16
13490,PFL2,cb_intrinsic,4,61,0,11028,DNb09,DNb09(DNb01)_L,16
44739,PS018_b,cb_intrinsic,221,1,0,514021,DNg04,DNg04_R,16
13327,VES005,cb_intrinsic,324,0,0,15156,DNge147,DNge147_R,16
13327,VES005,cb_intrinsic,324,0,0,15847,DNg107,DNg107_R,16
519945,PS300,cb_intrinsic,4,0,0,555871,DNpe017,DNpe017(hb1406000196)_R,16
17031,LPT31,visual_projection,0,0,2,26652,DNge094,DNge094_L,16
17031,LPT31,visual_projection,0,0,2,27525,DNge094,DNge094_L,16
555726,DNa13,descending_neuron,0,33,0,523769,DNa02,DNa02_L,16
11477,LHPV6q1,cb_intrinsic,0,0,10,24374,DNg08,DNg08_L,16
567101,PFL3,cb_intrinsic,43,1,6,230783,DNg97,DNg97_R,16
10005,AOTU019,cb_intrinsic,980,0,3,240034,DNg01_d,DNg01_d_L,16
14493,VES071,cb_intrinsic,1,0,0,11002,DNae002,DNae002(DNa04)_L,16
11194,VES059,cb_intrinsic,166,24,0,800868,DNpe002,DNpe002(VES068)_R,16
11194,VES059,cb_intrinsic,166,24,0,10838,DNde005,DNde005(VES028)_R,16
12429,LAL190,cb_intrinsic,177,3,1,15457,DNpe004,DNpe004_R,16
11419,WED195,cb_intrinsic,1,0,0,10601,DNpe025,DNpe025(PVLP145)_R,16
11419,WED195,cb_intrinsic,1,0,0,13585,DNg34,DNg34_R,16
519129,LAL010,cb_intrinsic,126,103,1,12995,DNde003,DNde003(LAL106)_R,16
16822,IB047,cb_intrinsic,4,0,0,519228,DNae005,DNae005(VES009)_L,16
26109,IB024,cb_intrinsic,1,1,0,518177,DNp08,DNp08(PS271)_L,16
11410,DNpe023,descending_neuron,1,4,0,13805,DNg97,DNg97_L,16
11410,DNpe023,descending_neuron,1,4,0,555726,DNa13,DNa13(LAL041)_L,16
12206,LAL120_a,cb_intrinsic,7,20,4,10416,DNde002,DNde002(VES029)_L,16
533368,AN10B005,ascending_neuron,0,0,1,801976,DNpe032,DNpe032(PS216)_R,16
17843,LC33,visual_projection,53,1,0,523769,DNa02,DNa02_L,16
533368,AN10B005,ascending_neuron,0,0,1,515029,DNpe027,DNpe027(PS166)_L,16
10167,VES041,cb_intrinsic,137,113,0,10765,pMP2,pMP2_R,16
12974,LAL182,cb_intrinsic,3,0,1,11575,DNge049,DNge049_R,16
511776,LAL084,cb_intrinsic,0,40,0,14046,DNg42,DNg42_L,16
511776,LAL084,cb_intrinsic,0,40,0,13254,"DNp51,DNpe019","DNp51,DNpe019(PS296)_L",16
519461,LAL018,cb_intrinsic,87,10,0,12550,DNb08,DNb08(VES082)_L,16
11787,AOTU033,cb_intrinsic,6,2,0,11916,DNbe005,DNbe005(PS069)_R,16
511797,LoVC11,visual_centrifugal,1,346,0,11573,DNpe021,DNpe021(CL307)_L,16
28708,LAL021,cb_intrinsic,48,1,0,12044,DNb08,DNb08(VES082)_R,16
28708,LAL021,cb_intrinsic,48,1,0,10301,DNge050,DNge050_L,16
28709,SAD047,cb_intrinsic,0,0,1,13743,DNg51,DNg51_R,16
28709,SAD047,cb_intrinsic,0,0,1,10924,DNa04,DNa04(PS015)_R,16
10050,5-HTPMPV03,visual_centrifugal,0,0,5,10033,DNg56,DNg56_R,16
10654,DNb01,descending_neuron,444,0,0,11961,DNp57,DNp57(PS195)_L,16
522738,LAL196,cb_intrinsic,0,11,0,11625,DNae005,DNae005(VES009)_R,16
11712,PLP019,cb_intrinsic,8,0,0,513783,DNg01_d,DNg01_d_R,16
519398,SMP048,cb_intrinsic,0,14,0,506334,DNp42,DNp42_R,16
10041,OA-VUMa1,cb_intrinsic,20,28,0,11288,MDN,MDN_L,16
113618,CB1650,cb_intrinsic,0,0,2,10680,DNp48,DNp48(SMP462)_L,16
12321,SMP456,cb_intrinsic,0,0,4,11302,DNg104,DNg104_R,16
521527,LAL073,cb_intrinsic,32,607,6,15326,DNg109,DNg109_L,16
533590,CRE040,cb_intrinsic,69,0,0,11261,DNp54,DNp54(PS163)_L,16
11306,PS013,cb_intrinsic,98,0,0,11222,DNg111,DNg111(hb1573072464)_L,16
523769,DNa02,descending_neuron,356,0,0,13030,DNge006,DNge006_L,16
11286,SIP126m_a,cb_intrinsic,1,1,0,11713,DNg101,DNg101_R,16
520388,PS010,cb_intrinsic,26,246,0,10562,DNp26,DNp26_L,16
549208,LAL022,cb_intrinsic,10,1,0,12714,DNb07,DNb07(PS067)_R,16
57102,LAL035,cb_intrinsic,0,0,1,11410,DNpe023,DNpe023(LAL201)_L,16
29860,PS049,cb_intrinsic,1,2,0,11706,DNg111,DNg111(hb1573072464)_R,16
29860,PS049,cb_intrinsic,1,2,0,10026,DNp18,DNp18_R,16
129251,(untyped),cb_intrinsic,0,0,2,10759,DNb01,DNb01_R,16
17953,AOTU002_c,cb_intrinsic,1,0,0,11846,DNp102,DNp102(PS212)_L,16
531859,DNpe022,descending_neuron,0,8,0,15394,DNge147,DNge147_L,16
521525,LAL126,cb_intrinsic,270,1,0,12767,DNb02,DNb02_L,16
37588,LAL021,cb_intrinsic,17,0,0,10360,DNa02,DNa02_R,16
523769,DNa02,descending_neuron,356,0,0,12069,DNp15,DNp15_L,16
